mineral,etapa,pais_destino,m49,valor_usd_2019_2024,share_etapa
barita,E1 Crudo/molido,Estados Unidos,842,85527052.0,1.0
cobre,E1 Mena/concentrado,China,156,20416199679.0,0.9474
cobre,E1 Mena/concentrado,Japon,392,307267119.0,0.0143
cobre,E1 Mena/concentrado,Estados Unidos,842,276483277.0,0.0128
cobre,E1 Mena/concentrado,Corea del Sur,410,262700070.0,0.0122
cobre,E1 Mena/concentrado,Canada,124,177848284.0,0.0083
cobre,E1 Mena/concentrado,socio_490,490,87855057.0,0.0041
cobre,E1 Mena/concentrado,Peru,604,19447858.0,0.0009
cobre,E1 Mena/concentrado,Singapur,702,2005694.0,0.0001
cobre,E1 Mena/concentrado,Hong Kong,344,386207.0,0.0
cobre,E1 Mena/concentrado,Vietnam,704,328432.0,0.0
cobre,E2 Metal en bruto/refinado,Estados Unidos,842,3295684924.0,0.6914
cobre,E2 Metal en bruto/refinado,China,156,1239614636.0,0.2601
cobre,E2 Metal en bruto/refinado,Corea del Sur,410,109773188.0,0.023
cobre,E2 Metal en bruto/refinado,Belgica,56,77841468.0,0.0163
cobre,E2 Metal en bruto/refinado,Canada,124,33391336.0,0.007
cobre,E2 Metal en bruto/refinado,Alemania,276,9615556.0,0.002
cobre,E2 Metal en bruto/refinado,Hong Kong,344,741721.0,0.0002
cobre,E2 Metal en bruto/refinado,Guatemala,320,4274.0,0.0
cobre,E3 Semimanufacturas,Estados Unidos,842,2968571950.0,0.834
cobre,E3 Semimanufacturas,Colombia,170,178963118.0,0.0503
cobre,E3 Semimanufacturas,Chile,152,104962855.0,0.0295
cobre,E3 Semimanufacturas,socio_558,558,62525857.0,0.0176
cobre,E3 Semimanufacturas,Canada,124,56337898.0,0.0158
cobre,E3 Semimanufacturas,Italia,380,39296228.0,0.011
cobre,E3 Semimanufacturas,socio_218,218,25807630.0,0.0073
cobre,E3 Semimanufacturas,Peru,604,25618019.0,0.0072
cobre,E3 Semimanufacturas,Guatemala,320,22041623.0,0.0062
cobre,E3 Semimanufacturas,socio_340,340,21417001.0,0.006
cobre,E3 Semimanufacturas,socio_188,188,18001339.0,0.0051
cobre,E3 Semimanufacturas,socio_591,591,15092882.0,0.0042
cobre,E3 Semimanufacturas,socio_214,214,4713101.0,0.0013
cobre,E3 Semimanufacturas,El Salvador,222,4623796.0,0.0013
cobre,E3 Semimanufacturas,Reino Unido,826,2721930.0,0.0008
cobre,E3 Semimanufacturas,Argentina,32,2566887.0,0.0007
cobre,E3 Semimanufacturas,Brasil,76,1624606.0,0.0005
cobre,E3 Semimanufacturas,socio_68,68,1360561.0,0.0004
cobre,E3 Semimanufacturas,socio_862,862,1205889.0,0.0003
cobre,E3 Semimanufacturas,Japon,392,490884.0,0.0001
cobre,E3 Semimanufacturas,socio_192,192,436302.0,0.0001
cobre,E3 Semimanufacturas,Malasia,458,372304.0,0.0001
cobre,E3 Semimanufacturas,socio_858,858,292872.0,0.0001
cobre,E3 Semimanufacturas,China,156,232288.0,0.0001
cobre,E3 Semimanufacturas,socio_208,208,123945.0,0.0
cobre,E3 Semimanufacturas,socio_84,84,98566.0,0.0
cobre,E3 Semimanufacturas,socio_251,251,37337.0,0.0
cobre,E3 Semimanufacturas,socio_699,699,16615.0,0.0
cobre,E3 Semimanufacturas,Alemania,276,16269.0,0.0
cobre,E3 Semimanufacturas,Arabia Saudita,682,15330.0,0.0
cobre,E3 Semimanufacturas,socio_388,388,10681.0,0.0
cobre,E3 Semimanufacturas,socio_600,600,8444.0,0.0
cobre,E3 Semimanufacturas,Espana,724,2968.0,0.0
cobre,E3 Semimanufacturas,socio_332,332,1773.0,0.0
cobre,E3 Semimanufacturas,Australia,36,1419.0,0.0
cobre,E3 Semimanufacturas,socio_52,52,1078.0,0.0
cobre,E4 Manufacturas,Estados Unidos,842,421014413.0,0.8935
cobre,E4 Manufacturas,China,156,19616635.0,0.0416
cobre,E4 Manufacturas,socio_251,251,8204389.0,0.0174
cobre,E4 Manufacturas,Canada,124,4384240.0,0.0093
