anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1992,barita,E1 Crudo/molido,1244000.0,Estados Unidos,1.0,0.0,1.0,1
1992,barita,E2 Quimicos de bario,1571000.0,Estados Unidos,0.9955,0.0,0.9955,3
1992,cobre,E1 Mena/concentrado,31605000.0,Estados Unidos,0.7624,0.0,0.7624,2
1992,cobre,E2 Metal en bruto/refinado,287704992.0,Estados Unidos,0.487,0.0,0.487,11
1992,cobre,E3 Semimanufacturas,127642000.0,Estados Unidos,0.6947,0.0,0.6947,32
1992,cobre,E4 Manufacturas,23568000.0,Estados Unidos,0.9123,0.0003,0.9123,31
1992,fluorita,E1 Espato fluor (crudo),13929000.0,Estados Unidos,0.6031,0.0,0.6031,10
1992,fluorita,E2 Fluoroquimica,86072000.0,Estados Unidos,0.7152,0.0,0.7152,7
1992,grafito,E1 Grafito natural,3073000.0,Estados Unidos,0.9307,0.0,0.9307,2
1992,grafito,E2 Grafito artificial/prep.,12300000.0,Estados Unidos,0.9893,0.0018,0.9893,5
1992,grafito,E3 Electrodos/articulos de carbono,15432000.0,Colombia,0.2506,0.0,0.1973,19
1992,manganeso,E1 Mena/concentrado,6044000.0,Estados Unidos,0.2631,0.0,0.2631,11
1992,manganeso,E2 Ferroaleaciones,36349000.0,Estados Unidos,0.8301,0.0,0.8301,8
1992,manganeso,E3 Quimicos/metal,660000.0,Guatemala,0.4318,0.0,0.0424,7
1992,oro,E1 Mena/concentrado,71000.0,Estados Unidos,1.0,0.0,1.0,1
1992,oro,E2 Bruto/semilabrado,41453000.0,Estados Unidos,0.4873,0.0,0.4873,6
1992,oro-plata (manufacturas),E4 Joyeria/orfebreria,43815000.0,Estados Unidos,0.8206,0.0007,0.8206,29
1992,plata,E1 Mena/concentrado,102000.0,Estados Unidos,1.0,0.0,1.0,1
1992,plata,E2 Bruto/semilabrado,206749008.0,Estados Unidos,0.8464,0.0,0.8464,14
1992,plomo,E1 Mena/concentrado,1580000.0,Estados Unidos,1.0,0.0,1.0,1
1992,plomo,E2 Metal en bruto/refinado,55386000.0,Estados Unidos,0.5825,0.0,0.5825,21
1992,plomo,E3 Semimanufacturas,103000.0,Reino Unido,0.4369,0.0,0.0485,4
1992,plomo,E4 Manufacturas,780000.0,Estados Unidos,0.9295,0.0,0.9295,8
1992,silice,E1 Arena silica/cuarzo,624000.0,Costa Rica,0.9679,0.0,0.0208,6
1992,silice,E2 Silicio/ferrosilicio/SiO2,246000.0,Estados Unidos,0.4593,0.0,0.4593,7
1992,zinc,E1 Mena/concentrado,81135000.0,socio_58,0.2298,0.0,0.1451,10
1992,zinc,E2 Metal en bruto/refinado,48501000.0,Estados Unidos,0.8369,0.0022,0.8369,17
1992,zinc,E3 Semimanufacturas,8018000.0,Estados Unidos,0.9611,0.0,0.9611,11
1992,zinc,E4 Manufacturas,3917000.0,Estados Unidos,0.9592,0.0,0.9592,9
1993,barita,E1 Crudo/molido,4213000.0,Estados Unidos,1.0,0.0,1.0,1
1993,barita,E2 Quimicos de bario,1696000.0,Estados Unidos,0.9965,0.0,0.9965,2
1993,cobre,E1 Mena/concentrado,61000.0,Estados Unidos,1.0,0.0,1.0,1
1993,cobre,E2 Metal en bruto/refinado,360330000.0,Estados Unidos,0.512,0.0,0.512,11
1993,cobre,E3 Semimanufacturas,133665000.0,Estados Unidos,0.7738,0.0,0.7738,31
1993,cobre,E4 Manufacturas,28018000.0,Estados Unidos,0.9114,0.0002,0.9114,28
1993,fluorita,E1 Espato fluor (crudo),9385000.0,Estados Unidos,0.669,0.0,0.669,7
1993,fluorita,E2 Fluoroquimica,79869000.0,Estados Unidos,0.7465,0.0,0.7465,7
1993,grafito,E1 Grafito natural,1995000.0,Estados Unidos,0.9534,0.0,0.9534,4
1993,grafito,E2 Grafito artificial/prep.,18272000.0,Estados Unidos,0.9917,0.0068,0.9917,5
1993,grafito,E3 Electrodos/articulos de carbono,13266000.0,Estados Unidos,0.2647,0.0,0.2647,21
