anio,mineral,etapa,flujo,hs,valor_usd
2015,cobre,E1 Mena/concentrado,Exportacion,2603,933983883.0
2015,cobre,E1 Mena/concentrado,Importacion,2603,79571708.0
2016,cobre,E1 Mena/concentrado,Exportacion,2603,1323559500.0
2016,cobre,E1 Mena/concentrado,Importacion,2603,131899433.0
2017,cobre,E1 Mena/concentrado,Exportacion,2603,1568943333.0
2017,cobre,E1 Mena/concentrado,Importacion,2603,202968540.0
2018,cobre,E1 Mena/concentrado,Exportacion,2603,2318095785.0
2018,cobre,E1 Mena/concentrado,Importacion,2603,529371003.0
2019,cobre,E1 Mena/concentrado,Exportacion,2603,2339268612.0
2019,cobre,E1 Mena/concentrado,Importacion,2603,780369161.0
2020,cobre,E1 Mena/concentrado,Exportacion,2603,2878626776.0
2020,cobre,E1 Mena/concentrado,Importacion,2603,1132333334.0
2021,cobre,E1 Mena/concentrado,Exportacion,2603,3420948513.0
2021,cobre,E1 Mena/concentrado,Importacion,2603,404006811.0
2022,cobre,E1 Mena/concentrado,Exportacion,2603,3137587661.0
2022,cobre,E1 Mena/concentrado,Importacion,2603,660205189.0
2023,cobre,E1 Mena/concentrado,Exportacion,2603,3715931601.0
2023,cobre,E1 Mena/concentrado,Importacion,2603,528570456.0
2024,cobre,E1 Mena/concentrado,Exportacion,2603,3718889902.0
2024,cobre,E1 Mena/concentrado,Importacion,2603,1077080598.0
2015,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,727229420.0
2015,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,521537971.0
2016,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,849212300.0
2016,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,544439957.0
2017,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,880701469.0
2017,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,709165802.0
2018,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,903281960.0
2018,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,881905570.0
2019,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,796430490.0
2019,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,869535577.0
2020,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,813642511.0
2020,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,828881738.0
2021,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,966254109.0
2021,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1631520548.0
2022,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,873308606.0
2022,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,399000027.0
2023,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,284447648.0
2023,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1185615399.0
2024,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,236153249.0
2024,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1721661059.0
2015,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,505836887.0
2015,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1804060147.0
2016,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,439471037.0
2016,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1615400657.0
2017,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,456944268.0
2017,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1852285355.0
2018,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,515022778.0
2018,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2019301355.0
2019,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,488807777.0
2019,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1833340059.0
2020,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,461341926.0
2020,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1441095349.0
2021,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,519982902.0
2021,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2165544665.0
2022,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,627341853.0
2022,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2451466773.0
2023,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,559389796.0
2023,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2688805069.0
2024,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,551811551.0
2024,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2760318391.0
2015,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,53044708.0
2015,cobre,E4 Manufacturas,Importacion,7415;7418;7419,339599551.0
2016,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,58244998.0
2016,cobre,E4 Manufacturas,Importacion,7415;7418;7419,329722817.0
2017,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,71863309.0
2017,cobre,E4 Manufacturas,Importacion,7415;7418;7419,345524237.0
2018,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,57368602.0
2018,cobre,E4 Manufacturas,Importacion,7415;7418;7419,407010351.0
2019,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,61529228.0
2019,cobre,E4 Manufacturas,Importacion,7415;7418;7419,385132787.0
2020,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,53887119.0
2020,cobre,E4 Manufacturas,Importacion,7415;7418;7419,315959308.0
2021,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,78214998.0
2021,cobre,E4 Manufacturas,Importacion,7415;7418;7419,401687485.0
2022,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,84431303.0
2022,cobre,E4 Manufacturas,Importacion,7415;7418;7419,452497706.0
2023,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,78136524.0
2023,cobre,E4 Manufacturas,Importacion,7415;7418;7419,448972895.0
2024,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,84012184.0
