anio,mineral,etapa,flujo,valor_usd
1992,barita,E1 Crudo/molido,M,1032000.0
1992,barita,E1 Crudo/molido,X,1244000.0
1992,barita,E2 Quimicos de bario,M,360000.0
1992,barita,E2 Quimicos de bario,X,1571000.0
1992,cobre,E1 Mena/concentrado,M,27437000.0
1992,cobre,E1 Mena/concentrado,X,31605000.0
1992,cobre,E2 Metal en bruto/refinado,M,100243000.0
1992,cobre,E2 Metal en bruto/refinado,X,287704992.0
1992,cobre,E3 Semimanufacturas,M,184950000.0
1992,cobre,E3 Semimanufacturas,X,127642000.0
1992,cobre,E4 Manufacturas,M,96622000.0
1992,cobre,E4 Manufacturas,X,23568000.0
1992,fluorita,E1 Espato fluor (crudo),M,4243000.0
1992,fluorita,E1 Espato fluor (crudo),X,13929000.0
1992,fluorita,E2 Fluoroquimica,M,3968000.0
1992,fluorita,E2 Fluoroquimica,X,86072000.0
1992,grafito,E1 Grafito natural,M,2584000.0
1992,grafito,E1 Grafito natural,X,3073000.0
1992,grafito,E2 Grafito artificial/prep.,M,8204000.0
1992,grafito,E2 Grafito artificial/prep.,X,12300000.0
1992,grafito,E3 Electrodos/articulos de carbono,M,20386000.0
1992,grafito,E3 Electrodos/articulos de carbono,X,15432000.0
1992,manganeso,E1 Mena/concentrado,M,12647000.0
1992,manganeso,E1 Mena/concentrado,X,6044000.0
1992,manganeso,E2 Ferroaleaciones,M,9295000.0
1992,manganeso,E2 Ferroaleaciones,X,36349000.0
1992,manganeso,E3 Quimicos/metal,M,5433000.0
1992,manganeso,E3 Quimicos/metal,X,660000.0
1992,oro,E1 Mena/concentrado,M,1000.0
1992,oro,E1 Mena/concentrado,X,71000.0
1992,oro,E2 Bruto/semilabrado,M,9767000.0
1992,oro,E2 Bruto/semilabrado,X,41453000.0
1992,oro-plata (manufacturas),E4 Joyeria/orfebreria,M,41595000.0
1992,oro-plata (manufacturas),E4 Joyeria/orfebreria,X,43815000.0
1992,plata,E1 Mena/concentrado,M,5000.0
1992,plata,E1 Mena/concentrado,X,102000.0
1992,plata,E2 Bruto/semilabrado,M,2758000.0
1992,plata,E2 Bruto/semilabrado,X,206748992.0
1992,plomo,E1 Mena/concentrado,M,42822000.0
1992,plomo,E1 Mena/concentrado,X,1580000.0
1992,plomo,E2 Metal en bruto/refinado,M,60000.0
1992,plomo,E2 Metal en bruto/refinado,X,55386000.0
1992,plomo,E3 Semimanufacturas,M,222000.0
1992,plomo,E3 Semimanufacturas,X,103000.0
1992,plomo,E4 Manufacturas,M,2356000.0
1992,plomo,E4 Manufacturas,X,780000.0
1992,silice,E1 Arena silica/cuarzo,M,10362000.0
1992,silice,E1 Arena silica/cuarzo,X,624000.0
1992,silice,E2 Silicio/ferrosilicio/SiO2,M,26608000.0
1992,silice,E2 Silicio/ferrosilicio/SiO2,X,246000.0
1992,zinc,E1 Mena/concentrado,M,3000.0
1992,zinc,E1 Mena/concentrado,X,81135000.0
1992,zinc,E2 Metal en bruto/refinado,M,1447000.0
1992,zinc,E2 Metal en bruto/refinado,X,48501000.0
1992,zinc,E3 Semimanufacturas,M,9686000.0
1992,zinc,E3 Semimanufacturas,X,8018000.0
1992,zinc,E4 Manufacturas,M,10481000.0
1992,zinc,E4 Manufacturas,X,3917000.0
1993,barita,E1 Crudo/molido,M,3986000.0
1993,barita,E1 Crudo/molido,X,4213000.0
1993,barita,E2 Quimicos de bario,M,465000.0
1993,barita,E2 Quimicos de bario,X,1696000.0
1993,cobre,E1 Mena/concentrado,M,33123000.0
1993,cobre,E1 Mena/concentrado,X,61000.0
1993,cobre,E2 Metal en bruto/refinado,M,93003000.0
1993,cobre,E2 Metal en bruto/refinado,X,360329984.0
1993,cobre,E3 Semimanufacturas,M,191840000.0
1993,cobre,E3 Semimanufacturas,X,133665000.0
1993,cobre,E4 Manufacturas,M,119411000.0
1993,cobre,E4 Manufacturas,X,28018000.0
1993,fluorita,E1 Espato fluor (crudo),M,3722000.0
1993,fluorita,E1 Espato fluor (crudo),X,9385000.0
1993,fluorita,E2 Fluoroquimica,M,4084000.0
1993,fluorita,E2 Fluoroquimica,X,79869000.0
1993,grafito,E1 Grafito natural,M,1678000.0
1993,grafito,E1 Grafito natural,X,1995000.0
1993,grafito,E2 Grafito artificial/prep.,M,5955000.0
1993,grafito,E2 Grafito artificial/prep.,X,18272000.0
1993,grafito,E3 Electrodos/articulos de carbono,M,18168000.0
1993,grafito,E3 Electrodos/articulos de carbono,X,13266000.0
1993,manganeso,E1 Mena/concentrado,M,6155000.0
1993,manganeso,E1 Mena/concentrado,X,8842000.0
1993,manganeso,E2 Ferroaleaciones,M,7688000.0
1993,manganeso,E2 Ferroaleaciones,X,35494000.0
1993,manganeso,E3 Quimicos/metal,M,5408000.0
1993,manganeso,E3 Quimicos/metal,X,570000.0
1993,oro,E1 Mena/concentrado,X,75000.0
1993,oro,E2 Bruto/semilabrado,M,84320000.0
1993,oro,E2 Bruto/semilabrado,X,52621000.0
1993,oro-plata (manufacturas),E4 Joyeria/orfebreria,M,54601000.0
1993,oro-plata (manufacturas),E4 Joyeria/orfebreria,X,50323000.0
1993,plata,E1 Mena/concentrado,X,1231000.0
1993,plata,E2 Bruto/semilabrado,M,2198000.0
1993,plata,E2 Bruto/semilabrado,X,186176000.0
1993,plomo,E1 Mena/concentrado,M,15435000.0
1993,plomo,E1 Mena/concentrado,X,293000.0
1993,plomo,E2 Metal en bruto/refinado,M,22000.0
1993,plomo,E2 Metal en bruto/refinado,X,42323000.0
1993,plomo,E3 Semimanufacturas,M,317000.0
1993,plomo,E3 Semimanufacturas,X,28000.0
1993,plomo,E4 Manufacturas,M,2954000.0
1993,plomo,E4 Manufacturas,X,870000.0
1993,silice,E1 Arena silica/cuarzo,M,7201000.0
1993,silice,E1 Arena silica/cuarzo,X,957000.0
1993,silice,E2 Silicio/ferrosilicio/SiO2,M,29005000.0
1993,silice,E2 Silicio/ferrosilicio/SiO2,X,478000.0
1993,zinc,E1 Mena/concentrado,M,2000.0
1993,zinc,E1 Mena/concentrado,X,58381000.0
1993,zinc,E2 Metal en bruto/refinado,M,2502000.0
1993,zinc,E2 Metal en bruto/refinado,X,84903000.0
1993,zinc,E3 Semimanufacturas,M,9500000.0
1993,zinc,E3 Semimanufacturas,X,37221000.0
1993,zinc,E4 Manufacturas,M,6629000.0
1993,zinc,E4 Manufacturas,X,2566000.0
1994,barita,E1 Crudo/molido,M,2336000.0
1994,barita,E1 Crudo/molido,X,4690693.0
1994,barita,E2 Quimicos de bario,M,880000.0
1994,barita,E2 Quimicos de bario,X,3183808.0
1994,cobre,E1 Mena/concentrado,M,31391000.0
1994,cobre,E1 Mena/concentrado,X,4748557.0
1994,cobre,E2 Metal en bruto/refinado,M,98262000.0
1994,cobre,E2 Metal en bruto/refinado,X,370218347.0
1994,cobre,E3 Semimanufacturas,M,244636000.0
1994,cobre,E3 Semimanufacturas,X,113204367.0
1994,cobre,E4 Manufacturas,M,166713000.0
1994,cobre,E4 Manufacturas,X,36252007.0
1994,fluorita,E1 Espato fluor (crudo),M,2995000.0
1994,fluorita,E1 Espato fluor (crudo),X,15135902.0
1994,fluorita,E2 Fluoroquimica,M,4952000.0
1994,fluorita,E2 Fluoroquimica,X,81006939.0
1994,grafito,E1 Grafito natural,M,2180000.0
1994,grafito,E1 Grafito natural,X,2376785.0
1994,grafito,E2 Grafito artificial/prep.,M,7535000.0
1994,grafito,E2 Grafito artificial/prep.,X,16102270.0
1994,grafito,E3 Electrodos/articulos de carbono,M,22494000.0
1994,grafito,E3 Electrodos/articulos de carbono,X,19876626.0
1994,manganeso,E1 Mena/concentrado,M,5279000.0
1994,manganeso,E1 Mena/concentrado,X,3910169.0
1994,manganeso,E2 Ferroaleaciones,M,15133000.0
1994,manganeso,E2 Ferroaleaciones,X,32026827.0
1994,manganeso,E3 Quimicos/metal,M,5902000.0
1994,manganeso,E3 Quimicos/metal,X,1691298.0
1994,oro,E1 Mena/concentrado,X,13441.0
1994,oro,E2 Bruto/semilabrado,M,134356992.0
1994,oro,E2 Bruto/semilabrado,X,78879608.0
1994,oro-plata (manufacturas),E4 Joyeria/orfebreria,M,83091000.0
1994,oro-plata (manufacturas),E4 Joyeria/orfebreria,X,71155206.0
1994,plata,E1 Mena/concentrado,X,23815.0
1994,plata,E2 Bruto/semilabrado,M,3751000.0
1994,plata,E2 Bruto/semilabrado,X,214312352.0
1994,plomo,E1 Mena/concentrado,M,12683000.0
1994,plomo,E2 Metal en bruto/refinado,M,770000.0
1994,plomo,E2 Metal en bruto/refinado,X,32658840.0
1994,plomo,E3 Semimanufacturas,M,397000.0
1994,plomo,E3 Semimanufacturas,X,37806.0
1994,plomo,E4 Manufacturas,M,2577000.0
1994,plomo,E4 Manufacturas,X,1403275.0
1994,silice,E1 Arena silica/cuarzo,M,9667000.0
1994,silice,E1 Arena silica/cuarzo,X,382913.0
1994,silice,E2 Silicio/ferrosilicio/SiO2,M,38436000.0
1994,silice,E2 Silicio/ferrosilicio/SiO2,X,1023489.0
1994,zinc,E1 Mena/concentrado,M,1000.0
1994,zinc,E1 Mena/concentrado,X,70061440.0
1994,zinc,E2 Metal en bruto/refinado,M,895000.0
1994,zinc,E2 Metal en bruto/refinado,X,75922032.0
1994,zinc,E3 Semimanufacturas,M,10767000.0
1994,zinc,E3 Semimanufacturas,X,37376920.0
1994,zinc,E4 Manufacturas,M,7732000.0
1994,zinc,E4 Manufacturas,X,2722911.0
1995,barita,E1 Crudo/molido,M,863000.0
1995,barita,E1 Crudo/molido,X,6854000.0
1995,barita,E2 Quimicos de bario,M,565000.0
1995,barita,E2 Quimicos de bario,X,4728000.0
1995,cobre,E1 Mena/concentrado,M,18094000.0
1995,cobre,E1 Mena/concentrado,X,20182000.0
1995,cobre,E2 Metal en bruto/refinado,M,59671000.0
1995,cobre,E2 Metal en bruto/refinado,X,581942992.0
1995,cobre,E3 Semimanufacturas,M,246944000.0
1995,cobre,E3 Semimanufacturas,X,207421000.0
1995,cobre,E4 Manufacturas,M,237946008.0
1995,cobre,E4 Manufacturas,X,23368000.0
1995,fluorita,E1 Espato fluor (crudo),M,3838000.0
1995,fluorita,E1 Espato fluor (crudo),X,23708000.0
1995,fluorita,E2 Fluoroquimica,M,5539000.0
1995,fluorita,E2 Fluoroquimica,X,89756000.0
1995,grafito,E1 Grafito natural,M,3211000.0
1995,grafito,E1 Grafito natural,X,2264000.0
1995,grafito,E2 Grafito artificial/prep.,M,8667000.0
1995,grafito,E2 Grafito artificial/prep.,X,17075000.0
1995,grafito,E3 Electrodos/articulos de carbono,M,27600000.0
1995,grafito,E3 Electrodos/articulos de carbono,X,23514000.0
1995,manganeso,E1 Mena/concentrado,M,9469000.0
1995,manganeso,E1 Mena/concentrado,X,9596000.0
1995,manganeso,E2 Ferroaleaciones,M,13290000.0
1995,manganeso,E2 Ferroaleaciones,X,31864000.0
1995,manganeso,E3 Quimicos/metal,M,7672000.0
1995,manganeso,E3 Quimicos/metal,X,1771000.0
1995,oro,E1 Mena/concentrado,M,1713000.0
1995,oro,E1 Mena/concentrado,X,13000.0
1995,oro,E2 Bruto/semilabrado,M,51335000.0
1995,oro,E2 Bruto/semilabrado,X,138916000.0
