anio,mineral,X_total_usd,X_crudo_usd,X_share_crudo
1992,barita,2815000.0,1244000.0,0.4419
1992,cobre,470519992.0,31605000.0,0.0672
1992,fluorita,100001000.0,13929000.0,0.1393
1992,grafito,30805000.0,3073000.0,0.0998
1992,manganeso,43053000.0,6044000.0,0.1404
1992,oro,41524000.0,71000.0,0.0017
1992,oro-plata (manufacturas),43815000.0,0.0,0.0
1992,plata,206850992.0,102000.0,0.0005
1992,plomo,57849000.0,1580000.0,0.0273
1992,silice,870000.0,624000.0,0.7172
1992,zinc,141571000.0,81135000.0,0.5731
1993,barita,5909000.0,4213000.0,0.713
1993,cobre,522073984.0,61000.0,0.0001
1993,fluorita,89254000.0,9385000.0,0.1051
1993,grafito,33533000.0,1995000.0,0.0595
1993,manganeso,44906000.0,8842000.0,0.1969
1993,oro,52696000.0,75000.0,0.0014
1993,oro-plata (manufacturas),50323000.0,0.0,0.0
1993,plata,187407000.0,1231000.0,0.0066
1993,plomo,43514000.0,293000.0,0.0067
1993,silice,1435000.0,957000.0,0.6669
1993,zinc,183071000.0,58381000.0,0.3189
1994,barita,7874501.0,4690693.0,0.5957
1994,cobre,524423278.0,4748557.0,0.0091
1994,fluorita,96142841.0,15135902.0,0.1574
1994,grafito,38355681.0,2376785.0,0.062
1994,manganeso,37628294.0,3910169.0,0.1039
1994,oro,78893049.0,13441.0,0.0002
1994,oro-plata (manufacturas),71155206.0,0.0,0.0
1994,plata,214336167.0,23815.0,0.0001
1994,plomo,34099921.0,0.0,0.0
1994,silice,1406402.0,382913.0,0.2723
1994,zinc,186083303.0,70061440.0,0.3765
1995,barita,11582000.0,6854000.0,0.5918
1995,cobre,832913992.0,20182000.0,0.0242
1995,fluorita,113464000.0,23708000.0,0.2089
1995,grafito,42853000.0,2264000.0,0.0528
1995,manganeso,43231000.0,9596000.0,0.222
1995,oro,138929000.0,13000.0,0.0001
1995,oro-plata (manufacturas),101540000.0,0.0,0.0
1995,plata,307646008.0,6883000.0,0.0224
1995,plomo,84857000.0,14708000.0,0.1733
1995,silice,948000.0,266000.0,0.2806
1995,zinc,216500000.0,69328000.0,0.3202
1996,barita,13099894.0,7762014.0,0.5925
1996,cobre,649837301.0,15994984.0,0.0246
1996,fluorita,137768043.0,20073116.0,0.1457
1996,grafito,56294228.0,2075280.0,0.0369
1996,manganeso,46235968.0,4363511.0,0.0944
