mineral,anio,X_total_musd,M_total_musd,saldo_neto_musd,X_share_crudo,X_share_procesado,M_share_procesado
cobre,2015,2220.09,2744.77,-524.67,0.421,0.579,0.971
cobre,2016,2670.49,2621.46,49.02,0.496,0.504,0.95
cobre,2017,2978.45,3109.94,-131.49,0.527,0.473,0.935
cobre,2018,3793.77,3837.59,-43.82,0.611,0.389,0.862
cobre,2019,3686.04,3868.38,-182.34,0.635,0.365,0.798
cobre,2020,4207.5,3718.27,489.23,0.684,0.316,0.695
cobre,2021,4985.4,4602.76,382.64,0.686,0.314,0.912
cobre,2022,4722.67,3963.17,759.5,0.664,0.336,0.833
cobre,2023,4637.91,4851.96,-214.06,0.801,0.199,0.891
cobre,2024,4590.87,6010.2,-1419.33,0.81,0.19,0.821
plomo,2015,1061.52,61.43,1000.09,0.841,0.159,0.68
plomo,2016,904.68,71.18,833.49,0.863,0.137,0.77
plomo,2017,1170.09,94.01,1076.08,0.836,0.164,0.58
plomo,2018,984.75,109.38,875.37,0.783,0.217,0.453
plomo,2019,931.39,93.86,837.53,0.794,0.206,0.435
plomo,2020,1641.37,63.69,1577.69,0.903,0.097,0.606
plomo,2021,1004.13,26.21,977.91,0.83,0.17,1.0
plomo,2022,946.12,35.44,910.68,0.789,0.211,1.0
plomo,2023,965.48,59.13,906.35,0.867,0.133,0.851
plomo,2024,1270.98,67.9,1203.08,0.859,0.141,1.0
zinc,2015,646.86,148.1,498.76,0.565,0.435,0.979
zinc,2016,780.17,174.21,605.96,0.723,0.277,0.999
zinc,2017,948.93,179.08,769.85,0.675,0.325,0.924
zinc,2018,1235.25,230.79,1004.47,0.644,0.356,0.844
zinc,2019,1045.77,210.06,835.7,0.627,0.373,0.846
zinc,2020,994.38,209.67,784.71,0.65,0.35,0.721
zinc,2021,541.36,208.03,333.34,0.459,0.541,1.0
zinc,2022,760.6,248.38,512.22,0.525,0.475,0.937
zinc,2023,589.42,207.85,381.58,0.417,0.583,1.0
zinc,2024,725.46,246.58,478.88,0.795,0.205,1.0
manganeso,2015,10.89,30.97,-20.08,0.0,1.0,0.558
manganeso,2016,34.45,38.86,-4.4,0.0,1.0,0.702
manganeso,2017,44.97,27.01,17.95,0.0,1.0,0.505
manganeso,2018,42.12,58.21,-16.09,0.0,1.0,0.308
manganeso,2019,45.97,48.35,-2.38,0.0,1.0,0.367
manganeso,2020,20.02,21.2,-1.18,0.0,1.0,0.498
manganeso,2021,19.98,21.37,-1.38,0.0,1.0,0.729
manganeso,2022,11.74,20.77,-9.03,0.0,1.0,1.0
manganeso,2023,6.89,135.75,-128.85,0.0,1.0,1.0
manganeso,2024,14.44,12.82,1.62,0.0,1.0,1.0
oro,2015,3144.36,176.64,2967.73,0.087,0.913,1.0
oro,2016,3487.69,146.37,3341.32,0.071,0.929,1.0
oro,2017,3546.1,99.53,3446.57,0.092,0.908,1.0
oro,2018,3382.36,140.33,3242.04,0.054,0.946,1.0
oro,2019,3485.87,125.84,3360.03,0.062,0.938,1.0
oro,2020,3810.27,102.06,3708.21,0.084,0.916,1.0
oro,2021,3416.93,113.67,3303.26,0.001,0.999,1.0
oro,2022,3117.23,121.94,2995.29,0.006,0.994,1.0
oro,2023,3434.75,136.28,3298.47,0.008,0.992,1.0
oro,2024,3715.03,131.63,3583.4,0.01,0.99,1.0
plata,2015,1858.63,78.77,1779.87,0.002,0.998,1.0
plata,2016,1906.84,67.79,1839.06,0.013,0.987,1.0
plata,2017,1855.84,73.98,1781.85,0.019,0.981,0.997
plata,2018,1708.73,86.59,1622.14,0.021,0.979,0.997
plata,2019,1913.57,92.44,1821.12,0.017,0.983,1.0
plata,2020,2302.88,84.42,2218.46,0.064,0.936,1.0
plata,2021,2571.73,131.41,2440.31,0.011,0.989,1.0
