mineral,etapa,flujo,pais,m49,valor_usd_2019_2024,share
barita,E1 Crudo/molido,M,Estados Unidos,842,17345441.0,0.5082
barita,E1 Crudo/molido,M,socio_504,504,13317318.0,0.3902
barita,E1 Crudo/molido,M,China,156,2152523.0,0.0631
barita,E1 Crudo/molido,M,Espana,724,991101.0,0.029
barita,E1 Crudo/molido,M,socio_699,699,250517.0,0.0073
barita,E1 Crudo/molido,M,Reino Unido,826,72608.0,0.0021
barita,E1 Crudo/molido,M,Turquia,792,869.0,0.0
barita,E1 Crudo/molido,X,Estados Unidos,842,85527052.0,1.0
barita,E2 Quimicos de bario,M,China,156,12080479.0,0.7555
barita,E2 Quimicos de bario,M,Estados Unidos,842,2398958.0,0.15
barita,E2 Quimicos de bario,M,Alemania,276,950028.0,0.0594
barita,E2 Quimicos de bario,M,socio_699,699,561151.0,0.0351
cobre,E1 Mena/concentrado,M,Estados Unidos,842,4702319148.0,0.8768
cobre,E1 Mena/concentrado,M,Chile,152,361536031.0,0.0674
cobre,E1 Mena/concentrado,M,Peru,604,238382101.0,0.0444
cobre,E1 Mena/concentrado,M,Canada,124,38940060.0,0.0073
cobre,E1 Mena/concentrado,M,China,156,21756675.0,0.0041
cobre,E1 Mena/concentrado,M,Reino Unido,826,666.0,0.0
cobre,E1 Mena/concentrado,M,Belgica,56,29.0,0.0
cobre,E1 Mena/concentrado,X,China,156,20416199679.0,0.9474
cobre,E1 Mena/concentrado,X,Japon,392,307267119.0,0.0143
cobre,E1 Mena/concentrado,X,Estados Unidos,842,276483277.0,0.0128
cobre,E1 Mena/concentrado,X,Corea del Sur,410,262700070.0,0.0122
cobre,E1 Mena/concentrado,X,Canada,124,177848284.0,0.0083
cobre,E1 Mena/concentrado,X,socio_490,490,87855057.0,0.0041
cobre,E1 Mena/concentrado,X,Peru,604,19447858.0,0.0009
cobre,E1 Mena/concentrado,X,Singapur,702,2005694.0,0.0001
cobre,E1 Mena/concentrado,X,Hong Kong,344,386207.0,0.0
cobre,E1 Mena/concentrado,X,Vietnam,704,328432.0,0.0
cobre,E2 Metal en bruto/refinado,M,Estados Unidos,842,4798532858.0,0.67
cobre,E2 Metal en bruto/refinado,M,Chile,152,1754225794.0,0.2449
cobre,E2 Metal en bruto/refinado,M,Peru,604,593459158.0,0.0829
cobre,E2 Metal en bruto/refinado,M,China,156,9389716.0,0.0013
cobre,E2 Metal en bruto/refinado,M,Canada,124,3692354.0,0.0005
cobre,E2 Metal en bruto/refinado,M,Italia,380,1269081.0,0.0002
cobre,E2 Metal en bruto/refinado,M,Alemania,276,980547.0,0.0001
cobre,E2 Metal en bruto/refinado,M,Espana,724,679206.0,0.0001
cobre,E2 Metal en bruto/refinado,M,socio_699,699,155101.0,0.0
cobre,E2 Metal en bruto/refinado,M,Japon,392,5622.0,0.0
cobre,E2 Metal en bruto/refinado,M,Corea del Sur,410,4850.0,0.0
cobre,E2 Metal en bruto/refinado,M,socio_251,251,191.0,0.0
cobre,E2 Metal en bruto/refinado,X,Estados Unidos,842,3295684924.0,0.6914
cobre,E2 Metal en bruto/refinado,X,China,156,1239614636.0,0.2601
cobre,E2 Metal en bruto/refinado,X,Corea del Sur,410,109773188.0,0.023
cobre,E2 Metal en bruto/refinado,X,Belgica,56,77841468.0,0.0163
cobre,E2 Metal en bruto/refinado,X,Canada,124,33391336.0,0.007
cobre,E2 Metal en bruto/refinado,X,Alemania,276,9615556.0,0.002
cobre,E2 Metal en bruto/refinado,X,Hong Kong,344,741721.0,0.0002
cobre,E2 Metal en bruto/refinado,X,Guatemala,320,4274.0,0.0
cobre,E3 Semimanufacturas,M,Estados Unidos,842,6585624051.0,0.7514
cobre,E3 Semimanufacturas,M,China,156,688043600.0,0.0785
cobre,E3 Semimanufacturas,M,Alemania,276,297167378.0,0.0339
cobre,E3 Semimanufacturas,M,Peru,604,191457231.0,0.0218
cobre,E3 Semimanufacturas,M,Corea del Sur,410,180047420.0,0.0205
cobre,E3 Semimanufacturas,M,Japon,392,124304295.0,0.0142
cobre,E3 Semimanufacturas,M,Espana,724,116573527.0,0.0133
cobre,E3 Semimanufacturas,M,Brasil,76,96842372.0,0.011
cobre,E3 Semimanufacturas,M,socio_699,699,87173818.0,0.0099
cobre,E3 Semimanufacturas,M,Tailandia,764,66399891.0,0.0076
cobre,E3 Semimanufacturas,M,Malasia,458,56011667.0,0.0064
cobre,E3 Semimanufacturas,M,Reino Unido,826,48384330.0,0.0055
cobre,E3 Semimanufacturas,M,socio_251,251,41321862.0,0.0047
cobre,E3 Semimanufacturas,M,socio_490,490,29402531.0,0.0034
cobre,E3 Semimanufacturas,M,Paises Bajos,528,25302783.0,0.0029
cobre,E3 Semimanufacturas,M,Belgica,56,22989583.0,0.0026
cobre,E3 Semimanufacturas,M,Chile,152,19240149.0,0.0022
cobre,E3 Semimanufacturas,M,Italia,380,17879345.0,0.002
cobre,E3 Semimanufacturas,M,Turquia,792,15400157.0,0.0018
cobre,E3 Semimanufacturas,M,Canada,124,12907061.0,0.0015
cobre,E3 Semimanufacturas,M,Vietnam,704,11123561.0,0.0013
cobre,E3 Semimanufacturas,M,socio_300,300,5598876.0,0.0006
cobre,E3 Semimanufacturas,M,socio_757,757,4074793.0,0.0005
cobre,E3 Semimanufacturas,M,Singapur,702,3690619.0,0.0004
cobre,E3 Semimanufacturas,M,socio_100,100,3307050.0,0.0004
cobre,E3 Semimanufacturas,M,socio_246,246,2748850.0,0.0003
cobre,E3 Semimanufacturas,M,socio_752,752,1868498.0,0.0002
cobre,E3 Semimanufacturas,M,Austria,40,1705013.0,0.0002
cobre,E3 Semimanufacturas,M,Colombia,170,1527305.0,0.0002
cobre,E3 Semimanufacturas,M,socio_688,688,1456035.0,0.0002
cobre,E3 Semimanufacturas,M,Sudafrica,710,1372667.0,0.0002
cobre,E3 Semimanufacturas,M,Hong Kong,344,1043636.0,0.0001
cobre,E3 Semimanufacturas,M,Hungria,348,501734.0,0.0001
cobre,E3 Semimanufacturas,M,Polonia,616,465581.0,0.0001
cobre,E3 Semimanufacturas,M,socio_579,579,446694.0,0.0001
cobre,E3 Semimanufacturas,M,Chequia,203,314722.0,0.0
cobre,E3 Semimanufacturas,M,socio_208,208,216634.0,0.0
cobre,E3 Semimanufacturas,M,Irlanda,372,166293.0,0.0
cobre,E3 Semimanufacturas,M,socio_376,376,163033.0,0.0
cobre,E3 Semimanufacturas,M,socio_620,620,88838.0,0.0
cobre,E3 Semimanufacturas,M,Australia,36,81362.0,0.0
cobre,E3 Semimanufacturas,M,Indonesia,360,56368.0,0.0
cobre,E3 Semimanufacturas,M,socio_705,705,42290.0,0.0
cobre,E3 Semimanufacturas,M,socio_804,804,39595.0,0.0
cobre,E3 Semimanufacturas,M,Nueva Zelanda,554,29563.0,0.0
cobre,E3 Semimanufacturas,M,Emiratos Arabes,784,24218.0,0.0
cobre,E3 Semimanufacturas,M,socio_586,586,20310.0,0.0
cobre,E3 Semimanufacturas,M,socio_899,899,11072.0,0.0
cobre,E3 Semimanufacturas,M,socio_703,703,7992.0,0.0
cobre,E3 Semimanufacturas,M,Argentina,32,7948.0,0.0
cobre,E3 Semimanufacturas,M,socio_568,568,2181.0,0.0
cobre,E3 Semimanufacturas,M,socio_642,642,671.0,0.0
cobre,E3 Semimanufacturas,X,Estados Unidos,842,2968571950.0,0.834
cobre,E3 Semimanufacturas,X,Colombia,170,178963118.0,0.0503
cobre,E3 Semimanufacturas,X,Chile,152,104962855.0,0.0295
cobre,E3 Semimanufacturas,X,socio_558,558,62525857.0,0.0176
cobre,E3 Semimanufacturas,X,Canada,124,56337898.0,0.0158
cobre,E3 Semimanufacturas,X,Italia,380,39296228.0,0.011
cobre,E3 Semimanufacturas,X,socio_218,218,25807630.0,0.0073
cobre,E3 Semimanufacturas,X,Peru,604,25618019.0,0.0072
cobre,E3 Semimanufacturas,X,Guatemala,320,22041623.0,0.0062
cobre,E3 Semimanufacturas,X,socio_340,340,21417001.0,0.006
cobre,E3 Semimanufacturas,X,socio_188,188,18001339.0,0.0051
cobre,E3 Semimanufacturas,X,socio_591,591,15092882.0,0.0042
cobre,E3 Semimanufacturas,X,socio_214,214,4713101.0,0.0013
cobre,E3 Semimanufacturas,X,El Salvador,222,4623796.0,0.0013
cobre,E3 Semimanufacturas,X,Reino Unido,826,2721930.0,0.0008
cobre,E3 Semimanufacturas,X,Argentina,32,2566887.0,0.0007
cobre,E3 Semimanufacturas,X,Brasil,76,1624606.0,0.0005
cobre,E3 Semimanufacturas,X,socio_68,68,1360561.0,0.0004
cobre,E3 Semimanufacturas,X,socio_862,862,1205889.0,0.0003
cobre,E3 Semimanufacturas,X,Japon,392,490884.0,0.0001
cobre,E3 Semimanufacturas,X,socio_192,192,436302.0,0.0001
cobre,E3 Semimanufacturas,X,Malasia,458,372304.0,0.0001
cobre,E3 Semimanufacturas,X,socio_858,858,292872.0,0.0001
cobre,E3 Semimanufacturas,X,China,156,232288.0,0.0001
cobre,E3 Semimanufacturas,X,socio_208,208,123945.0,0.0
cobre,E3 Semimanufacturas,X,socio_84,84,98566.0,0.0
cobre,E3 Semimanufacturas,X,socio_251,251,37337.0,0.0
cobre,E3 Semimanufacturas,X,socio_699,699,16615.0,0.0
cobre,E3 Semimanufacturas,X,Alemania,276,16269.0,0.0
cobre,E3 Semimanufacturas,X,Arabia Saudita,682,15330.0,0.0
cobre,E3 Semimanufacturas,X,socio_388,388,10681.0,0.0
cobre,E3 Semimanufacturas,X,socio_600,600,8444.0,0.0
cobre,E3 Semimanufacturas,X,Espana,724,2968.0,0.0
cobre,E3 Semimanufacturas,X,socio_332,332,1773.0,0.0
cobre,E3 Semimanufacturas,X,Australia,36,1419.0,0.0
cobre,E3 Semimanufacturas,X,socio_52,52,1078.0,0.0
cobre,E4 Manufacturas,M,Estados Unidos,842,968420908.0,0.5245
cobre,E4 Manufacturas,M,China,156,271471644.0,0.147
cobre,E4 Manufacturas,M,socio_490,490,172254087.0,0.0933
cobre,E4 Manufacturas,M,Alemania,276,168111426.0,0.091
cobre,E4 Manufacturas,M,Japon,392,49911046.0,0.027
cobre,E4 Manufacturas,M,socio_699,699,40793246.0,0.0221
cobre,E4 Manufacturas,M,Corea del Sur,410,34285037.0,0.0186
cobre,E4 Manufacturas,M,socio_251,251,26971741.0,0.0146
cobre,E4 Manufacturas,M,Canada,124,22597011.0,0.0122
cobre,E4 Manufacturas,M,Reino Unido,826,13753813.0,0.0074
cobre,E4 Manufacturas,M,Italia,380,12259103.0,0.0066
cobre,E4 Manufacturas,M,Chequia,203,10504103.0,0.0057
cobre,E4 Manufacturas,M,Espana,724,8158061.0,0.0044
cobre,E4 Manufacturas,M,socio_757,757,8066343.0,0.0044
cobre,E4 Manufacturas,M,Tailandia,764,5828361.0,0.0032
cobre,E4 Manufacturas,M,Malasia,458,5178157.0,0.0028
cobre,E4 Manufacturas,M,Vietnam,704,3446228.0,0.0019
cobre,E4 Manufacturas,M,Austria,40,2444346.0,0.0013
cobre,E4 Manufacturas,M,Turquia,792,2286640.0,0.0012
cobre,E4 Manufacturas,M,socio_608,608,2172093.0,0.0012
cobre,E4 Manufacturas,M,socio_246,246,1996679.0,0.0011
cobre,E4 Manufacturas,M,Hungria,348,1928414.0,0.001
cobre,E4 Manufacturas,M,Polonia,616,1872059.0,0.001
cobre,E4 Manufacturas,M,Brasil,76,1841192.0,0.001
cobre,E4 Manufacturas,M,Paises Bajos,528,1613783.0,0.0009
cobre,E4 Manufacturas,M,Belgica,56,1591323.0,0.0009
cobre,E4 Manufacturas,M,Singapur,702,1429501.0,0.0008
cobre,E4 Manufacturas,M,Hong Kong,344,1331445.0,0.0007
cobre,E4 Manufacturas,M,socio_752,752,851565.0,0.0005
