mineral,X,M
cobre,China 71%; Estados Unidos 23%; Corea del Sur 1%,Estados Unidos 74%; Chile 9%; Peru 4%
oro,Estados Unidos 76%; China 2%; Corea del Sur 1%,Estados Unidos 85%; Singapur 8%; Canada 6%
plata,Estados Unidos 95%; Corea del Sur 2%; Alemania 1%,Estados Unidos 88%; Canada 4%; Japon 3%
plomo,China 57%; Corea del Sur 24%; Estados Unidos 10%,Estados Unidos 100%; Alemania 0%; Canada 0%
zinc,Corea del Sur 40%; Estados Unidos 25%; Japon 8%,Estados Unidos 51%; Canada 14%; Peru 14%
fluorita,Estados Unidos 94%; China 5%; Brasil 1%,Estados Unidos 44%; China 23%; Alemania 9%
manganeso,Estados Unidos 96%; Colombia 1%; Chile 0%,Brasil 37%; Estados Unidos 4%
grafito,Estados Unidos 82%; Espana 5%; Colombia 2%,China 24%; Estados Unidos 20%; Malasia 14%
silice,Estados Unidos 92%; Guatemala 7%; Colombia 0%,Estados Unidos 49%; China 37%; Canada 3%
barita,Estados Unidos 100%,Estados Unidos 39%; China 28%; Espana 2%
