mineral,estado,produccion_2024,unidad,share_2024_pct,fuente
cobre,Sonora,544345.8,toneladas,70.05,SGM Anuario 2025 p.100
cobre,Zacatecas,121335.8,toneladas,15.61,SGM Anuario 2025 p.100
cobre,San Luis Potosi,33479.99,toneladas,4.31,SGM Anuario 2025 p.100
cobre,Chihuahua,19844.46,toneladas,2.55,SGM Anuario 2025 p.100
cobre,Coahuila,15000.0,toneladas,1.93,SGM Anuario 2025 p.100
cobre,Baja California Sur,13978.0,toneladas,1.8,SGM Anuario 2025 p.100
cobre,Guerrero,10881.03,toneladas,1.4,SGM Anuario 2025 p.100
cobre,Durango,6934.01,toneladas,0.89,SGM Anuario 2025 p.100
cobre,Hidalgo,3245.92,toneladas,0.42,SGM Anuario 2025 p.100
cobre,Michoacan,2081.43,toneladas,0.27,SGM Anuario 2025 p.100
cobre,Jalisco,1578.62,toneladas,0.2,SGM Anuario 2025 p.100
cobre,Queretaro,1544.0,toneladas,0.2,SGM Anuario 2025 p.100
cobre,Mexico,1133.0,toneladas,0.15,SGM Anuario 2025 p.100
cobre,Oaxaca,911.09,toneladas,0.12,SGM Anuario 2025 p.100
cobre,Sinaloa,427.0,toneladas,0.05,SGM Anuario 2025 p.100
cobre,Aguascalientes,386.0,toneladas,0.05,SGM Anuario 2025 p.100
manganeso,Hidalgo,134110.0,toneladas,100.0,SGM Anuario 2025 p.104
oro,Sonora,38360.3,kilogramos,32.45,SGM Anuario 2025 p.106
oro,Zacatecas,37872.85,kilogramos,32.03,SGM Anuario 2025 p.106
oro,Guerrero,19710.0,kilogramos,16.67,SGM Anuario 2025 p.106
oro,Chihuahua,9607.54,kilogramos,8.13,SGM Anuario 2025 p.106
oro,Durango,8108.57,kilogramos,6.86,SGM Anuario 2025 p.106
oro,San Luis Potosi,2660.0,kilogramos,2.25,SGM Anuario 2025 p.106
oro,Mexico,813.59,kilogramos,0.69,SGM Anuario 2025 p.106
oro,Oaxaca,390.0,kilogramos,0.33,SGM Anuario 2025 p.106
oro,Queretaro,216.54,kilogramos,0.18,SGM Anuario 2025 p.106
oro,Sinaloa,166.0,kilogramos,0.14,SGM Anuario 2025 p.106
oro,Coahuila,105.12,kilogramos,0.09,SGM Anuario 2025 p.106
oro,Nayarit,70.0,kilogramos,0.06,SGM Anuario 2025 p.106
oro,Aguascalientes,60.0,kilogramos,0.05,SGM Anuario 2025 p.106
oro,Michoacan,44.88,kilogramos,0.04,SGM Anuario 2025 p.106
oro,Hidalgo,35.66,kilogramos,0.03,SGM Anuario 2025 p.106
oro,Jalisco,6.73,kilogramos,0.01,SGM Anuario 2025 p.106
plata,Zacatecas,3632404.44,kilogramos,50.3,SGM Anuario 2025 p.108
plata,Chihuahua,1045873.9,kilogramos,14.48,SGM Anuario 2025 p.108
plata,Sonora,835288.1,kilogramos,11.57,SGM Anuario 2025 p.108
plata,Durango,812980.0,kilogramos,11.26,SGM Anuario 2025 p.108
plata,San Luis Potosi,217660.0,kilogramos,3.01,SGM Anuario 2025 p.108
plata,Mexico,136930.0,kilogramos,1.9,SGM Anuario 2025 p.108
plata,Guerrero,114470.0,kilogramos,1.59,SGM Anuario 2025 p.108
plata,Hidalgo,101680.0,kilogramos,1.41,SGM Anuario 2025 p.108
plata,Coahuila,96770.0,kilogramos,1.34,SGM Anuario 2025 p.108
plata,Jalisco,76020.0,kilogramos,1.05,SGM Anuario 2025 p.108
