mineral,eslabon,nodo,estado,empresa,nota
cobre,E2 fundición/refinación,"Nacozari",Sonora,Grupo México (La Caridad),"Fundición y refinería junto a la mina"
cobre,E2 fundición,"Cananea",Sonora,Grupo México (Buenavista),"Fundición junto a la mina"
cobre,E2 refinación,"Ciudad de México",Ciudad de México,"Cobre de México, S.A.","Refinería primaria"
cobre,E3 semis (alambre/cable),"Monterrey / SLP",Nuevo León,Viakable (Grupo Xignux),"Mayor fabricante de conductores"
cobre,E3 semis (alambre/cable),"Vallejo (CDMX)",Ciudad de México,Condumex (Grupo Carso),"Conductores de cobre"
oro-plata,E2 refinación metales preciosos,"Torreón",Coahuila,Met-Mex Peñoles,"Refinería de oro y plata"
plomo-zinc,E2 fundición/refinación,"Torreón",Coahuila,Met-Mex Peñoles,"Refinería de plomo, zinc, plata y oro"
plomo-zinc,E2 refinación zinc,"San Luis Potosí",San Luis Potosí,Grupo México (IMMSA),"Refinería de zinc"
plomo-zinc,E4 baterías,"Nuevo León",Nuevo León,Clarios (marca LTH),"Baterías plomo-ácido + reciclaje"
manganeso,E2 ferroaleaciones,"Tamós",Veracruz,Compañía Minera Autlán,"Ferro- y silicomanganeso"
manganeso,E2 ferroaleaciones,"Teziutlán",Puebla,Compañía Minera Autlán,"Ferroaleaciones"
manganeso,E2 ferroaleaciones,"Gómez Palacio",Durango,Compañía Minera Autlán,"Ferroaleaciones"
fluorita,E2 fluoroquímica (HF),"Matamoros",Tamaulipas,Koura (Orbia),"Planta de ácido fluorhídrico más grande del mundo"
silice,E2 vidrio,"Monterrey",Nuevo León,Vitro,"Fundición de arena sílica para vidrio"
grafito,E4 siderurgia (EAF),"Lázaro Cárdenas / Monterrey / varias",Michoacán,Ternium; ArcelorMittal; DeAcero,"Usuario: electrodos/refractarios en acería EAF (insumo procesado importado)"
barita,usuario (perforación),"Cuenca de Campeche / Golfo",Campeche,PEMEX (+ servicios),"Usuario: densificante de lodos de perforación"
