estado,abrev,eslabon,tipo,industria,vbp_mdp,forward_rowsum,forward_rasmussen,backward_rasmussen,rank_forward_de_35
Aguascalientes,ags,L1,extraccion,21-2 - Minería no petrolera,9530.5,1.388,1.2137,0.9116,3
Aguascalientes,ags,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,8370.8,1.1543,1.0094,1.1264,10
Baja California,bc,L1,extraccion,21-2 - Minería no petrolera,2917.0,1.4255,1.1675,1.0663,9
Baja California,bc,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,56018.2,1.1831,0.9691,0.9715,16
Baja California Sur,bcs,L1,extraccion,21-2 - Minería no petrolera,8986.8,1.2446,1.1271,0.8914,6
Baja California Sur,bcs,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,356.7,1.0386,0.9406,1.1755,21
Campeche,camp,L1,extraccion,21-2 - Minería no petrolera,707.6,1.0551,0.9785,1.0411,15
Campeche,camp,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,191.6,1.0094,0.9361,1.1009,28
Chiapas,chis,L1,extraccion,21-2 - Minería no petrolera,1486.3,1.1338,0.997,1.002,15
Chiapas,chis,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,1223.7,1.0729,0.9435,1.1766,22
Chihuahua,chih,L1,extraccion,21-2 - Minería no petrolera,23906.3,1.126,0.9647,0.9996,13
Chihuahua,chih,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,30671.1,1.0369,0.8884,0.9672,25
Ciudad de Mexico,cdmx,L1,extraccion,21-2 - Minería no petrolera,429.5,1.0004,0.8863,1.2263,32
Ciudad de Mexico,cdmx,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,43102.3,1.1144,0.9873,1.0097,15
Coahuila,coah,L1,extraccion,21-2 - Minería no petrolera,42338.9,1.9454,1.6145,0.868,1
Coahuila,coah,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,342365.4,1.418,1.1768,0.9959,6
Colima,col,L1,extraccion,21-2 - Minería no petrolera,6548.1,1.2637,1.14,0.9302,4
Colima,col,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,437.5,1.0416,0.9396,1.1791,20
Durango,dgo,L1,extraccion,21-2 - Minería no petrolera,36058.7,1.2177,1.0292,0.9867,9
Durango,dgo,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,6153.2,1.1359,0.9601,1.1535,15
Guanajuato,gto,L1,extraccion,21-2 - Minería no petrolera,5465.6,1.1513,0.9807,1.0623,17
Guanajuato,gto,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,66913.2,1.2399,1.0561,0.9769,13
Guerrero,gro,L1,extraccion,21-2 - Minería no petrolera,11208.4,1.1465,1.0506,0.9135,9
Guerrero,gro,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,749.0,1.0383,0.9515,1.1696,22
Hidalgo,hgo,L1,extraccion,21-2 - Minería no petrolera,7493.7,1.3194,1.1692,1.0761,5
Hidalgo,hgo,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,12900.9,1.1596,1.0276,1.1537,10
Jalisco,jal,L1,extraccion,21-2 - Minería no petrolera,12982.8,1.2432,1.0282,1.0094,13
Jalisco,jal,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,67630.3,1.2541,1.0372,1.0338,12
Mexico,mex,L1,extraccion,21-2 - Minería no petrolera,8584.5,1.1104,0.9527,0.9926,18
Mexico,mex,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,90531.8,1.2384,1.0626,1.0322,10
Michoacan,mich,L1,extraccion,21-2 - Minería no petrolera,8896.6,1.2382,1.1046,0.9799,5
Michoacan,mich,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,31165.8,1.133,1.0107,1.0295,11
Morelos,mor,L1,extraccion,21-2 - Minería no petrolera,923.4,1.1225,1.0215,1.0112,11
Morelos,mor,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,3956.1,1.0757,0.979,1.0829,19
Nayarit,nay,L1,extraccion,21-2 - Minería no petrolera,2491.4,1.1565,1.0686,0.952,7
Nayarit,nay,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,291.5,1.0309,0.9526,1.178,20
Nuevo Leon,nl,L1,extraccion,21-2 - Minería no petrolera,11947.1,1.0725,0.8828,1.0486,28
Nuevo Leon,nl,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,271120.5,1.4851,1.2224,0.9605,6
Oaxaca,oax,L1,extraccion,21-2 - Minería no petrolera,4309.0,1.1973,1.0612,1.1085,10
Oaxaca,oax,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,1587.0,1.0608,0.9403,1.1938,21
Puebla,pue,L1,extraccion,21-2 - Minería no petrolera,4097.9,1.1268,0.9673,0.9806,15
Puebla,pue,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,40959.8,1.2815,1.1001,1.0019,8
Queretaro,qro,L1,extraccion,21-2 - Minería no petrolera,6071.3,1.2031,1.0287,0.9484,11
Queretaro,qro,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,36271.9,1.2966,1.1087,0.9842,8
Quintana Roo,qr,L1,extraccion,21-2 - Minería no petrolera,6135.3,1.2321,1.1183,0.8916,5
Quintana Roo,qr,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,524.3,1.0323,0.937,1.189,21
San Luis Potosi,slp,L1,extraccion,21-2 - Minería no petrolera,19628.6,1.6528,1.3956,0.8783,1
San Luis Potosi,slp,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,59930.6,1.4042,1.1857,1.0229,5
Sinaloa,sin,L1,extraccion,21-2 - Minería no petrolera,6801.2,1.2056,1.0316,0.9614,11
Sinaloa,sin,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,5065.4,1.1777,1.0077,1.0933,12
Sonora,son,L1,extraccion,21-2 - Minería no petrolera,140608.2,1.7627,1.4051,0.812,2
Sonora,son,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,103419.9,1.3677,1.0902,1.3178,11
Tabasco,tab,L1,extraccion,21-2 - Minería no petrolera,3473.6,1.1907,1.0615,0.937,11
Tabasco,tab,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,2635.7,1.0865,0.9686,1.1126,20
