estado,abrev,vbp_mineria_mdp,share_vbp_estatal_pct,forward_rowsum,forward_rasmussen,rank_forward_de_35,backward_rasmussen,fuga_export_share,usa_intra_interm_mdp,exporta_mdp
Sonora,son,140608.2,9.556,1.7627,1.4051,2,0.812,0.3863,78693.8,54312.9
Coahuila,coah,42338.9,1.973,1.9454,1.6145,1,0.868,0.3166,28625.3,13402.9
Durango,dgo,36058.7,7.017,1.2177,1.0292,9,0.9867,0.7697,7148.7,27754.9
Zacatecas,zac,34470.9,10.215,1.1265,1.0446,9,0.8923,0.8442,4000.4,29101.9
Chihuahua,chih,23906.3,1.334,1.126,0.9647,13,0.9996,0.8932,2422.6,21353.7
San Luis Potosi,slp,19628.6,1.779,1.6528,1.3956,1,0.8783,0.526,9151.8,10324.8
Jalisco,jal,12982.8,0.422,1.2432,1.0282,13,1.0094,0.8043,2512.5,10442.0
Nuevo Leon,nl,11947.1,0.328,1.0725,0.8828,28,1.0486,0.9458,635.0,11299.2
Guerrero,gro,11208.4,2.508,1.1465,1.0506,9,0.9135,0.8658,1432.6,9704.7
Aguascalientes,ags,9530.5,1.486,1.388,1.2137,3,0.9116,0.6966,2807.0,6639.1
Baja California Sur,bcs,8986.8,3.381,1.2446,1.1271,6,0.8914,0.7696,1944.7,6916.2
Michoacan,mich,8896.6,0.967,1.2382,1.1046,5,0.9799,0.7839,1893.8,6974.2
Mexico,mex,8584.5,0.229,1.1104,0.9527,18,0.9926,0.9122,744.2,7830.3
Veracruz,ver,7749.3,0.461,1.2859,1.0943,9,1.0427,0.6692,1734.9,5186.2
Hidalgo,hgo,7493.7,0.913,1.3194,1.1692,5,1.0761,0.7579,1789.8,5679.7
Sinaloa,sin,6801.2,0.873,1.2056,1.0316,11,0.9614,0.8201,1190.8,5577.3
Colima,col,6548.1,2.871,1.2637,1.14,4,0.9302,0.7923,1303.8,5188.0
Quintana Roo,qr,6135.3,1.194,1.2321,1.1183,5,0.8916,0.7828,1260.2,4802.9
Queretaro,qro,6071.3,0.503,1.2031,1.0287,11,0.9484,0.8385,969.7,5090.7
Guanajuato,gto,5465.6,0.255,1.1513,0.9807,17,1.0623,0.8767,668.5,4791.9
Yucatan,yuc,5171.4,0.93,1.3121,1.1413,5,0.9348,0.7286,1364.4,3768.1
Oaxaca,oax,4309.0,0.588,1.1973,1.0612,10,1.1085,0.8422,668.4,3628.9
Puebla,pue,4097.9,0.271,1.1268,0.9673,15,0.9806,0.9062,373.0,3713.8
Tabasco,tab,3473.6,0.482,1.1907,1.0615,11,0.937,0.7761,513.2,2695.8
Baja California,bc,2917.0,0.169,1.4255,1.1675,9,1.0663,0.6585,991.5,1920.8
Nayarit,nay,2491.4,1.123,1.1565,1.0686,7,0.952,0.8504,363.1,2118.7
Chiapas,chis,1486.3,0.285,1.1338,0.997,15,1.002,0.8622,174.2,1281.6
Tamaulipas,tamps,1038.9,0.07,1.0292,0.8833,29,1.1407,0.9604,26.3,997.8
Morelos,mor,923.4,0.206,1.1225,1.0215,11,1.0112,0.8893,101.7,821.2
Campeche,camp,707.6,0.083,1.0551,0.9785,15,1.0411,0.9335,37.0,660.6
Tlaxcala,tlax,646.1,0.247,1.1074,1.0047,14,1.0118,0.9089,58.5,587.3
Ciudad de Mexico,cdmx,429.5,0.008,1.0004,0.8863,32,1.2263,0.9952,0.2,427.5
