estado,abrev,vbp_mineria_mdp,intra_share,inter_estatal_share,final_nacional_share,export_abroad_share,encad_nacional_share,forward_rasmussen_br
Sonora,son,140608.2,0.5597,0.1401,0.0603,0.2399,0.6998,1.3888
Coahuila,coah,42338.9,0.6761,0.2498,0.0323,0.0418,0.9259,1.5885
Durango,dgo,36058.7,0.1983,0.4587,0.0547,0.2884,0.6569,1.3046
Zacatecas,zac,34470.9,0.1161,0.2975,0.0564,0.5301,0.4135,1.074
Chihuahua,chih,23906.3,0.1013,0.1169,0.0244,0.7574,0.2182,0.9202
San Luis Potosi,slp,19628.6,0.4662,0.4774,0.0433,0.013,0.9437,1.6501
Jalisco,jal,12982.8,0.1935,0.7512,0.0504,0.0048,0.9447,1.6597
Nuevo Leon,nl,11947.1,0.0531,0.9137,0.0291,0.0041,0.9668,1.6245
Guerrero,gro,11208.4,0.1278,0.257,0.027,0.5881,0.3848,1.0758
Aguascalientes,ags,9530.5,0.2945,0.6323,0.0616,0.0116,0.9268,1.6675
Baja California Sur,bcs,8986.8,0.2164,0.4414,0.0471,0.2951,0.6578,1.3218
Michoacan,mich,8896.6,0.2129,0.6408,0.0407,0.1056,0.8537,1.6094
Mexico,mex,8584.5,0.0867,0.8534,0.0468,0.0131,0.9401,1.6415
Veracruz,ver,7749.3,0.2239,0.645,0.1311,0.0,0.8689,1.557
Hidalgo,hgo,7493.7,0.2388,0.7134,0.0478,0.0,0.9522,1.6959
Sinaloa,sin,6801.2,0.1751,0.6648,0.0603,0.0998,0.8399,1.5549
Colima,col,6548.1,0.1991,0.3591,0.038,0.4038,0.5582,1.2611
Quintana Roo,qr,6135.3,0.2054,0.7425,0.0521,0.0,0.9479,1.6158
Queretaro,qro,6071.3,0.1597,0.7863,0.0443,0.0096,0.946,1.645
Guanajuato,gto,5465.6,0.1223,0.8235,0.0462,0.0079,0.9458,1.6572
Yucatan,yuc,5171.4,0.2638,0.6949,0.0412,0.0,0.9588,1.6671
Oaxaca,oax,4309.0,0.1551,0.7911,0.0474,0.0064,0.9462,1.7016
Puebla,pue,4097.9,0.091,0.8646,0.0439,0.0005,0.9556,1.6585
Tabasco,tab,3473.6,0.1478,0.769,0.0832,0.0,0.9168,1.5996
Baja California,bc,2917.0,0.3399,0.5764,0.0557,0.0281,0.9163,1.6418
Nayarit,nay,2491.4,0.1457,0.7855,0.0466,0.0221,0.9313,1.6651
Chiapas,chis,1486.3,0.1172,0.8308,0.0521,0.0,0.9479,1.6672
Tamaulipas,tamps,1038.9,0.0253,0.9481,0.0265,0.0,0.9735,1.6836
Morelos,mor,923.4,0.1101,0.8315,0.0584,0.0,0.9416,1.6889
Campeche,camp,707.6,0.0523,0.9267,0.021,0.0,0.979,1.6159
Tlaxcala,tlax,646.1,0.0906,0.8621,0.0473,0.0,0.9527,1.7351
Ciudad de Mexico,cdmx,429.5,0.0004,0.4019,0.5977,0.0,0.4023,1.077
