anio,pais,pais_nombre,sector,sector_nombre,vbp_musd,share_vbp_pct,backward_L_colsum,forward_G_rowsum,backward_rasmussen,forward_rasmussen,rank_backward,rank_forward,n_industrias
2008,MEX,Mexico,B05_06,mineria energeticos,94774.7,4.928,1.1795,2.1193,0.7409,1.3657,42,7,45
2008,MEX,Mexico,B07_08,mineria no energetica (metales+otra),13243.4,0.689,1.5305,2.5606,0.9614,1.65,24,1,45
2008,MEX,Mexico,B09,servicios apoyo mineria,11605.6,0.603,1.5855,1.2749,0.9959,0.8215,21,31,45
2008,CHL,Chile,B05_06,mineria energeticos,496.5,0.135,1.6674,2.9297,0.9592,1.6369,28,1,45
2008,CHL,Chile,B07_08,mineria no energetica (metales+otra),56714.8,15.388,1.8356,1.5845,1.056,0.8853,18,27,45
2008,CHL,Chile,B09,servicios apoyo mineria,107.1,0.029,1.4488,1.8695,0.8335,1.0445,39,23,45
2008,AUS,Australia,B05_06,mineria energeticos,80664.0,4.07,1.4455,1.862,0.771,0.9683,44,24,45
2008,AUS,Australia,B07_08,mineria no energetica (metales+otra),59701.6,3.012,1.8272,1.8409,0.9746,0.9573,31,25,45
2008,AUS,Australia,B09,servicios apoyo mineria,12119.2,0.611,1.9483,2.2204,1.0391,1.1547,21,19,45
2008,FIN,Finlandia,B05_06,mineria energeticos,533.4,0.096,1.7158,3.0549,1.031,1.7191,20,1,45
2008,FIN,Finlandia,B07_08,mineria no energetica (metales+otra),1877.8,0.339,1.7308,2.5099,1.04,1.4124,18,2,45
2008,FIN,Finlandia,B09,servicios apoyo mineria,38.9,0.007,1.7692,1.9414,1.0631,1.0925,13,15,45
2008,SWE,Suecia,B05_06,mineria energeticos,290.5,0.029,1.698,2.8804,1.0,1.6334,25,1,45
2008,SWE,Suecia,B07_08,mineria no energetica (metales+otra),4852.6,0.487,1.4698,2.2251,0.8656,1.2618,41,5,45
2008,SWE,Suecia,B09,servicios apoyo mineria,286.6,0.029,1.77,1.2236,1.0424,0.6939,14,42,45
2008,CHN,China,B05_06,mineria energeticos,281922.7,2.271,1.6585,4.0436,0.7452,1.7119,39,2,45
2008,CHN,China,B07_08,mineria no energetica (metales+otra),138839.2,1.118,2.0653,3.6785,0.928,1.5573,28,3,45
2008,CHN,China,B09,servicios apoyo mineria,10999.6,0.089,2.0043,4.3597,0.9005,1.8457,29,1,45
2008,BRA,Brasil,B05_06,mineria energeticos,67998.2,2.231,1.6842,3.0368,0.8957,1.551,32,2,45
2008,BRA,Brasil,B07_08,mineria no energetica (metales+otra),30852.7,1.012,1.8556,1.9009,0.9869,0.9708,24,26,45
2008,BRA,Brasil,B09,servicios apoyo mineria,2821.3,0.093,1.4636,3.406,0.7784,1.7396,39,1,45
2008,PER,Peru,B05_06,mineria energeticos,5508.3,2.527,1.5022,2.8708,0.9096,1.5941,36,2,45
2008,PER,Peru,B07_08,mineria no energetica (metales+otra),16941.0,7.772,1.4517,1.1982,0.879,0.6654,39,36,45
2008,PER,Peru,B09,servicios apoyo mineria,1226.5,0.563,1.2676,2.1657,0.7676,1.2026,43,13,45
2013,MEX,Mexico,B05_06,mineria energeticos,81640.4,3.772,1.1636,2.0395,0.7412,1.3123,42,7,45
2013,MEX,Mexico,B07_08,mineria no energetica (metales+otra),19358.9,0.894,1.4557,2.4627,0.9273,1.5846,29,1,45
2013,MEX,Mexico,B09,servicios apoyo mineria,13552.0,0.626,1.6,1.3298,1.0193,0.8556,20,29,45
2013,CHL,Chile,B05_06,mineria energeticos,626.3,0.122,1.635,2.4909,0.9875,1.4452,27,3,45
