anio,pais,pais_nombre,sector,exgr_musd,dva_share,vax_mineria_musd,reproc_domestico_share,crudo_share,foreign_abs_share
1995,MEX,Mexico,B05_06,7393.3,0.9749,8838.7,0.2375,0.7625,0.4729
1995,MEX,Mexico,B07_08,212.0,0.9359,717.2,0.7641,0.2359,0.215
1995,MEX,Mexico,B09,7.4,0.9132,52.1,0.2274,0.7726,0.0953
1995,CHL,Chile,B05_06,0.1,0.8336,13.9,0.7376,0.2624,0.2742
1995,CHL,Chile,B07_08,7763.9,0.8756,5107.7,0.0014,0.9986,0.9956
1995,CHL,Chile,B09,6.5,0.905,4.6,0.0084,0.9916,0.2548
1995,AUS,Australia,B05_06,7067.8,0.9216,5535.5,0.1362,0.8638,0.687
1995,AUS,Australia,B07_08,4419.2,0.8907,5044.3,0.4842,0.5158,0.6784
1995,AUS,Australia,B09,29.4,0.9273,710.1,0.3082,0.6918,0.3545
1995,FIN,Finlandia,B05_06,9.6,0.731,38.5,0.897,0.103,0.3481
1995,FIN,Finlandia,B07_08,117.5,0.7516,163.9,0.6858,0.3142,0.5244
1995,FIN,Finlandia,B09,1.2,0.7158,0.7,0.3963,0.6037,0.5272
1995,SWE,Suecia,B05_06,6.2,0.6773,13.1,0.8997,0.1003,0.3755
1995,SWE,Suecia,B07_08,474.8,0.7584,480.6,0.5773,0.4227,0.7322
1995,SWE,Suecia,B09,86.2,0.6779,16.1,0.0055,0.9945,0.9864
1996,MEX,Mexico,B05_06,10618.4,0.9676,11594.7,0.1807,0.8193,0.5565
1996,MEX,Mexico,B07_08,252.1,0.92,667.1,0.7115,0.2885,0.2161
1996,MEX,Mexico,B09,6.8,0.8964,62.6,0.1763,0.8237,0.1038
1996,CHL,Chile,B05_06,1.0,0.8312,12.2,0.6545,0.3455,0.2285
1996,CHL,Chile,B07_08,7717.3,0.8761,5201.8,0.0052,0.9948,0.9646
1996,CHL,Chile,B09,1.8,0.9061,1.3,0.0375,0.9625,0.0698
1996,AUS,Australia,B05_06,7983.3,0.928,6667.0,0.1617,0.8383,0.6636
1996,AUS,Australia,B07_08,4990.7,0.8638,4632.1,0.4837,0.5163,0.7306
1996,AUS,Australia,B09,38.6,0.8919,746.9,0.3309,0.6691,0.3549
1996,FIN,Finlandia,B05_06,21.4,0.7416,40.0,0.7855,0.2145,0.3694
1996,FIN,Finlandia,B07_08,84.5,0.7264,142.4,0.7718,0.2282,0.5406
1996,FIN,Finlandia,B09,1.1,0.9551,1.2,0.1517,0.8483,0.7528
1996,SWE,Suecia,B05_06,6.9,0.6689,9.8,0.8908,0.1092,0.3777
1996,SWE,Suecia,B07_08,449.6,0.7318,422.0,0.6104,0.3896,0.745
1996,SWE,Suecia,B09,78.6,0.6594,10.5,0.0056,0.9944,0.986
1997,MEX,Mexico,B05_06,10320.4,0.9717,12217.4,0.2341,0.7659,0.4606
1997,MEX,Mexico,B07_08,287.5,0.9148,666.9,0.6836,0.3164,0.2001
1997,MEX,Mexico,B09,6.8,0.8927,81.2,0.2301,0.7699,0.0743
1997,CHL,Chile,B05_06,1.3,0.8224,12.9,0.6311,0.3689,0.2414
1997,CHL,Chile,B07_08,8343.9,0.8593,5193.0,0.006,0.994,0.9613
1997,CHL,Chile,B09,2.8,0.8991,2.0,0.0297,0.9703,0.1054
1997,AUS,Australia,B05_06,8084.5,0.925,6769.6,0.1784,0.8216,0.6559
1997,AUS,Australia,B07_08,5084.2,0.8637,4508.3,0.466,0.534,0.7266
1997,AUS,Australia,B09,34.8,0.8899,850.3,0.3334,0.6666,0.398
1997,FIN,Finlandia,B05_06,21.2,0.7266,38.2,0.7891,0.2109,0.3889
1997,FIN,Finlandia,B07_08,88.7,0.7111,139.1,0.7522,0.2478,0.5664
1997,FIN,Finlandia,B09,1.0,0.9156,1.0,0.1907,0.8093,0.7209
1997,SWE,Suecia,B05_06,6.7,0.6615,10.9,0.8953,0.1047,0.4192
1997,SWE,Suecia,B07_08,533.6,0.7382,484.7,0.5636,0.4364,0.7777
1997,SWE,Suecia,B09,86.6,0.6601,13.9,0.0062,0.9938,0.9858
1998,MEX,Mexico,B05_06,6497.3,0.9749,9236.0,0.3506,0.6494,0.3762
1998,MEX,Mexico,B07_08,310.5,0.9022,605.4,0.6471,0.3529,0.1894
1998,MEX,Mexico,B09,7.8,0.8864,54.9,0.3319,0.6681,0.0475
1998,CHL,Chile,B05_06,1.0,0.792,9.8,0.5561,0.4439,0.2612
1998,CHL,Chile,B07_08,8095.5,0.8004,3651.4,0.0055,0.9945,0.9625
1998,CHL,Chile,B09,3.0,0.8586,1.8,0.0274,0.9726,0.1418
1998,AUS,Australia,B05_06,8036.1,0.9236,6113.2,0.0944,0.9056,0.7357
1998,AUS,Australia,B07_08,4738.7,0.8641,4223.1,0.445,0.555,0.7321
1998,AUS,Australia,B09,23.0,0.8858,727.0,0.2906,0.7094,0.4401
1998,FIN,Finlandia,B05_06,19.5,0.7541,36.8,0.77,0.23,0.3879
1998,FIN,Finlandia,B07_08,79.2,0.7108,127.0,0.7646,0.2354,0.5255
1998,FIN,Finlandia,B09,0.5,0.7812,0.6,0.563,0.437,0.4353
1998,SWE,Suecia,B05_06,7.3,0.657,10.6,0.8816,0.1184,0.4209
1998,SWE,Suecia,B07_08,495.6,0.7338,458.6,0.5635,0.4365,0.7599
1998,SWE,Suecia,B09,73.5,0.6538,12.6,0.0087,0.9913,0.9789
1999,MEX,Mexico,B05_06,8766.0,0.9789,12521.6,0.3461,0.6539,0.3809
1999,MEX,Mexico,B07_08,342.3,0.8974,586.4,0.611,0.389,0.1814
1999,MEX,Mexico,B09,7.4,0.8898,72.4,0.3341,0.6659,0.0538
1999,CHL,Chile,B05_06,1.1,0.8037,12.3,0.5869,0.4131,0.2847
1999,CHL,Chile,B07_08,8469.9,0.8185,4149.7,0.0095,0.9905,0.953
1999,CHL,Chile,B09,4.1,0.8743,2.6,0.0359,0.9641,0.1736
1999,AUS,Australia,B05_06,7023.9,0.9217,6103.5,0.1719,0.8281,0.5908
1999,AUS,Australia,B07_08,5550.1,0.8473,4089.8,0.396,0.604,0.7523
1999,AUS,Australia,B09,20.8,0.9546,774.0,0.3246,0.6754,0.3957
1999,FIN,Finlandia,B05_06,25.7,0.7344,36.5,0.7429,0.2571,0.4069
1999,FIN,Finlandia,B07_08,81.4,0.6999,129.7,0.7667,0.2333,0.5525
1999,FIN,Finlandia,B09,1.1,0.7798,0.8,0.2999,0.7001,0.6139
1999,SWE,Suecia,B05_06,6.1,0.6508,8.8,0.8908,0.1092,0.4113
1999,SWE,Suecia,B07_08,348.5,0.7226,353.6,0.6278,0.3722,0.6936
1999,SWE,Suecia,B09,60.6,0.643,8.8,0.0061,0.9939,0.9852
2000,MEX,Mexico,B05_06,14257.3,0.9756,17775.0,0.2589,0.7411,0.4441
2000,MEX,Mexico,B07_08,405.6,0.8896,666.2,0.5933,0.4067,0.1819
2000,MEX,Mexico,B09,6.5,0.8835,130.8,0.2576,0.7424,0.064
2000,CHL,Chile,B05_06,1.2,0.8092,15.0,0.6371,0.3629,0.2845
2000,CHL,Chile,B07_08,9172.9,0.8348,4969.4,0.0143,0.9857,0.9323
2000,CHL,Chile,B09,5.5,0.8752,3.7,0.0438,0.9562,0.1961
2000,AUS,Australia,B05_06,9315.9,0.921,8138.6,0.1679,0.8321,0.6463
2000,AUS,Australia,B07_08,4845.4,0.8391,4142.2,0.4918,0.5082,0.7503
2000,AUS,Australia,B09,21.9,0.9259,798.2,0.3761,0.6239,0.3896
