anio,pais,pais_nombre,eslabon,sector,sector_nombre,vbp_musd,share_vbp_pct,forward_G_rowsum,forward_rasmussen,backward_rasmussen,rank_forward,rank_backward,n_industrias
2008,MEX,Mexico,L1,B07_08,L1 extraccion (menas metalicas),13243.4,0.689,2.5606,1.65,0.9614,1,24,45
2008,CHN,China,L1,B07_08,L1 extraccion (menas metalicas),138839.2,1.118,3.6785,1.5573,0.928,3,28,45
2008,FIN,Finlandia,L1,B07_08,L1 extraccion (menas metalicas),1877.8,0.339,2.5099,1.4124,1.04,2,18,45
2008,SWE,Suecia,L1,B07_08,L1 extraccion (menas metalicas),4852.6,0.487,2.2251,1.2618,0.8656,5,41,45
2008,BRA,Brasil,L1,B07_08,L1 extraccion (menas metalicas),30852.7,1.012,1.9009,0.9708,0.9869,26,24,45
2008,AUS,Australia,L1,B07_08,L1 extraccion (menas metalicas),59701.6,3.012,1.8409,0.9573,0.9746,25,31,45
2008,CHL,Chile,L1,B07_08,L1 extraccion (menas metalicas),56714.8,15.388,1.5845,0.8853,1.056,27,18,45
2008,PER,Peru,L1,B07_08,L1 extraccion (menas metalicas),16941.0,7.772,1.1982,0.6654,0.879,36,39,45
2008,MEX,Mexico,L2,C24,L2 refinacion (metales basicos),47556.0,2.473,2.131,1.3732,1.1686,6,10,45
2008,CHN,China,L2,C24,L2 refinacion (metales basicos),771204.9,6.211,3.0273,1.2817,1.1567,9,14,45
2008,CHL,Chile,L2,C24,L2 refinacion (metales basicos),4964.8,1.347,2.1123,1.1802,1.1086,11,13,45
2008,BRA,Brasil,L2,C24,L2 refinacion (metales basicos),60050.9,1.971,2.1561,1.1012,1.0647,18,19,45
2008,SWE,Suecia,L2,C24,L2 refinacion (metales basicos),27340.5,2.743,1.7431,0.9885,1.169,22,4,45
2008,AUS,Australia,L2,C24,L2 refinacion (metales basicos),56079.6,2.829,1.7726,0.9218,1.228,26,2,45
2008,FIN,Finlandia,L2,C24,L2 refinacion (metales basicos),14063.3,2.536,1.6151,0.9088,1.0433,26,17,45
2008,PER,Peru,L2,C24,L2 refinacion (metales basicos),7169.9,3.289,1.4506,0.8055,1.157,31,5,45
2008,AUS,Australia,L3,C25,L3 semimanufactura (productos metalicos),25220.3,1.272,2.3785,1.2369,1.1024,12,6,45
2008,FIN,Finlandia,L3,C25,L3 semimanufactura (productos metalicos),13239.9,2.387,2.0777,1.1692,1.047,13,15,45
2008,BRA,Brasil,L3,C25,L3 semimanufactura (productos metalicos),40523.0,1.33,2.255,1.1517,1.0473,16,22,45
2008,MEX,Mexico,L3,C25,L3 semimanufactura (productos metalicos),23279.5,1.21,1.7531,1.1297,1.1868,15,6,45
2008,CHL,Chile,L3,C25,L3 semimanufactura (productos metalicos),3743.4,1.016,1.9952,1.1148,1.1168,17,11,45
2008,PER,Peru,L3,C25,L3 semimanufactura (productos metalicos),2625.4,1.204,1.9585,1.0875,0.9517,19,27,45
2008,CHN,China,L3,C25,L3 semimanufactura (productos metalicos),243903.9,1.964,2.5506,1.0798,1.282,17,1,45
