orden,codigo,nombre
0,111110,Cultivo de soya
1,111121,Cultivo de cártamo
2,111122,Cultivo de girasol
3,111129,Cultivo anual de otras semillas oleaginosas
4,111131,Cultivo de frijol grano
5,111132,Cultivo de garbanzo grano
6,111139,Cultivo de otras leguminosas
7,111140,Cultivo de trigo
8,111151,Cultivo de maíz grano
9,111152,Cultivo de maíz forrajero
10,111160,Cultivo de arroz
11,111191,Cultivo de sorgo grano
12,111192,Cultivo de avena grano
13,111193,Cultivo de cebada grano
14,111194,Cultivo de sorgo forrajero
15,111195,Cultivo de avena forrajera
16,111199,Cultivo de otros cereales
17,111211,Cultivo de jitomate o tomate rojo
18,111212,Cultivo de chile
19,111213,Cultivo de cebolla
20,111214,Cultivo de melón o sandía
21,111215,Cultivo de tomate verde
22,111216,Cultivo de papa
23,111217,Cultivo de calabaza
24,111219,Cultivo de otras hortalizas
25,111310,Cultivo de naranja
26,111321,Cultivo de limón
27,111329,Cultivo de otros cítricos
28,111331,Cultivo de café
29,111332,Cultivo de plátano
30,111333,Cultivo de mango
31,111334,Cultivo de aguacate
32,111335,Cultivo de uva
33,111336,Cultivo de manzana
34,111337,Cultivo de cacao
35,111338,Cultivo de coco
36,111339,Cultivo de otros frutales no cítricos y de nueces
37,111410,Cultivo de productos alimenticios en invernaderos
38,111421,Floricultura a cielo abierto
39,111422,Floricultura en invernadero
40,111423,Cultivo de árboles de ciclo productivo de 10 años o menos
41,111429,Otros cultivos no alimenticios en invernaderos y viveros
42,111910,Cultivo de tabaco
43,111920,Cultivo de algodón
44,111930,Cultivo de caña de azúcar
45,111941,Cultivo de alfalfa
46,111942,Cultivo de pastos y zacates
47,111991,Cultivo de agaves alcoholeros
48,111992,Cultivo de cacahuate
49,111999,Otros cultivos
50,112110,Explotación de bovinos para la producción de carne
51,112120,Explotación de bovinos para la producción de leche
52,112131,"Explotación de bovinos para la producción conjunta de leche y carne (incluye a la clase 112139 ""Explotación de bovinos para otros propósitos"")."
53,112211,Explotación de porcinos en granja
54,112311,Explotación de gallinas para la producción de huevo fértil
55,112312,Explotación de gallinas para la producción de huevo para plato
56,112320,Explotación de pollos para la producción de carne
57,112330,Explotación de guajolotes o pavos
58,112340,Producción de aves en incubadora
59,112390,Explotación de otras aves para producción de carne y huevo
60,112410,Explotación de ovinos
61,112420,Explotación de caprinos
62,112511,Camaronicultura
63,112512,"Piscicultura y otra acuicultura, excepto camaronicultura"
64,112910,Apicultura
65,112920,Explotación de équidos
66,112930,Cunicultura y explotación de animales con pelaje fino
67,112999,Explotación de otros animales
68,113110,Silvicultura
69,113211,Viveros forestales
70,113212,Recolección de productos forestales
71,113310,Tala de árboles
72,114111,Pesca de camarón
73,114112,Pesca de túnidos
74,114113,Pesca de sardina y anchoveta
75,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies"
76,114210,Caza y captura
77,115111,Servicios de fumigación agrícola
78,115112,Despepite de algodón
79,115113,Beneficio de productos agrícolas
80,115119,Otros servicios relacionados con la agricultura
81,115210,Servicios relacionados con la cría y explotación de animales
82,115310,Servicios relacionados con el aprovechamiento forestal
83,211110,Extracción de petróleo y gas
84,212110,Minería de carbón mineral
85,212210,Minería de hierro
86,212221,Minería de oro
87,212222,Minería de plata
88,212231,Minería de cobre
89,212232,Minería de plomo y zinc
90,212291,"Minería de manganeso (incluye a la 212292 ""Minería de mercurio y antimonio"" y a la 212299 ""Minería de otros minerales metálicos"""
91,212311,Minería de piedra caliza
92,212312,Minería de mármol
93,212319,Minería de otras piedras dimensionadas
94,212321,Minería de arena y grava para la construcción
95,212322,Minería de tezontle y tepetate
96,212323,Minería de feldespato
97,212324,Minería de sílice
98,212325,Minería de caolín
99,212329,Minería de otras arcillas y de otros minerales refractarios
100,212391,Minería de sal
101,212392,Minería de piedra de yeso
102,212393,Minería de barita
103,212394,Minería de roca fosfórica
104,212395,Minería de fluorita
105,212396,Minería de grafito
106,212397,Minería de azufre
107,212398,Minería de minerales no metálicos para productos químicos
108,212399,Minería de otros minerales no metálicos
109,213111,Perforación de pozos petroleros y de gas
110,213119,Otros servicios relacionados con la minería
111,221110,"Generación, transmisión y distribución de energía eléctrica (incluye a la 221120 ""Transmisión y distribución de energía eléctrica"")"
112,222111,"Captación, tratamiento y suministro de agua realizados por el sector público (incluye a la 222112 "" Captación, tratamiento y suministro de agua realizados por el sector privado"")"
113,222210,Suministro de gas por ductos al consumidor final
114,236111,Edificación de vivienda unifamiliar
115,236112,Edificación de vivienda multifamiliar
116,236113,Supervisión de edificación residencial
117,236211,"Edificación de naves y plantas industriales, excepto la supervisión"
118,236212,Supervisión de edificación de naves y plantas industriales
119,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión"
120,236222,Supervisión de edificación de inmuebles comerciales y de servicios
121,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
122,237112,Construcción de sistemas de riego agrícola
123,237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego"
124,237121,Construcción de sistemas de distribución de petróleo y gas
125,237122,Construcción de plantas de refinería y petroquímica
126,237123,Supervisión de construcción de obras para petróleo y gas
127,237131,Construcción de obras de generación y conducción de energía eléctrica
128,237132,Construcción de obras para telecomunicaciones
129,237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
130,237211,División de terrenos
131,237212,Construcción de obras de urbanización
132,237213,Supervisión de división de terrenos y de construcción de obras de urbanización
133,237311,Instalación de señalamientos y protecciones en obras viales
134,237312,"Construcción de carreteras, puentes y similares"
135,237313,Supervisión de construcción de vías de comunicación
136,237991,Construcción de presas y represas
137,237992,"Construcción de obras marítimas, fluviales y subacuáticas"
138,237993,Construcción de obras para transporte eléctrico y ferroviario
139,237994,Supervisión de construcción de otras obras de ingeniería civil
140,237999,Otras construcciones de ingeniería civil
141,238110,Trabajos de cimentaciones
142,238121,Montaje de estructuras de concreto prefabricadas
143,238122,Montaje de estructuras de acero prefabricadas
144,238130,Trabajos de albañilería
145,238190,Otros trabajos en exteriores
146,238210,Instalaciones eléctricas en construcciones
147,238221,Instalaciones hidrosanitarias y de gas
148,238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción
149,238290,Otras instalaciones y equipamiento en construcciones
150,238311,Colocación de muros falsos y aislamiento
151,238312,"Trabajos de enyesado, empastado y tiroleado"
152,238320,Trabajos de pintura y otros cubrimientos de paredes
153,238330,Colocación de pisos flexibles y de madera
154,238340,Colocación de pisos cerámicos y azulejos
155,238350,Realización de trabajos de carpintería en el lugar de la construcción
156,238390,Otros trabajos de acabados en edificaciones
157,238910,Preparación de terrenos para la construcción
158,238990,Otros trabajos especializados para la construcción
159,311110,Elaboración de alimentos para animales
160,311211,Beneficio del arroz
161,311212,Elaboración de harina de trigo
162,311213,Elaboración de harina de maíz
163,311214,Elaboración de harina de otros productos agrícolas
164,311215,Elaboración de malta
165,311221,Elaboración de féculas y otros almidones y sus derivados
166,311222,Elaboración de aceites y grasas vegetales comestibles
167,311230,Elaboración de cereales para el desayuno
168,311311,Elaboración de azúcar de caña
169,311319,Elaboración de otros azúcares
170,311320,Elaboración de chocolate y productos de chocolate a partir de cacao
