codigo,nombre,vbp,di_domestica
111110,Cultivo de soya,696.7639999999992,341.20300000000003
111121,Cultivo de cártamo,355.236,329.342
111122,Cultivo de girasol,0.33100000000000307,0.053
111129,Cultivo anual de otras semillas oleaginosas,353.0579999999991,4.5680000000000005
111131,Cultivo de frijol grano,12341.119999999999,927.4139999999998
111132,Cultivo de garbanzo grano,1281.6609999999998,2.969
111139,Cultivo de otras leguminosas,427.27000000000004,104.16700000000003
111140,Cultivo de trigo,15966.845000000001,3801.379
111151,Cultivo de maíz grano,68776.45799999998,47663.249
111152,Cultivo de maíz forrajero,4657.049999999999,3736.3509999999997
111160,Cultivo de arroz,813.7130000000002,761.9980000000002
111191,Cultivo de sorgo grano,15235.287,11382.334
111192,Cultivo de avena grano,312.6580000000001,311.695
111193,Cultivo de cebada grano,2547.215,2504.16
111194,Cultivo de sorgo forrajero,6942.084,5417.258
111195,Cultivo de avena forrajera,7589.705000000001,6257.362000000001
111199,Cultivo de otros cereales,279.62799999999993,164.82299999999998
111211,Cultivo de jitomate o tomate rojo,13009.426,517.7719999999999
111212,Cultivo de chile,11689.723999999998,1381.847999999999
111213,Cultivo de cebolla,4378.514999999999,310.439
111214,Cultivo de melón o sandía,4280.12,14.64
111215,Cultivo de tomate verde,2288.6339999999996,14.209
111216,Cultivo de papa,7844.701000000001,1156.3480000000002
111217,Cultivo de calabaza,1833.7540000000001,61.413
111219,Cultivo de otras hortalizas,13468.09,1741.4589999999994
111310,Cultivo de naranja,3757.3050000000003,372.97600000000006
111321,Cultivo de limón,4840.307,994.3219999999999
111329,Cultivo de otros cítricos,1039.921,364.4759999999999
111331,Cultivo de café,5701.61,3020.612
111332,Cultivo de plátano,4657.005999999999,24.427
111333,Cultivo de mango,5575.4130000000005,304.9729999999998
111334,Cultivo de aguacate,14024.354,193.675
111335,Cultivo de uva,3480.3859999999995,532.036
111336,Cultivo de manzana,2925.8039999999996,185.304
111337,Cultivo de cacao,714.2199999999999,697.7359999999999
111338,Cultivo de coco,2960.0170000000003,449.572
111339,Cultivo de otros frutales no cítricos y de nueces,19670.364000000005,2396.4930000000018
111410,Cultivo de productos alimenticios en invernaderos,3347.321999999999,436.102
111421,Floricultura a cielo abierto,3372.9509999999996,61.682
111422,Floricultura en invernadero,1327.513,63.45299999999998
111423,Cultivo de árboles de ciclo productivo de 10 años o menos,27.279999999999976,18.495000000000008
111429,Otros cultivos no alimenticios en invernaderos y viveros,1035.5079999999996,222.643
111910,Cultivo de tabaco,264.05299999999977,182.137
111920,Cultivo de algodón,1820.5180000000023,1709.6269999999986
111930,Cultivo de caña de azúcar,20963.749,19758.969
111941,Cultivo de alfalfa,13262.099,6945.875000000001
111942,Cultivo de pastos y zacates,12796.944000000001,8363.379
111991,Cultivo de agaves alcoholeros,4532.957000000001,4338.051000000001
111992,Cultivo de cacahuate,552.807,546.891
111999,Otros cultivos,3586.6900000000096,2014.9359999999988
112110,Explotación de bovinos para la producción de carne,35117.797999999995,33374.325000000004
112120,Explotación de bovinos para la producción de leche,36705.39399999998,36305.576999999976
112131,"Explotación de bovinos para la producción conjunta de leche y carne (incluye a la clase 112139 ""Explotación de bovinos para otros propósitos"").",22723.031000000003,19168.917
112211,Explotación de porcinos en granja,23491.861,22011.798000000003
112311,Explotación de gallinas para la producción de huevo fértil,1700.069,0.0
112312,Explotación de gallinas para la producción de huevo para plato,28508.159000000007,2861.4040000000014
112320,Explotación de pollos para la producción de carne,48886.945,48654.343
112330,Explotación de guajolotes o pavos,810.911,724.114
112340,Producción de aves en incubadora,4250.173,0.0
112390,Explotación de otras aves para producción de carne y huevo,318.87,214.26999999999998
112410,Explotación de ovinos,2303.8410000000017,2192.5170000000016
112420,Explotación de caprinos,2560.928000000001,2439.135000000001
112511,Camaronicultura,5176.400000000001,0.0
112512,"Piscicultura y otra acuicultura, excepto camaronicultura",569.1239999999999,112.892
112910,Apicultura,1701.3460000000002,391.64900000000006
112920,Explotación de équidos,94.86900000000003,73.707
112930,Cunicultura y explotación de animales con pelaje fino,3.0300000000000002,2.3860000000000006
112999,Explotación de otros animales,129.36,33.165
113110,Silvicultura,130.185,130.184
113211,Viveros forestales,303.45300000000003,303.45300000000003
113212,Recolección de productos forestales,5983.455000000002,3494.5769999999998
113310,Tala de árboles,12090.637000000004,11626.031000000003
114111,Pesca de camarón,3640.977999999999,281.2879999999997
114112,Pesca de túnidos,1876.9159999999997,1621.8149999999998
114113,Pesca de sardina y anchoveta,371.92900000000003,43.437
114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",5811.646000000001,201.68300000000002
114210,Caza y captura,402.686,0.0
115111,Servicios de fumigación agrícola,94.0,94.0
115112,Despepite de algodón,1456.4140000000043,0.001
115113,Beneficio de productos agrícolas,347.728,19.658
115119,Otros servicios relacionados con la agricultura,3948.7989999999995,3948.7989999999995
115210,Servicios relacionados con la cría y explotación de animales,96.93100000000001,96.93100000000001
115310,Servicios relacionados con el aprovechamiento forestal,1104.501,1104.501
211110,Extracción de petróleo y gas,964196.196,524386.872
212110,Minería de carbón mineral,13085.635,12244.178999999998
212210,Minería de hierro,11632.177,9273.998
212221,Minería de oro,12804.416000000001,12531.589
212222,Minería de plata,19037.077,3419.443
212231,Minería de cobre,12361.414,9165.077
212232,Minería de plomo y zinc,7929.981000000002,6222.117000000001
212291,"Minería de manganeso (incluye a la 212292 ""Minería de mercurio y antimonio"" y a la 212299 ""Minería de otros minerales metálicos""",8104.873000000005,2215.0480000000002
212311,Minería de piedra caliza,4067.4020000000014,4017.9390000000008
212312,Minería de mármol,730.5539999999996,624.909
212319,Minería de otras piedras dimensionadas,3587.5470000000046,3571.3920000000003
212321,Minería de arena y grava para la construcción,19279.08100000001,18789.644
212322,Minería de tezontle y tepetate,401.97400000000005,401.79300000000006
212323,Minería de feldespato,503.34799999999984,496.5009999999998
212324,Minería de sílice,1216.573999999999,988.0519999999999
212325,Minería de caolín,896.8919999999988,937.231
212329,Minería de otras arcillas y de otros minerales refractarios,7870.262000000008,7763.576000000001
212391,Minería de sal,1614.2869999999984,452.14199999999994
212392,Minería de piedra de yeso,744.8999999999997,659.765
212393,Minería de barita,270.0069999999998,241.82100000000003
212394,Minería de roca fosfórica,880.2909999999997,850.214
212395,Minería de fluorita,1286.1399999999996,456.8399999999999
212396,Minería de grafito,403.63700000000006,368.1689999999999
212397,Minería de azufre,2175.349000000003,1231.1539999999998
212398,Minería de minerales no metálicos para productos químicos,858.3529999999996,855.2969999999999
212399,Minería de otros minerales no metálicos,2950.302999999999,2762.3050000000003
213111,Perforación de pozos petroleros y de gas,132090.311,0.0
213119,Otros servicios relacionados con la minería,7379.557,0.0
221110,"Generación, transmisión y distribución de energía eléctrica (incluye a la 221120 ""Transmisión y distribución de energía eléctrica"")",410192.96699999995,261589.589
222111,"Captación, tratamiento y suministro de agua realizados por el sector público (incluye a la 222112 "" Captación, tratamiento y suministro de agua realizados por el sector privado"")",41560.931000000026,32595.82100000002
222210,Suministro de gas por ductos al consumidor final,2990.485,0.0
236111,Edificación de vivienda unifamiliar,693190.443,0.0
236112,Edificación de vivienda multifamiliar,174216.739,0.0
236113,Supervisión de edificación residencial,1553.6370000000002,1553.6370000000002
236211,"Edificación de naves y plantas industriales, excepto la supervisión",120554.068,0.0
236212,Supervisión de edificación de naves y plantas industriales,1246.365,1246.365
236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",317900.588,0.0
236222,Supervisión de edificación de inmuebles comerciales y de servicios,2017.661,1983.255
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",33716.351,0.0
237112,Construcción de sistemas de riego agrícola,10178.103,0.0
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego",1068.929,1068.929
