anio,mineral,eslabon,tipo,scian,clase,atribuible,vbp_mmpesos,forward_G_rowsum,forward_rasmussen,backward_rasmussen,rank_forward,rank_backward,n_sectores
2008,barita,L1,extraccion,212393,Minería de barita,si,270.0,1.9905,1.288,0.9631,226,465,814
2008,barita,L2,refinacion,325180,Fabricación de otros productos químicos básicos ,no,27627.8,2.0753,1.3428,1.125,184,156,814
2008,barita,L3,semimanufactura,,(sin clase separable),-,,,,,,,814
2008,cobre,L1,extraccion,212231,Minería de cobre,si,12361.4,2.5131,1.6261,0.8406,57,699,814
2008,cobre,L2,refinacion,331411,Fundición y refinación de cobre,si,19380.2,2.1006,1.3592,1.1495,172,126,814
2008,cobre,L3,semimanufactura,331420,Laminación secundaria de cobre,si,32740.1,1.7034,1.1022,1.1042,296,195,814
2008,fluorita,L1,extraccion,212395,Minería de fluorita,si,1286.1,1.7203,1.1131,0.9821,292,425,814
2008,fluorita,L2,refinacion,325180,Fabricación de otros productos químicos básicos ,no,27627.8,2.0753,1.3428,1.125,184,156,814
2008,fluorita,L3,semimanufactura,325211,Fabricación de resinas sintéticas,no,50966.7,2.1577,1.3961,1.1319,150,143,814
2008,grafito,L1,extraccion,212396,Minería de grafito,si,403.6,2.6035,1.6846,0.9743,41,441,814
2008,grafito,L2,refinacion,325180,Fabricación de otros productos químicos básicos ,no,27627.8,2.0753,1.3428,1.125,184,156,814
2008,grafito,L3,semimanufactura,327999,Fabricación de otros productos a base de mineral,no,4310.1,1.821,1.1783,1.1776,273,91,814
2008,manganeso,L1,extraccion,212291,"Minería de manganeso (incluye a la 212292 ""Miner",si,8104.9,1.5504,1.0032,0.8622,329,658,814
2008,manganeso,L2,refinacion,331112,Fabricación de desbastes primarios y ferroaleaci,comp,37451.2,1.9581,1.267,1.3342,236,21,814
2008,manganeso,L3,semimanufactura,,(sin clase separable),-,,,,,,,814
2008,oro,L1,extraccion,212221,Minería de oro,si,12804.4,2.2881,1.4805,0.9494,115,491,814
2008,oro,L2,refinacion,331412,Fundición y refinación de metales preciosos,comp,30578.1,1.0,0.6471,1.3397,752,19,814
2008,oro,L3,semimanufactura,331490,Laminación secundaria de otros metales no ferros,comp,23564.1,1.7144,1.1093,1.2706,295,37,814
2008,plata,L1,extraccion,212222,Minería de plata,si,19037.1,1.2303,0.7961,0.9412,430,505,814
2008,plata,L2,refinacion,331412,Fundición y refinación de metales preciosos,comp,30578.1,1.0,0.6471,1.3397,752,19,814
2008,plata,L3,semimanufactura,331490,Laminación secundaria de otros metales no ferros,comp,23564.1,1.7144,1.1093,1.2706,295,37,814
2008,plomo-zinc,L1,extraccion,212232,Minería de plomo y zinc,si,7930.0,2.0911,1.3531,0.9831,176,422,814
2008,plomo-zinc,L2,refinacion,331419,Fundición y refinación de otros metales no ferro,comp,7252.7,1.2351,0.7992,1.0535,427,279,814
