anio,codigo,mineral,vbp_mmpesos,di_domestica_mmpesos,di_sobre_vbp,backward_L_colsum,forward_G_rowsum,backward_rasmussen,forward_rasmussen,rank_backward,rank_forward,n_sectores
2013,212393,barita,368.345,64.719,0.1757,1.442,1.2082,0.9554,0.764,482,444,822
2013,212231,cobre,39971.368,18276.824,0.4572,1.3406,1.8677,0.8882,1.1811,634,283,822
2013,212395,fluorita,2218.245,489.471,0.2207,1.2854,1.3766,0.8517,0.8705,682,383,822
2013,212396,grafito,164.102,97.201,0.5923,1.2626,1.9547,0.8366,1.2361,700,257,822
2013,212291,manganeso,486.019,348.529,0.7171,1.2518,2.8289,0.8294,1.7889,709,34,822
2013,212221,oro,49607.237,49526.353,0.9984,1.386,2.1296,0.9183,1.3467,570,173,822
2013,212222,plata,44680.402,42728.777,0.9563,1.3761,2.0579,0.9118,1.3014,578,206,822
2013,212232,plomo-zinc,20045.785,2491.224,0.1243,1.3486,1.1314,0.8935,0.7154,623,479,822
2013,212324,silice,4898.266,4845.318,0.9892,1.3743,2.8412,0.9106,1.7967,581,31,822
2018,212393,barita,685.596,21.998,0.0321,1.3834,1.0409,0.9601,0.6438,471,614,834
2018,212231,cobre,92892.952,49055.907,0.5281,1.354,2.1683,0.9397,1.3411,516,185,834
2018,212395,fluorita,5861.771,2954.788,0.5041,1.4019,2.1194,0.9729,1.3109,433,200,834
2018,212396,grafito,719.815,631.008,0.8766,1.2574,2.7625,0.8727,1.7085,683,43,834
2018,212291,manganeso,634.992,492.404,0.7754,1.5192,2.4909,1.0543,1.5406,256,77,834
2018,212221,oro,69491.057,66824.323,0.9616,1.4785,1.9672,1.0261,1.2167,321,271,834
2018,212222,plata,49784.436,44325.154,0.8903,1.431,1.8995,0.9932,1.1748,389,288,834
2018,212232,plomo-zinc,34724.742,4697.6,0.1353,1.4243,1.1438,0.9885,0.7074,401,527,834
2018,212324,silice,6959.054,6895.377,0.9908,1.3517,3.0978,0.9381,1.9159,521,18,834
