mineral,anio,empresa,propietarios,capital,ubicacion,capacidad,unidad_capacidad,fuente,nota
barita,2004,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12",
barita,2004,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12","aparece como 'Do.' bajo Bismuth en la tabla original; es productor de barita (error de colocación USGS)"
barita,2004,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12","aparece como 'Do.' bajo Bismuth en la tabla original; es productor de barita (error de colocación USGS)"
cobre,2004,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería y planta de alambrón en Nacozari de García, Son.","350 fundición; 50 SX-EW; 300 refinería; 150 alambrón",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12",
cobre,2004,"Mexicana de Cananea, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina y fundición en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12","29,200 corresponde a capacidad de molienda (mill)"
fluorita,2004,"Cía. Minera Las Cuevas, S.A. de C.V.","Grupo Industrial Camesa, S.A. de C.V.",privado mexicano (bancos) y canadiense minoritario,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12","nota 3 de la tabla: Camesa propiedad de Banco Internacional 34%, Banco del Atlántico 34%, Banamex 17%, Noranda Inc. (Canadá) 4%, free float 12%"
fluorita,2004,"Fluorita de México, S.A. de C.V.","Corp. Alfil 51%; Applied Industrial Minerals Corp. 49%",mixto mexicano-estadounidense,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.12",
grafito,2004,"Grafitos Mexicanos, S.A.","Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%",mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
grafito,2004,"Grafito Superior, S.A. de C.V.","Superior Graphite Co. 100%",estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
manganeso,2004,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","capacidad en mineral y concentrado"
oro,2004,"Cía. Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Fresnillo/Proaño, Zac.",1000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Peñoles 56% y Newmont Mining Corporation","Peñoles, S.A. de C.V. 56%; Newmont Mining Corporation",mixto mexicano-estadounidense,"Mina La Herradura, Son.",6300,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V.",privado mexicano,"Mina La Ciénega, Dgo.",3700,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Minas Luismín, S.A. de C.V.","Wheaton River Minerals Ltd. 100%",canadiense,"Tayoltita y Santa Rita, Dgo.; San Antonio, Sin.; San Martín, Qro.; La Guitarra, Méx.",2700,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Cía. Minera de Santa Gertrudis, S.A. de C.V.","Grupo Ariztegui 51%; Phelps Dodge Corp. 49%",mixto mexicano-estadounidense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Exploraciones El Dorado, S.A. de C.V.","Exploraciones El Dorado 70%; Minerales Sotula 30%",privado mexicano,"Mina La Colorada, Son.",800,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Cía. Minera El Cubo, S.A. de C.V.","Mexgold Resources Inc. 100%",canadiense,"Mina El Cubo, Gto.",128,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Sociedad Cooperativa Minero Metalúrgica Santa Fe de Guanajuato",privado mexicano 100%,privado mexicano,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro de mina"
oro,2004,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","oro REFINADO (no mina)"
plata,2004,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Naica, Chih.; Fresnillo, Zac.; Las Torres, Gto.; La Ciénega, Dgo.; Tizapa, Gro.; La Encantada, Coah.; y otras",750000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata de mina"
plata,2004,"Cía. Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Fresnillo/Proaño, Zac.",950000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata de mina"
plata,2004,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata de mina"
plata,2004,"Minera Hecla, S.A. de C.V.","Hecla Mining Co.",estadounidense,"Mina San Sebastián y planta Velardeña, Dgo.",130000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata de mina; fila adicional: capacidad de molienda 450,000 t"
plata,2004,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",1240000,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata REFINADA (refinería, no mina)"
plata,2004,"Pan American Silver Corp.","Pan American Silver Corp.",canadiense,"Mina La Colorada, Zac.",24300,kg,"USGS MYB Mexico 2004, Tabla 2, PDF p.14","plata de mina"
plomo-zinc,2004,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.","70 plomo mina; 110 zinc refinado",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
plomo-zinc,2004,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah. (Met-Mex Peñoles 100%)","180 plomo refinado; 220 zinc refinado",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
plomo-zinc,2004,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13","capacidad impresa como '100,000 zinc' (toneladas de molienda/zinc)"
plomo-zinc,2004,"Minera San Francisco del Oro, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"San Francisco del Oro, cerca de Hidalgo del Parral, Chih.","15 plomo; 21 zinc",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
plomo-zinc,2004,"Minera Real de Ángeles, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"Noria de Ángeles, Zac.","45 plomo; 47 zinc",miles t,"USGS MYB Mexico 2004, Tabla 2, PDF p.13",
barita,2005,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
barita,2005,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
barita,2005,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
cobre,2005,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería, planta SX-EW y de alambrón en Nacozari de García, Son.","350 fundición; 50 SX-EW; 300 refinería; 150 alambrón",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
