anio,mineral,X_usd,X_musd,pct_del_bloque
1992,cobre,470519992,470.52,41.29
1992,plata,206850992,206.85,18.15
1992,zinc,141571000,141.57,12.42
1992,fluorita,100001000,100.0,8.77
1992,plomo,57849000,57.85,5.08
1992,oro-plata (manufacturas),43815000,43.81,3.84
1992,manganeso,43053000,43.05,3.78
1992,oro,41524000,41.52,3.64
1992,grafito,30805000,30.8,2.7
1992,barita,2815000,2.81,0.25
1992,silice,870000,0.87,0.08
1992,BLOQUE_10,1139673984,1139.67,100.0
1993,cobre,522073984,522.07,43.0
1993,plata,187407000,187.41,15.44
1993,zinc,183071000,183.07,15.08
1993,fluorita,89254000,89.25,7.35
1993,oro,52696000,52.7,4.34
1993,oro-plata (manufacturas),50323000,50.32,4.14
1993,manganeso,44906000,44.91,3.7
1993,plomo,43514000,43.51,3.58
1993,grafito,33533000,33.53,2.76
1993,barita,5909000,5.91,0.49
1993,silice,1435000,1.44,0.12
1993,BLOQUE_10,1214121984,1214.12,100.0
1994,cobre,524423278,524.42,40.64
1994,plata,214336167,214.34,16.61
1994,zinc,186083303,186.08,14.42
1994,fluorita,96142841,96.14,7.45
1994,oro,78893049,78.89,6.11
1994,oro-plata (manufacturas),71155206,71.16,5.51
1994,grafito,38355681,38.36,2.97
1994,manganeso,37628294,37.63,2.92
1994,plomo,34099921,34.1,2.64
1994,barita,7874501,7.87,0.61
1994,silice,1406402,1.41,0.11
1994,BLOQUE_10,1290398643,1290.4,100.0
1995,cobre,832913992,832.91,43.97
1995,plata,307646008,307.65,16.24
1995,zinc,216500000,216.5,11.43
1995,oro,138929000,138.93,7.33
1995,fluorita,113464000,113.46,5.99
1995,oro-plata (manufacturas),101540000,101.54,5.36
1995,plomo,84857000,84.86,4.48
1995,manganeso,43231000,43.23,2.28
1995,grafito,42853000,42.85,2.26
1995,barita,11582000,11.58,0.61
1995,silice,948000,0.95,0.05
1995,BLOQUE_10,1894464000,1894.46,100.0
1996,cobre,649837301,649.84,34.08
1996,plata,345054576,345.05,18.09
1996,oro,235004871,235.0,12.32
1996,zinc,178655687,178.66,9.37
1996,oro-plata (manufacturas),162060646,162.06,8.5
1996,fluorita,137768043,137.77,7.22
1996,plomo,81867200,81.87,4.29
1996,grafito,56294228,56.29,2.95
1996,manganeso,46235968,46.24,2.42
1996,barita,13099894,13.1,0.69
1996,silice,1028212,1.03,0.05
1996,BLOQUE_10,1906906626,1906.91,100.0
1997,cobre,743135189,743.14,36.12
1997,plata,322275394,322.28,15.66
1997,oro-plata (manufacturas),262748067,262.75,12.77
1997,zinc,231742606,231.74,11.26
1997,fluorita,138742812,138.74,6.74
1997,oro,134975815,134.98,6.56
1997,plomo,74089764,74.09,3.6
1997,grafito,72970280,72.97,3.55
1997,manganeso,61743656,61.74,3.0
1997,barita,12628815,12.63,0.61
1997,silice,2455713,2.46,0.12
1997,BLOQUE_10,2057508111,2057.51,100.0
1998,cobre,718467187,718.47,34.83
1998,plata,425675048,425.68,20.64
1998,oro-plata (manufacturas),316111215,316.11,15.33
1998,zinc,184318187,184.32,8.94
1998,fluorita,129964750,129.96,6.3
1998,oro,116254282,116.25,5.64
1998,grafito,62118003,62.12,3.01
1998,manganeso,51961184,51.96,2.52
1998,plomo,44665583,44.67,2.17
1998,barita,8927431,8.93,0.43
1998,silice,4040833,4.04,0.2
1998,BLOQUE_10,2062503703,2062.5,100.0
1999,cobre,588579197,588.58,29.97
1999,plata,398757456,398.76,20.3
1999,oro-plata (manufacturas),364566621,364.57,18.56
1999,zinc,212979028,212.98,10.84
1999,fluorita,131332007,131.33,6.69
1999,oro,102856981,102.86,5.24
1999,grafito,65543722,65.54,3.34
1999,manganeso,46651428,46.65,2.38
1999,plomo,37985321,37.99,1.93
1999,barita,8097525,8.1,0.41
1999,silice,6843413,6.84,0.35
1999,BLOQUE_10,1964192699,1964.19,100.0
2000,cobre,793325604,793.33,36.24
2000,plata,431804661,431.8,19.72
2000,oro-plata (manufacturas),354905469,354.91,16.21
2000,zinc,222071725,222.07,10.14
2000,fluorita,141799158,141.8,6.48
2000,oro,83466338,83.47,3.81
2000,grafito,69121193,69.12,3.16
2000,manganeso,52815410,52.82,2.41
2000,plomo,24846681,24.85,1.14
2000,silice,7712450,7.71,0.35
2000,barita,7261143,7.26,0.33
2000,BLOQUE_10,2189129832,2189.13,100.0
2001,cobre,706896336,706.9,36.69
2001,plata,357431843,357.43,18.55
2001,oro-plata (manufacturas),324190068,324.19,16.82
2001,zinc,225237479,225.24,11.69
2001,fluorita,128370072,128.37,6.66
2001,grafito,69283412,69.28,3.6
2001,oro,54645214,54.65,2.84
2001,manganeso,33770626,33.77,1.75
2001,plomo,13715653,13.72,0.71
2001,silice,8143772,8.14,0.42
2001,barita,5235162,5.24,0.27
2001,BLOQUE_10,1926919637,1926.92,100.0
2002,plata,531997574,532.0,28.12
2002,cobre,474287982,474.29,25.07
2002,oro-plata (manufacturas),337614943,337.61,17.84
2002,zinc,215680196,215.68,11.4
2002,fluorita,130034130,130.03,6.87
2002,grafito,89060999,89.06,4.71
2002,oro,80204403,80.2,4.24
2002,manganeso,19025839,19.03,1.01
2002,plomo,6834871,6.83,0.36
2002,silice,6023228,6.02,0.32
2002,barita,1397258,1.4,0.07
2002,BLOQUE_10,1892161423,1892.16,100.0
2003,plata,512417661,512.42,25.68
2003,cobre,419999870,420.0,21.05
2003,oro-plata (manufacturas),363424846,363.42,18.21
2003,zinc,234636036,234.64,11.76
2003,oro,156753172,156.75,7.86
2003,fluorita,133786380,133.79,6.7
2003,grafito,120441305,120.44,6.04
2003,manganeso,26469855,26.47,1.33
2003,plomo,19097146,19.1,0.96
2003,silice,5438782,5.44,0.27
2003,barita,3015329,3.02,0.15
2003,BLOQUE_10,1995480382,1995.48,100.0
2004,cobre,729648054,729.65,27.06
2004,plata,681282124,681.28,25.27
2004,oro-plata (manufacturas),545999372,546.0,20.25
2004,zinc,281127471,281.13,10.43
2004,oro,154210869,154.21,5.72
2004,fluorita,136356629,136.36,5.06
2004,grafito,96839144,96.84,3.59
2004,manganeso,34786101,34.79,1.29
2004,plomo,23862543,23.86,0.89
2004,silice,9770881,9.77,0.36
2004,barita,2252499,2.25,0.08
2004,BLOQUE_10,2696135687,2696.14,100.0
2005,cobre,988942906,988.94,29.65
2005,plata,712395430,712.4,21.36
