anio,X_bloque_musd,X_nacional_musd,share_bloque_pct
1992,1139.7,46196,2.467
1993,1214.1,51886,2.34
1994,1290.4,60882,2.12
1995,1894.5,79542,2.382
1996,1906.9,96000,1.986
1997,2057.5,110431,1.863
1998,2062.5,117460,1.756
1999,1964.2,136391,1.44
2000,2189.1,166367,1.316
2001,1926.9,158547,1.215
2002,1892.2,160682,1.178
2003,1995.5,165396,1.206
2004,2696.1,187980,1.434
2005,3335.5,214207,1.557
2006,5693.4,249961,2.278
2007,7113.2,271821,2.617
2008,7952.2,291265,2.73
2009,8542.0,229712,3.719
2010,12943.0,298305,4.339
2011,19290.0,349569,5.518
2012,19632.6,370770,5.295
2013,15348.9,380015,4.039
2014,11314.9,396912,2.851
2015,9903.1,380550,2.602
2016,10550.9,373948,2.821
2017,11180.1,409433,2.731
2018,11938.7,450713,2.649
2019,11939.9,460604,2.592
2020,13623.2,417171,3.266
2021,13298.0,494949,2.687
2022,12657.7,577697,2.191
2023,13096.7,593001,2.209
2024,13725.7,617677,2.222
