anio,mineral,vol_t,precio_usd_t,valor_prod_usd,share_bloque_pct,anio_completo
1992,barita,188000.0,51.8,9738400,0.56,si
1993,barita,136000.0,45.8,6228800,0.38,si
1994,barita,86605.0,38.8,3360274,0.17,si
1995,barita,248367.0,42.9,10654944,0.43,si
1996,barita,470028.0,42.7,20070196,0.83,si
1997,barita,236606.0,46.2,10931197,0.42,si
1998,barita,161555.0,57.1,9224790,0.41,si
1999,barita,157953.0,52.5,8292532,0.41,si
2000,barita,127420.0,46.3,5899546,0.27,si
2001,barita,142017.0,45.4,6447572,0.33,si
2002,barita,163620.0,46.6,7624692,0.41,si
2003,barita,287451.0,45.6,13107766,0.64,si
2004,barita,306668.0,49.4,15149399,0.49,si
2005,barita,268657.0,55.0,14776135,0.37,si
2006,barita,199605.0,56.0,11177880,0.17,si
2007,barita,185921.0,71.9,13367720,0.19,si
2008,barita,170051.0,76.3,12974891,0.19,si
2009,barita,151791.0,85.1,12917414,0.2,si
2010,barita,143225.0,86.2,12345995,0.12,si
2011,barita,134727.0,98.6,13284082,0.08,si
2012,barita,139997.0,141.0,19739577,0.11,si
2013,barita,119402.0,133.0,15880466,0.1,si
2014,barita,130914.0,130.0,17018820,0.12,si
2015,barita,271697.0,125.0,33962125,0.24,si
2016,barita,156854.0,130.0,20391020,0.14,si
2017,barita,359912.0,100.0,35991200,0.22,si
2018,barita,366234.0,110.0,40285740,0.25,si
2019,barita,378295.0,113.0,42747335,0.27,si
2020,barita,372262.0,115.53,43005620,0.25,si
2021,barita,320642.0,105.42,33803549,0.15,si
2022,barita,315736.0,91.54,28901309,0.13,si
1992,cobre,279000.0,2370.0,661230000,37.89,si
1993,cobre,301100.0,2020.0,608222000,36.84,si
1994,cobre,294688.0,2450.0,721985600,36.95,si
1995,cobre,333565.0,3050.0,1017373250,41.22,si
1996,cobre,340710.0,2400.0,817704000,34.0,si
1997,cobre,390536.0,2360.0,921664960,35.6,si
1998,cobre,384641.0,1730.0,665428930,29.7,si
1999,cobre,381184.0,1670.0,636577280,31.44,si
2000,cobre,364566.0,1940.0,707258040,32.14,si
2001,cobre,367279.0,1690.0,620701510,31.99,si
2002,cobre,329874.0,1670.0,550889580,29.77,si
2003,cobre,355653.0,1880.0,668627640,32.83,si
2004,cobre,405540.0,2950.0,1196343000,39.06,si
2005,cobre,428632.0,3820.0,1637374240,41.29,si
2006,cobre,327536.0,6940.0,2273099840,35.45,si
2007,cobre,335502.0,7230.0,2425679460,34.49,si
2008,cobre,265996.0,7040.0,1872611840,27.21,si
2009,cobre,241193.0,5320.0,1283146760,19.64,si
2010,cobre,270136.0,7680.0,2074644480,20.0,si
2011,cobre,443621.0,8950.0,3970407950,23.95,si
2012,cobre,500275.0,8100.0,4052227500,22.85,si
2013,cobre,480124.0,7490.0,3596128760,22.2,si
2014,cobre,515000.0,7010.0,3610150000,26.04,si
2015,cobre,594451.0,5650.0,3358648150,23.8,si
2016,cobre,766129.0,4960.0,3799999840,26.1,si
2017,cobre,742246.0,6290.0,4668727340,28.61,si
2018,cobre,751005.0,6590.0,4949122950,30.2,si
2019,cobre,713700.0,6160.0,4396392000,28.11,si
2020,cobre,732900.0,6320.0,4631928000,27.3,si
2021,cobre,734100.0,9543.37,7005787038,30.83,si
2022,cobre,753900.0,9030.98,6808459019,29.81,si
1992,fluorita,287000.0,193.0,55391000,3.17,si
1993,fluorita,283000.0,95.0,26885000,1.63,si
1994,fluorita,235000.0,97.0,22795000,1.17,si
1995,fluorita,522000.0,121.0,63162000,2.56,si
1996,fluorita,524000.0,138.0,72312000,3.01,si
1997,fluorita,553000.0,129.0,71337000,2.76,si
1998,fluorita,598000.0,125.0,74750000,3.34,si
1999,fluorita,557000.0,119.0,66283000,3.27,si
2000,fluorita,635000.0,124.67,79165450,3.6,si
2001,fluorita,619000.0,132.18,81819420,4.22,si
2002,fluorita,622000.0,125.0,77750000,4.2,si
2003,fluorita,756000.0,134.57,101734920,4.99,si
2004,fluorita,842698.0,159.0,133988982,4.37,si
2005,fluorita,875450.0,194.0,169837300,4.28,si
2006,fluorita,936433.0,203.0,190095899,2.96,si
2007,fluorita,933361.0,179.45,167488150,2.38,si
2008,fluorita,1010647.0,233.06,235536518,3.42,si
2009,fluorita,1045940.0,221.56,231742457,3.55,si
2010,fluorita,1067386.0,191.54,204443406,1.97,si
2011,fluorita,1206907.0,212.32,256249639,1.55,si
2012,fluorita,1237091.0,253.81,313987788,1.77,si
2013,fluorita,1210477.0,229.14,277374192,1.71,si
2014,fluorita,1109721.0,254.21,282101834,2.03,si
2015,fluorita,624574.0,285.23,178148832,1.26,si
2016,fluorita,656231.0,255.39,167592930,1.15,si
2017,fluorita,724380.0,249.77,180931430,1.11,si
2018,fluorita,1182058.0,258.19,305199749,1.86,si
2019,fluorita,1230000.0,303.1,372809032,2.38,si
