anio,nivel,codigo,mineral,pib_mmp,vbp_mmp,pt_empleos,remun_mmp,pct_pib_economia,pct_pib_mineria212,pct_vbp_economia,pct_vbp_mineria212,pct_empleo_economia,pct_empleo_mineria212
2013,mineral,212393,barita,222.8,368.3,1003,125.1,0.0014,0.132,0.0013,0.139,0.0017,0.403
2013,mineral,212231,cobre,28083.9,39971.4,12523,1105.6,0.1794,16.697,0.1446,15.135,0.0218,5.031
2013,mineral,212395,fluorita,1562.8,2218.2,1713,208.2,0.01,0.929,0.008,0.84,0.003,0.688
2013,mineral,212396,grafito,123.7,164.1,229,31.0,0.0008,0.074,0.0006,0.062,0.0004,0.092
2013,mineral,212291,manganeso,373.9,486.0,672,107.5,0.0024,0.222,0.0018,0.184,0.0012,0.27
2013,mineral,212221,oro,32499.0,49607.2,12310,169.2,0.2076,19.321,0.1795,18.783,0.0214,4.946
2013,mineral,212222,plata,29754.2,44680.4,17983,1614.3,0.1901,17.69,0.1616,16.918,0.0313,7.225
2013,mineral,212232,plomo-zinc,13865.2,20045.8,10178,1509.7,0.0886,8.243,0.0725,7.59,0.0177,4.089
2013,mineral,212324,silice,3154.1,4898.3,2863,391.0,0.0202,1.875,0.0177,1.855,0.005,1.15
2013,BLOQUE_10,,bloque 10 minerales,109639.6,162439.8,59474,5261.6,0.7005,65.183,0.5876,61.506,0.1035,23.894
2013,referencia,,TOTAL_economia,15652078.6,27642648.0,57465990,,100.0,,100.0,,100.0,
2013,referencia,,mineria_212,168202.3,264101.8,248908,,1.075,,0.955,,0.433,
2013,referencia,,mineria_21,1147243.6,1463213.4,0,,7.33,,5.293,,0.0,
2018,mineral,212393,barita,452.4,685.6,1713,228.5,0.002,0.169,0.0016,0.163,0.0029,0.864
2018,mineral,212231,cobre,62412.4,92893.0,8718,3230.4,0.2692,23.257,0.2214,22.101,0.0147,4.397
2018,mineral,212395,fluorita,3717.5,5861.8,740,78.5,0.016,1.385,0.014,1.395,0.0012,0.373
2018,mineral,212396,grafito,568.1,719.8,627,112.0,0.0025,0.212,0.0017,0.171,0.0011,0.316
2018,mineral,212291,manganeso,309.3,635.0,523,204.2,0.0013,0.115,0.0015,0.151,0.0009,0.264
2018,mineral,212221,oro,39301.9,69491.1,4931,1274.5,0.1695,14.645,0.1656,16.534,0.0083,2.487
2018,mineral,212222,plata,30917.3,49784.4,7598,1783.5,0.1333,11.521,0.1186,11.845,0.0128,3.832
2018,mineral,212232,plomo-zinc,21683.1,34724.7,11667,3103.1,0.0935,8.08,0.0828,8.262,0.0196,5.884
2018,mineral,212324,silice,4388.1,6959.1,5642,1324.5,0.0189,1.635,0.0166,1.656,0.0095,2.846
2018,BLOQUE_10,,bloque 10 minerales,163750.0,261754.4,42159,11339.1,0.7062,61.019,0.6238,62.277,0.0708,21.264
2018,referencia,,TOTAL_economia,23186146.6,41959242.1,59505022,,100.0,,100.0,,100.0,
2018,referencia,,mineria_212,268357.7,420304.1,198267,,1.157,,1.002,,0.333,
2018,referencia,,mineria_21,955396.1,1458602.4,0,,4.121,,3.476,,0.0,
