fecha,anio,mes,mineral,serie,unidad,fuente,precio
1978-01,1978,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),173.2
1978-02,1978,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),178.3
1978-03,1978,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),183.7
1978-04,1978,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),175.3
1978-05,1978,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),176.2
1978-06,1978,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),183.8
1978-07,1978,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),188.6
1978-08,1978,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),206.4
1978-09,1978,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),212.1
1978-10,1978,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),227.4
1978-11,1978,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),206.6
1978-12,1978,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),207.9
1979-01,1979,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),227.1
1979-02,1979,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),245.6
1979-03,1979,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),242.2
1979-04,1979,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),239.2
1979-05,1979,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),257.7
1979-06,1979,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),279.2
1979-07,1979,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),294.9
1979-08,1979,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),300.8
1979-09,1979,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),354.8
1979-10,1979,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),391.3
1979-11,1979,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),391.8
1979-12,1979,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),459.4
1980-01,1980,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),674.9
1980-02,1980,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),665.6
1980-03,1980,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),553.9
1980-04,1980,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),517.1
