mineral,anio,unit_value_usd_t_nominal,unit_value_usd_t_const1998,flag
Barita,1990,46.7,58.2,
Barita,1991,51.6,61.8,
Barita,1992,51.8,60.1,
Barita,1993,45.8,51.6,
Barita,1994,38.8,42.7,
Barita,1995,42.9,45.9,
Barita,1996,42.7,44.4,
Barita,1997,46.2,46.9,
Barita,1998,57.1,57.1,
Barita,1999,52.5,51.4,
Barita,2000,46.3,43.8,
Barita,2001,45.4,41.8,
Barita,2002,46.6,42.2,
Barita,2003,45.6,40.4,
Barita,2004,49.4,42.6,
Barita,2005,55,45.9,
Barita,2006,56,45.3,
Barita,2007,71.9,56.5,
Barita,2008,76.3,57.8,
Barita,2009,85.1,64.7,
Barita,2010,86.2,64.4,
Barita,2011,98.6,71.5,
Barita,2012,141,100,
Barita,2013,133,93,
Barita,2014,130,89.5,
Barita,2015,125,86,
Barita,2016,130,88.3,
Barita,2017,100,66.5,
Barita,2018,110,71.4,
Barita,2019,113,72,
Barita,2020,,,W
Barita,2021,,,W
Cobre,1990,2710,3380,
Cobre,1991,2410,2890,
Cobre,1992,2370,2750,
Cobre,1993,2020,2280,
Cobre,1994,2450,2690,
Cobre,1995,3050,3260,
Cobre,1996,2400,2500,
Cobre,1997,2360,2400,
Cobre,1998,1730,1730,
Cobre,1999,1670,1640,
Cobre,2000,1940,1840,
Cobre,2001,1690,1560,
Cobre,2002,1670,1510,
Cobre,2003,1880,1660,
Cobre,2004,2950,2550,
Cobre,2005,3820,3190,
Cobre,2006,6940,5610,
Cobre,2007,7230,5690,
Cobre,2008,7040,5330,
Cobre,2009,5320,4040,
Cobre,2010,7680,5740,
Cobre,2011,8950,6480,
Cobre,2012,8100,5750,
Cobre,2013,7490,5240,
Cobre,2014,7010,4830,
Cobre,2015,5650,3880,
Cobre,2016,4960,3370,
Cobre,2017,6290,4180,
Cobre,2018,6590,4280,
Cobre,2019,6160,3930,
Cobre,2020,6320,3980,
Fluorita,1990,193,240,
Fluorita,1991,193,230,
Fluorita,1992,193,224,
Fluorita,1993,95,107,
Fluorita,1994,97,106,
Fluorita,1995,121,129,
Fluorita,1996,138,144,
Fluorita,1997,129,131,
Fluorita,1998,125,125,
Fluorita,1999,119,116,
Fluorita,2000,124.67,118.01,
Fluorita,2001,132.18,121.66,
Fluorita,2002,125,113.26,
Fluorita,2003,134.57,119.19,
Fluorita,2004,159,137.19,
Fluorita,2005,194,162,
Fluorita,2006,203,164,
Fluorita,2007,,,NA
Fluorita,2008,,,NA
Fluorita,2009,,,NA
Fluorita,2010,,,NA
Fluorita,2011,,,NA
Fluorita,2012,,,NA
Fluorita,2013,,,NA
Fluorita,2014,,,NA
Fluorita,2015,,,NA
Fluorita,2016,,,NA
Fluorita,2017,,,NA
Fluorita,2018,,,NA
Fluorita,2019,,,NA
Fluorita,2020,,,NA
Grafito,1990,701.2,874.7,
Grafito,1991,647.8,775.2,
Grafito,1992,513.1,596.1,
Grafito,1993,572.8,646.4,
Grafito,1994,506.6,557.1,
Grafito,1995,495.9,530.4,
Grafito,1996,535.6,556.6,
Grafito,1997,557.7,566.4,
Grafito,1998,565,564.9,
Grafito,1999,624,608.5,
Grafito,2000,535,506,
Grafito,2001,447,411.6,
Grafito,2002,495,448,
Grafito,2003,467,413,
Grafito,2004,469,405,
Grafito,2005,537,448,
Grafito,2006,553,447,
Grafito,2007,636,500,
Grafito,2008,826,625.331213566508,
Grafito,2009,897,681.507369700653,
Grafito,2010,797.043627136262,595.754223351772,
Grafito,2011,1130,820.289855072464,
Grafito,2012,1210,859,
Grafito,2013,1150,805,
Grafito,2014,1040,716,
Grafito,2015,1250,860,
Grafito,2016,1220,830,
Grafito,2017,1130,750,
Grafito,2018,913,593,
Grafito,2019,1120,714,
Grafito,2020,1240,780,
Grafito,2021,1340,806,
Grafito,2022,2090,1160,
Manganeso,1990,687.884462136406,857.881922939818,
Manganeso,1991,806.997721992257,965.790225291762,
Manganeso,1992,654.229249011858,760.081023442144,
Manganeso,1993,605,682.456747404844,
Manganeso,1994,602,662.118758434548,
Manganeso,1995,599,640.662729658793,
Manganeso,1996,650,675.270873167623,
Manganeso,1997,635,644.890965732087,
Manganeso,1998,591,591,
Manganeso,1999,535,523.4393757503,
Manganeso,2000,582,550.905923344948,
Manganeso,2001,529,486.883116883117,
Manganeso,2002,471,426.753752084491,
Manganeso,2003,599,530.635869565217,
Manganeso,2004,1090,940.550555849656,
Manganeso,2005,712,594.244751664107,
Manganeso,2006,800,646.825396825397,
Manganeso,2007,1190,935.697057404728,
Manganeso,2008,2380,1801.85787273572,
Manganeso,2009,1370,1041.07226107226,
Manganeso,2010,1500,1121.04539202201,
Manganeso,2011,1460,1058.1591818586,
Manganeso,2012,1400,993.90243902439,
Manganeso,2013,1190,832.489270386266,
Manganeso,2014,1330,915.88508660752,
Manganeso,2015,1140,784.050632911392,
Manganeso,2016,920,624.833333333333,
Manganeso,2017,1420,944.349245206038,
Manganeso,2018,1500,973.715651135006,
Manganeso,2019,1300,828.705514274541,
Manganeso,2020,1110,699.111282843895,
Manganeso,2021,1420,857,
Manganeso,2022,2000,1110,
Oro,1990,12400000,15500000,
Oro,1991,11700000,14000000,
Oro,1992,11100000,12900000,
Oro,1993,11600000,13100000,
Oro,1994,12400000,13600000,
Oro,1995,12400000,13300000,
Oro,1996,12500000,13000000,
Oro,1997,10700000,10900000,
Oro,1998,9490000,9490000,
Oro,1999,9000000,8810000,
Oro,2000,9010000,8530000,
Oro,2001,8750000,8060000,
Oro,2002,10000000,9060000,
Oro,2003,11700000,10400000,
Oro,2004,13200000,11400000,
Oro,2005,14300000,11900000,
Oro,2006,19500000,15800000,
Oro,2007,22500000,17700000,
Oro,2008,28100000,21300000,
Oro,2009,31300000,23800000,
Oro,2010,39500000,29500000,
Oro,2011,50600000,36600000,
Oro,2012,53800000,38200000,
Oro,2013,45500000,31800000,
Oro,2014,40800000,28100000,
Oro,2015,37400000,25700000,
Oro,2016,40300000,27300000,
Oro,2017,40500000,27000000,
Oro,2018,40900000,26500000,
Oro,2019,44900000,28600000,
Oro,2020,57000000,35900000,
Oro,2021,57900000,34800000,
Oro,2022,57900000,32300000,
Plata,1990,155000,193300,
Plata,1991,130000,155400,
Plata,1992,127000,147200,
Plata,1993,138000,156000,
Plata,1994,170000,187000,
Plata,1995,166000,177100,
Plata,1996,167000,173400,
Plata,1997,157000,159700,
Plata,1998,178000,178000,
Plata,1999,169000,165000,
Plata,2000,161000,152000,
Plata,2001,141000,130000,
Plata,2002,149000,135000,
Plata,2003,158000,140000,
Plata,2004,215000,186000,
Plata,2005,236000,197000,
Plata,2006,373000,302000,
Plata,2007,431000,339000,
Plata,2008,482000,365000,
Plata,2009,472000,359000,
Plata,2010,644000,481000,
Plata,2011,1130000,819000,
Plata,2012,1000000,710000,
Plata,2013,767000,537000,
Plata,2014,614000,423000,
Plata,2015,505000,348000,
Plata,2016,551000,374000,
Plata,2017,549000,365000,
Plata,2018,506000,328000,
Plata,2019,512000,326000,
Plata,2020,661000,416000,
Plata,2021,811000,488000,
Plomo,1990,1010,1260,
Plomo,1991,739,884,
Plomo,1992,774,899,
Plomo,1993,699,788,
Plomo,1994,820,902,
Plomo,1995,933,998,
Plomo,1996,1080,1120,
Plomo,1997,1030,1050,
Plomo,1998,999,999,
Plomo,1999,963,942,
Plomo,2000,961,910,
Plomo,2001,962,886,
Plomo,2002,961,871,
Plomo,2003,965,855,
Plomo,2004,1220,1050,
Plomo,2005,1350,1130,
Plomo,2006,1710,1380,
Plomo,2007,2730,2150,
Plomo,2008,2650,2010,
Plomo,2009,1920,1460,
Plomo,2010,2400,1790,
Plomo,2011,2690,1950,
Plomo,2012,2520,1790,
Plomo,2013,2420,1770,
Plomo,2014,2340,1610,
Plomo,2015,2010,1380,
Plomo,2016,2080,1410,
Plomo,2017,2520,1680,
Plomo,2018,2450,1590,
Plomo,2019,2200,1400,
Plomo,2020,2010,1270,
Plomo,2021,2490,1500,
Silice,1990,14.3,17.9,
Silice,1991,13.1,15.6,
Silice,1992,14,16.3,
Silice,1993,14.1,15.9,
Silice,1994,13.8,15.1,
Silice,1995,13.9,14.9,
Silice,1996,13.3,13.8,
Silice,1997,12.4,12.6,
Silice,1998,14.2,14.2,
Silice,1999,15,14.6,
Silice,2000,14.4,13.6,
Silice,2001,16,14.7,
Silice,2002,16.7,15.1,
Silice,2003,18.3,16.2,
Silice,2004,23.1,19.9,
Silice,2005,24.6,20.5,
Silice,2006,26.3,21.3,
Silice,2007,27.6,21.7,
Silice,2008,30.8,23.3,
Silice,2009,34.3,26,
Silice,2010,35.6,26.6,
Silice,2011,45.7,33.1,
Silice,2012,52.8,37.5,
Silice,2013,55.8,39,
Silice,2014,74.8,51.5,
Silice,2015,47.3,32.5,
Silice,2016,35.8,24.3,
Silice,2017,52.1,34.7,
Silice,2018,56.1,36.4,
Silice,2019,46,29.3,
Silice,2020,29.5,18.6,
Silice,2021,40.8,24.5,
Silice,2022,45.3,25.23,
Zinc,1990,1640,2050,
Zinc,1991,1160,1390,
Zinc,1992,1290,1500,
Zinc,1993,1020,1150,
Zinc,1994,1090,1200,
Zinc,1995,1230,1320,
Zinc,1996,1130,1170,
Zinc,1997,1420,1440,
Zinc,1998,1130,1130,
Zinc,1999,1180,1150,
Zinc,2000,1230,1160,
Zinc,2001,969,892,
Zinc,2002,852,772,
Zinc,2003,895.74,793,
Zinc,2004,1160,999,
Zinc,2005,1480,1240,
Zinc,2006,3500,2830,
Zinc,2007,3400,2670,
Zinc,2008,1960,1480,
Zinc,2009,1720,1310,
Zinc,2010,2250,1680,
Zinc,2011,2340,1700,
Zinc,2012,2110,1500,
Zinc,2013,2110,1480,
Zinc,2014,2360,1630,
