mineral,anio,vol_t,fuente
cobre,2019,713700,USGS MYB 2022 Table 1 (imagen)
cobre,2020,732900,USGS MYB 2022 Table 1 (imagen)
cobre,2021,734100,USGS MYB 2022 Table 1 (imagen)
cobre,2022,753900,USGS MYB 2022 Table 1 (imagen)
oro,2019,111.404,USGS MYB 2022 Table 1 (imagen)
oro,2020,101.631,USGS MYB 2022 Table 1 (imagen)
oro,2021,120.0,USGS MYB 2022 Table 1 (imagen)
oro,2022,120.0,USGS MYB 2022 Table 1 (imagen)
plata,2019,5841.233,USGS MYB 2022 Table 1 (imagen)
plata,2020,5604.847,USGS MYB 2022 Table 1 (imagen)
plata,2021,6096.281,USGS MYB 2022 Table 1 (imagen)
plata,2022,6195.813,USGS MYB 2022 Table 1 (imagen)
plomo,2019,259457,USGS MYB 2022 Table 1 (imagen)
plomo,2020,260390,USGS MYB 2022 Table 1 (imagen)
plomo,2021,272231,USGS MYB 2022 Table 1 (imagen)
plomo,2022,273000,USGS MYB 2022 Table 1 (imagen)
zinc,2019,676677,USGS MYB 2022 Table 1 (imagen)
zinc,2020,688461,USGS MYB 2022 Table 1 (imagen)
zinc,2021,742926,USGS MYB 2022 Table 1 (imagen)
zinc,2022,744341,USGS MYB 2022 Table 1 (imagen)
barita,2019,378295,USGS MYB 2022 Table 1 (imagen)
barita,2020,372262,USGS MYB 2022 Table 1 (imagen)
barita,2021,320642,USGS MYB 2022 Table 1 (imagen)
barita,2022,315736,USGS MYB 2022 Table 1 (imagen)
fluorita,2019,1230000,USGS MYB 2022 Table 1 (imagen)
fluorita,2020,910000,USGS MYB 2022 Table 1 (imagen)
fluorita,2021,1000000,USGS MYB 2022 Table 1 (imagen)
fluorita,2022,1000000,USGS MYB 2022 Table 1 (imagen)
grafito,2019,2300,USGS MYB 2022 Table 1 (imagen)
grafito,2020,2033,USGS MYB 2022 Table 1 (imagen)
grafito,2021,1800,USGS MYB 2022 Table 1 (imagen)
grafito,2022,2000,USGS MYB 2022 Table 1 (imagen)
manganeso,2019,219046,USGS MYB 2022 Table 1 (imagen)
manganeso,2020,218606,USGS MYB 2022 Table 1 (imagen)
manganeso,2021,220560,USGS MYB 2022 Table 1 (imagen)
manganeso,2022,221123,USGS MYB 2022 Table 1 (imagen)
silice,2019,2671422,USGS MYB 2022 Table 1 (imagen)
silice,2020,2514378,USGS MYB 2022 Table 1 (imagen)
silice,2021,2500000,USGS MYB 2022 Table 1 (imagen)
silice,2022,2700000,USGS MYB 2022 Table 1 (imagen)
