mineral,anio,vol_t,fuente
barita,1992,188000,USGS MYB Table 1 (imagen)
barita,1993,136000,USGS MYB Table 1 (imagen)
barita,1994,86605,USGS MYB Table 1 (imagen)
barita,1995,248367,USGS MYB Table 1 (imagen)
barita,1996,470028,USGS MYB Table 1 (imagen)
barita,1997,236606,USGS MYB Table 1 (imagen)
barita,1998,161555.0,USGS MYB Table 1 (xls 2002)
barita,1999,157953.0,USGS MYB Table 1 (xls 2002)
barita,2000,127420.0,USGS MYB Table 1 (xls 2002)
barita,2001,142017.0,USGS MYB Table 1 (xls 2002)
barita,2002,163620.0,USGS MYB Table 1 (xls 2002)
barita,2003,287451.0,USGS MYB Table 1 (xls 2003)
cobre,1992,279000,USGS MYB Table 1 (imagen)
cobre,1993,301100,USGS MYB Table 1 (imagen)
cobre,1994,294688,USGS MYB Table 1 (imagen)
cobre,1995,333565,USGS MYB Table 1 (imagen)
cobre,1996,340710,USGS MYB Table 1 (imagen)
cobre,1997,390536,USGS MYB Table 1 (imagen)
cobre,1998,384641.0,USGS MYB Table 1 (xls 2002)
cobre,1999,381184.0,USGS MYB Table 1 (xls 2002)
cobre,2000,364566.0,USGS MYB Table 1 (xls 2002)
cobre,2001,367279.0,USGS MYB Table 1 (xls 2002)
cobre,2002,329874.0,USGS MYB Table 1 (xls 2002)
cobre,2003,355653.0,USGS MYB Table 1 (xls 2003)
fluorita,1992,287000,USGS MYB Table 1 (imagen)
fluorita,1993,283000,USGS MYB Table 1 (imagen)
fluorita,1994,235000,USGS MYB Table 1 (imagen)
fluorita,1995,522000,USGS MYB Table 1 (imagen)
fluorita,1996,524000,USGS MYB Table 1 (imagen)
fluorita,1997,553000,USGS MYB Table 1 (imagen)
fluorita,1998,598000.0,USGS MYB Table 1 (xls 2002)
fluorita,1999,557000.0,USGS MYB Table 1 (xls 2002)
fluorita,2000,635000.0,USGS MYB Table 1 (xls 2002)
fluorita,2001,619000.0,USGS MYB Table 1 (xls 2002)
fluorita,2002,622000.0,USGS MYB Table 1 (xls 2002)
fluorita,2003,756000.0,USGS MYB Table 1 (xls 2003)
grafito,1992,30500,USGS MYB Table 1 (imagen)
grafito,1993,42600,USGS MYB Table 1 (imagen)
grafito,1994,29903,USGS MYB Table 1 (imagen)
grafito,1995,32938,USGS MYB Table 1 (imagen)
grafito,1996,38967,USGS MYB Table 1 (imagen)
grafito,1997,46707,USGS MYB Table 1 (imagen)
grafito,1998,42893.0,USGS MYB Table 1 (xls 2002)
grafito,1999,27781.0,USGS MYB Table 1 (xls 2002)
grafito,2000,30330.0,USGS MYB Table 1 (xls 2002)
grafito,2001,21442.0,USGS MYB Table 1 (xls 2002)
grafito,2002,14065.0,USGS MYB Table 1 (xls 2002)
grafito,2003,8730.0,USGS MYB Table 1 (xls 2003)
manganeso,1992,153000,USGS MYB Table 1 (imagen)
manganeso,1993,135000,USGS MYB Table 1 (imagen)
manganeso,1994,112300,USGS MYB Table 1 (imagen)
