Mineral,Tipo,2002,2003,2004,2005,2006 p/
Aluminio 1/,Metálico,543112395.54,401476845,900000,900000,-
Antimonio,Metálico,2957400,10628700,16449300,21242300,45779100
Arsénico,Metálico,14817900,13794000,14565700,12794500,13778300
Bismuto,Metálico,72432800,73426600,78227200,89240700,133718200
Cadmio,Metálico,8698200,22835942.59,21986800,58978500,45867400
Cobre,Metálico,5080290700,6238599900,11395582100,14970131200,23619126500
Estaño 2/,Metálico,73010594,99852134.9,2486544.12,1512700,2509600
Fierro,Metálico,1447570500,1930156600,2279121200,2689276100,3546039400
Manganeso,Metálico,198467400,124531400,180617200,277438700,195577000
Molibdeno,Metálico,263250700,447387100,1504897800,3177976700,1456059700
Oro,Metálico,2276540100,2805997200,3628570900,4191692200,7628188800
Plata,Metálico,4282205100,5034537600,7500640900,6618590400,9777994200
Plomo,Metálico,605311940,807556400,1410433700,1255290500,1663337300
Titanio,Metálico,3458500,-,-,-,-
Zinc,Metálico,3550788300,4000589800,4548053478.67,6504326600,15456394600
Agregados Pétreos / Arcillas 3/,No Metálico,940590545.97,928450834.98,1173121686.69,3381971463.61,1940591836.78
Arena,No Metálico,4453540606.44,3800037535.2,4151903575.36,4169583327.69,3236611748.29
Azufre,No Metálico,602474200,489275459.85,485650600,398839800,454003600
Barita,No Metálico,126452400,388878700,471583300,365576300,225540100
Bentonita,No Metálico,154141299.71,165044248.96,212530838.92,165388733.72,176747050.69
Calcita (carbonato de calcio),No Metálico,798970955.95,963327416.45,5717179168.41,1176829844.52,647102823.27
Caliza,No Metálico,2701298418.07,2622104945.73,3751244801.34,3046206317.02,3847587657.13
Caolín,No Metálico,569030813.83,742711471.28,645276838.69,841490725.81,1021504899.3
Carbón,No Metálico,2030078300,2293050400,2394082500,2771525100,3053289000
Celestita,No Metálico,51096200,84296500,53399400,60193400,64316400
Diatomita,No Metálico,15359900,114209800,123190000,110960700,119499100
Dolomita,No Metálico,91075300,46658800,95555300,103806200,107728700
Feldespato,No Metálico,164016000,173157500,189366300,141896200,171360800
Fluorita,No Metálico,649542600,683349800,738648700,866695500,1253461600
Fosforita,No Metálico,1778800,1869800,124400,105800,2368164.29
Grafito,No Metálico,30515800,10912500,19199700,15077800,15469700
Grava,No Metálico,4906019514.42,5290858680.16,5571596466.01,4890491797.81,5361013249.49
Mica,No Metálico,450999.43,519483.72,461944.18,134770.47,175563.26
Perlita,No Metálico,50536193.19,119232241.38,122145666.65,61444425.56,57205727.37
Pizarra,No Metálico,-,-,-,-,792355
Rocas Dimensionales (Mármol),No Metálico,5631818539.82,4902929958.79,4095220733.62,5484124138.08,7022200930.06
Sal,No Metálico,904167900,974316900,1052676700,1150934400,1125770468.47
Sílice 4/,No Metálico,374970800,675816700,842333100,88908700,1095746400
Sulfato de Magnesio,No Metálico,21174200,26422500,27286100,30580900,42164000
Sulfato de Sodio,No Metálico,402661200,542142500,604980000,557568000,623500800
Talco,No Metálico,71959958.92,77001577.61,72388749.82,47477804.84,31022690.05
Tepetate,No Metálico,-,-,-,-,29428303.71
Tezontle,No Metálico,-,-,-,-,116287391.12
Tierras Fuller,No Metálico,97975667.09,102506098.17,91975074.11,78467340.39,78273337.72
Vermiculita,No Metálico,200886,209104.69,436368,480910.43,381831.74
Wollastonita,No Metálico,86326100,68714800,67463000,69285000,110042900
Yeso,No Metálico,877101812.12,584345888.64,792976400.33,518296446.4,520192416.52
Nuevos minerales del anuario 2006:,,,,,,
Camera,No Metálico,-,-,-,-,62135837.27
Pizarra,No Metálico,-,-,-,-,792355
Tepetate,No Metálico,-,-,-,-,29428303.71
Tezontle,No Metálico,-,-,-,-,116287391.12
Tepola,No Metálico,-,-,-,-,15097000
