Mineral,Tipo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barita,No Metálico,115152100,117240900,93559900,106065500,126452400,388878700,471583300,356576300,225540100,228159400,156325667.22,229865600,208178700,188967000,188180700,165427147.27,217146547.27,569324119.04,392957995.72,774017935.04,792159144.46,1065967.17,1513685.99,3175312.33,170168.83,1232957.19
Cobre,Metálico,5481620700,5449679900,6233073300,5533592600,5080290700,6238599900,11395582100,14970131200,23619126500,25931188800,20199189103.73,16590304800,25937033900,48079187714.98,52294997282.61,44846653223.71,46933913500.01,51605778050.83,72119840101.81,86371917728.32,87683314443.74,82340499.73,93335028.07,1305261188.06,843284585.7,71266226.03
Fluorita,No Metálico,670451700,718468900,811994700,645585100,649542600,683349800,738648700,866695500,1253461600,1292066800,1596394991.88,2052332800,2153888500,2533102100,3064955000,2398336783.57,2697808503.05,1430356975.61,2047588417.13,2401510155.93,6332997977.56,5332682.59,4464187.1,11789891.35,5229678.67,23476650.66
Grafito,No Metálico,97773100,60203900,65271100,45539600,30515800,10912500,19199700,15077800,15489700,13673900,13288805.37,12468300,15692600,17891800,19367200,18863890.06,26101161.87,22362397.41,56362592.33,44979422.76,24528395.8,14536.07,1191.04,42540.81,894253.74,66467.53
Manganeso,Metálico,427306100,391080700,358300000,216512500,198457400,124531400,180871200,277438700,195577000,216127700,1006998793.17,370262500,730535700,518525700,537787800,645198561.78,624478969.76,468013351.05,810468048.48,1085648306.2,1273461395,1085886.87,1112078.74,14243336.94,15264855.71,27916050.96
Oro,Metálico,2255967500,2022577600,2199371900,2094420700,2276540100,2805997200,3628570900,4191692200,7628188800,9622240500,15698429385.36,26422111300,39660882800,56086974908.84,72598809439.92,68321883401.65,63742670053.6,79573285386.31,100129514003.31,97141845782.38,110951315624.3,115145876.01,174922425.69,106810096.28,96010147.13,106412359.82
Plata,Metálico,4625212300,3932268800,4142648800,3991931200,4282205100,5034537600,7500640800,6618590400,9777994200,11037250100,13972569039.65,22724377700,36466112600,67253053038.24,70597439749.12,56721088860.35,46909884037.85,47547661545.72,56254651959.12,60652320386.64,70322706645.04,78420119.4,106000703.19,76736400.18,21882585.76,14606740.13
Plomo,Metálico,1566113400,1210455800,1458691900,1334091200,1287232500,807566400,1410433700,1255290500,1663337300,2489405500,2271629572.23,3344624400,5233067600,6633494402.69,6463618602.82,6931451459.79,6976999249.59,7437800601.22,8646494356.39,10652063365.5,9890015094.58,14459001.14,18730224.71,67760,59017.5,51332.1
Sílice***,No Metálico,304171200,302209100,297135600,358148000,374970800,675816700,842333100,856860200,1095746400,1180876200,1152299855.5,1288879500,1306931100,1232138400,1740599400,1428886530.9,1243388913.39,851218961.11,1548488583.28,518392116.14,889300680.62,1988969.09,2486636.59,3218205.69,3339427.37,3031971.68
Tungsteno,Metálico,9361600,848200,0,0,0,0,0,0,0,0,159809.75,0,0,0,0,0,0,0,0,0,0,15.5,51.5,165771592.86,73912556.93,35005820.48
Zinc,Metálico,3850658700,3802371400,4163143300,3872222300,3550788300,4000589800,4548053478.67,6504326600,15456394600,15126205800,8098713300.96,10881948100,15571106100,17139703489.89,16923063843.6,15676460032.76,18987796532.62,23988810147.37,26524397922.96,36713846177.08,37326583517.75,42281169.01,49014994.44,0,0,0
