Mineral,Tipo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agregados Pétreos,No Metálico,0,0,0,0,0,0,0,0,1940501836.78,2219910222.69,2139743848.63,4825052001.88,5218430699.44,6326192024,7138246926.32,8183432368.66,49248158442.56,43647481547.4,42405260986.81,83019763281.92,84520358143.79,388964198.24,922431510.18,1446382084.28,2919173574.19,3117381785.4
Aluminio*,Metálico,964075737.36,1111579325.18,1244849261.21,719988617.25,543112395.54,401476845,900000,900000,900000,900000,1100000,1300000,1430560.63,981273,6968947.3,0,0,0,14883840,0,0,0,0,0,0,0
Andesita,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900783579.2,6607130877.36,6940436585.55,7318883028.7,8221691165.54,20315844.93,21864429.25,1029842.34,1297351.43,45973.12
Antimonio,Metálico,18961500,3631700,773700,1078900,2953400,10628700,16449300,21242300,45779100,25618600,26141000,4406300,8254900,848200,0,0,0,0,0,0,0,0,2374.96,0,0,0
Arcillas**,No Metálico,294518832,411337317.58,620138794.4,885785892.03,936257077.28,924650834.98,1173121686.69,3381971463.61,3296611748.29,3375630770.76,3841883189.19,1005660988.39,945588225.73,834215062.79,944077031.3,921153489.96,1035030035.08,552875687.65,600485333.54,589947497,672500063.91,597682.58,644849.56,1139900.78,114045.5,12308281.29
Arena,No Metálico,2853143053,3451214584.73,4284349791.54,4487564583.51,4453540606.44,3800037535.2,4151903575.36,4169593327.69,4310996386.44,4990496241.04,5688854125.25,8824344895.69,9125472559.77,9299558332.11,10209048648.06,10383524598.7,15422666948.93,9433716336.6,9094295861.26,21618264442.33,22889206807.15,19928249.13,79010687.06,64340941.97,52461543.04,566083473.19
Arsénico,Metálico,18580700,18376800,18937500,17642400,14917900,14794100,14565700,12794500,13778300,4526500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azufre,No Metálico,533243592.08,523030700,514675100,576402200,602474200,489275459.85,485650600,399839900,454003600,443812900,3352724600,49468800,1214529900,2152357065.04,1877766483.85,1278448293.04,1072375699.87,1384652934.86,596995887.84,475644299.84,720897363.87,493904.7,379643.95,377777.7,390293.09,464070.02
Barita,No Metálico,115152100,117240900,93559900,106065500,126452400,388878700,471583300,356576300,225540100,228159400,156325667.22,229865600,208178700,188967000,188180700,165427147.27,217146547.27,569324119.04,392957995.72,774017935.04,792159144.46,1065967.17,1513685.99,3175312.33,170168.83,1232957.19
Basalto,No Metálico,0,0,0,0,0,0,0,0,0,0,0,263749200,256869028,240033821.64,107680626.31,94768948.14,29214332765.37,58921816588.75,76585779256.77,83307877123.77,83578427433.06,53352640.12,523700681.54,37644157.86,43159782.6,242816813.44
Bentonita,No Metálico,74348945,93797010.81,131416730.73,211158423.99,232768990.48,165044248.96,212530838.92,165388733.72,176747050.69,258651205.09,168285231.25,238686733.98,285668357.37,283733601.05,489465526,446335875.45,291925994.84,168823100.19,64746387.72,94013699.03,167670163.35,15835.77,53205.46,0,0,0
