Material,Etapa evaluada,Riesgo de Suministro (SR),Importancia Económica (EI),Dependencia de Importación (%),EOL-RIR (%),Datos usados en cálculo SR
Áridos,Extracción,0.2,2.3,0,8,Solo UE
Aluminio,Procesamiento,0.5,6.5,64,12,SG + UE
Antimonio,Procesamiento,4.3,4.3,100,28,SG + UE
Barita,Extracción,1.6,2.9,80,1,SG + UE
Bauxita,Extracción,2,2.6,85,0,SG + UE
Bentonita,Extracción,0.2,2.1,14,50,SG + UE
Berilio,Extracción,2.4,3.9,N/D,0,Solo SG
Bismuto,Procesamiento,3.8,3.6,100,1,SG + UE
Boratos,Extracción,3,3.1,100,0,SG + UE
Cerio,Extracción,5.7,3.2,100,1,SG + UE
Cromo,Procesamiento,0.9,6.8,75,21,SG + UE
Cobalto,Extracción,1.6,5.7,32,0,SG + UE
Carbón de coque,Procesamiento,1,2.3,63,0,SG + UE
Cobre,Extracción,0.2,4.7,82,55,SG + UE
Diatomita,Extracción,0.3,3.8,16,0,SG + UE
Disprosio,Extracción,5.2,6.3,100,0,SG + UE
Erbio,Extracción,5.2,2.7,100,1,SG + UE
Europio,Extracción,3.4,3.7,100,38,SG + UE
Feldespato,Extracción,0.6,2.4,0,10,SG + UE
Espato flúor,Extracción,1.3,4.2,70,1,SG + UE
Gadolinio,Extracción,5.1,4.1,100,1,SG + UE
Galio,Procesamiento,1.4,3.2,34,0,SG + UE
Germanio,Procesamiento,1.9,3.5,64,2,SG + UE
Oro,Extracción,0.2,2,100,20,Solo SG
Yeso,Extracción,0.5,2.2,0,1,SG + UE
Hafnio,Procesamiento,1.3,4.2,9,1,SG + UE
Helio,Procesamiento,1.6,2.8,96,1,Solo SG
Holmio,Extracción,5.4,3.3,100,1,SG + UE
Indio,Procesamiento,2.4,3.1,0,0,Solo SG
Iridio,Procesamiento,2.8,4.3,100,14,Solo SG
Mineral de hierro,Extracción,0.8,6.2,74,24,SG + UE
Caolín,Extracción,0.5,2.3,5,0,SG + UE
Lantano,Extracción,5.4,1.4,100,1,SG + UE
Plomo,Extracción,0.1,3.7,18,75,SG + UE
Caliza,Extracción,0.1,2.5,3,58,SG + UE
Litio,Procesamiento,1,2.4,86,0,SG + UE
Lutecio,Extracción,5.4,3.3,100,1,SG + UE
Magnesita,Extracción,0.7,3.7,1,2,SG + UE
Magnesio,Procesamiento,4,7.1,100,9,SG + UE
Manganeso,Extracción,0.9,6.1,89,12,SG + UE
Molibdeno,Extracción,0.9,5.2,100,30,SG + UE
Corcho natural,Extracción,1.1,1.5,0,8,Solo UE
Grafito natural,Extracción,2.9,2.9,99,3,SG + UE
Caucho natural,Extracción,1,5.4,100,1,SG + UE
Teca natural,Extracción,0.9,2,100,0,Solo SG
Neodimio,Extracción,4.8,4.2,100,1,SG + UE
Níquel,Procesamiento,0.3,4.8,59,34,SG + UE
Niobio,Procesamiento,3.1,4.8,100,0,SG + UE
Paladio,Procesamiento,1.7,5.6,100,10,Solo SG
Perlita,Extracción,0.4,2.1,0,42,Solo SG
Roca fosfórica,Extracción,1,5.1,88,17,SG + UE
Fósforo,Procesamiento,4.1,4.4,100,0,Solo UE
Platino,Procesamiento,2.1,4.9,98,11,Solo SG
Potasa,Extracción,0.6,4.8,23,0,Solo SG
Praseodimio,Extracción,4.6,3.8,100,10,SG + UE
Renio,Procesamiento,1,2,18,50,SG + UE
Rodio,Procesamiento,2.5,6.6,100,24,Solo SG
Rutenio,Procesamiento,3.4,3.5,100,11,Solo SG
Samario,Extracción,4.5,5.5,100,1,SG + UE
Madera de Sapelli,Extracción,1.4,1.3,100,15,Solo UE
Escandio,Procesamiento,2.9,3.7,100,0,Solo SG
Selenio,Procesamiento,0.4,4.5,17,1,SG + UE
Arena silícea,Extracción,0.3,2.6,0,0,Solo UE
Silicio metálico,Procesamiento,1,3.8,64,0,SG + UE
Plata,Extracción,0.5,3.8,80,55,SG + UE
Azufre,Procesamiento,0.6,4.6,0,5,SG + UE
Talco,Extracción,0.4,3,13,5,SG + UE
Tántalo,Extracción,1,3.9,100,1,Solo SG
Telurio,Procesamiento,0.7,3.4,100,1,SG + UE
Terbio,Extracción,4.8,3.9,100,6,SG + UE
Tulio,Extracción,5.4,3.3,100,1,SG + UE
Estaño,Procesamiento,0.8,4.4,78,32,SG + UE
Titanio,Extracción,0.3,4.3,100,19,SG + UE
Wolframio (Tungsteno),Extracción,1.8,7.3,44,42,SG + UE
Vanadio,Procesamiento,1.6,3.7,84,44,SG + UE
Iterbio,Extracción,5.4,3.3,100,1,SG + UE
Itrio,Extracción,3.8,3.2,100,31,SG + UE
Zinc,Extracción,0.3,4.5,61,31,SG + UE
Promedios de Grupo,Etapa evaluada,Riesgo de Suministro (SR),Importancia Económica (EI),Dependencia de Importación (%),EOL-RIR (%),Datos usados en SR
ETRLs,Extracción,5,3.6,100,3,SG + UE
ETRPs Pesados,Extracción,4.9,3.7,100,8,Solo SG
Metales del Grupo del Platino (MGP),Procesamiento,2.5,5,99.6,14,Solo SG
