Clasif. de Riesgo,Materia Prima Mineral,Disminución Neta Ponderada en el PIB de EE.UU. (millones de $),Categoría de Riesgo Estadístico,¿Recomendado para Inclusión?,Base para la Recomendación,¿Estaba en la LCM anterior (y base para la recomendación previa)?,Fase / Forma / Mineral Principal,,,
1,Samario (Samarium),4498,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras (subconjunto de minerales críticos),,,
2,Rodio (Rhodium),2752,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Metal del Grupo del Platino (PGM),,,
3,Lutecio (Lutetium),2059,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
4,Terbio (Terbium),1809,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
5,Disprosio (Dysprosium),1624,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
6,Galio (Gallium),1419,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Galio (usualmente subproducto de la refinación de aluminio/bauxita),,,
7,Germanio (Germanium),814,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Germanio (usualmente subproducto del zinc),,,
8,Gadolinio (Gadolinium),758,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
9,Tungsteno (Tungsten),544,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Tungsteno,,,
10,Niobio (Niobium),394,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Niobio,,,
11,Magnesio Metálico (Magnesium metal),303,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Forma metálica del Magnesio,,,
12,Itrio (Yttrium),295,Alto,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras (a menudo agrupado con ellas),,,
13,Potasa (Potash),287,Alto,Sí,Evaluación cuantitativa,No,"Potasa (principalmente cloruro de potasio, KCl)",,,
14,Hafnio (Hafnium),206,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Hafnio (subproducto de la refinación de circonio),,,
15,Aluminio (Aluminum),201,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Forma metálica del Aluminio (producto final de la cadena: bauxita -> alúmina -> aluminio),,,
16,Tulio (Thulium),180,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
17,Neodimio (Neodymium),154,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
18,Ferrosilicio (Silicon ferroalloys)*,140,Elevado,Sí,Evaluación cuantitativa,No evaluado previamente*,Aleación de Silicio (Silicio + Hierro),,,
19,Antimonio (Antimony),131,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Antimonio,,,
20,Barita (Barite),104,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Barita (sulfato de bario),,,
21,Grafito Sintético (Synthetic graphite),100,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Forma sintética del Grafito,,,
22,Indio (Indium),96,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Indio (subproducto del zinc),,,
23,Vanadio (Vanadium),92,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Vanadio,,,
24,Paladio (Palladium),85,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Metal del Grupo del Platino (PGM),,,
25,Aleaciones de Manganeso (Manganese alloys)*,77,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Aleación de Manganeso (ej. ferromanganeso),,,
26,Lantano (Lanthanum),74,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
27,Praseodimio (Praseodymium),66,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
28,Ferrotitanio (Titanium ferroalloys)*,65,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Aleación de Titanio (Titanio + Hierro),,,
29,"Cobre Refinado (Copper, refined)",56,Elevado,Sí,Evaluación cuantitativa,No,Forma refinada/metálica del Cobre (etapa final de la cadena: mineral extraído -> concentrados -> cobre refinado),,,
30,Platino (Platinum),54,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Metal del Grupo del Platino (PGM),,,
31,Rutenio (Ruthenium),54,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Metal del Grupo del Platino (PGM),,,
32,"Cinc Fundido (Zinc, smelted)*",51,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Forma fundida/primaria del Zinc (etapa posterior a la minería),,,
33,Iridio (Iridium),48,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Metal del Grupo del Platino (PGM),,,
