Mineral a gráficar,Plomo,3
año,Valor de producción,Volumen de producción
2000,1458.6027,160607
2001,601.3365,135082
2002,542.8985,124493
2003,705.2035,126219
2004,1101.2771,110931
2005,1295.2903,121669
2006,1663.3378,120450
2007,2489.404,89838
2008,2271.629,100725
2009,2420.9932,100361
2010,4299.251,158206
2011,5402.521,182202
2012,5711.383,210382
2013,5481.19,200362
2014,5480.659,196746
2015,6005.125,212964
2016,5573.021,159044
2017,7260.876,165654
2018,5644.31,131759
2019,5791.828,149054
2020,7046.485,176249
2021,8201.757,182230
2022,6172.182,142774
2023,5213.105,134355
2024,6543.19,172130
2025,6226.6200625147,161823
