Indicador (Pesos mexicanos por tonelada),Oro,Plata,Plomo,Cobre,Zinc,Manganeso,Gráfito,Barita,Fluorita,Silice,,,,,
2000-01-01,87011990407.6739,1588970710.24369,9139.45100542611,18248.8028458065,12038.2402379105,2294.11595038939,2147.48699271592,728.442990010334,1277.1412037037,178.464513553875,,,,,
2000-02-01,91330578512.3967,1601034828.37697,9054.86365486366,17733.2150601222,11402.175271909,2294.81705509103,2157.53127606339,739.740560830205,1276.21327978167,174.252621802025,,,,,
2000-03-01,85866262814.5387,1513285029.38514,8909.2340730136,17130.1714049701,11234.0935957166,2230.4744731207,2112.08709175739,714.8602427363,1244.0421500334,168.677552699502,,,,,
2000-04-01,84436548223.3503,1529671055.10548,8982.71747776412,16826.0211800303,11485.9416869976,2273.17215263618,2132.56056653,721.790425237524,1256.10372890708,170.599009371771,,,,,
2000-05-01,84022952853.598,1523407527.92855,9086.94503171247,18170.9496117735,11940.7314414087,2301.08295310868,2158.74741913283,730.652682673139,1271.52609223301,164.663530454273,,,,,
2000-06-01,90966419229.4097,1601116306.07371,9503.41358246497,18541.7245606866,12071.5876448375,2405.16642842557,2256.38899651298,763.701240775282,1329.03878583474,172.147541276004,,,,,
2000-07-01,85787619699.0424,1512252260.02098,9075.18571321378,18381.0640548122,11673.8525507756,2291.47789183919,2149.73629782833,732.328864423333,1266.21951627471,163.826855518453,,,,,
2000-08-01,82680574098.7984,1463633692.02465,8934.30656934307,18633.5429453628,11788.0364887094,2252.65186665715,2113.31653687586,719.921185963595,1244.76541579546,159.055664202838,,,,,
2000-09-01,83125408496.732,1479026470.88491,8980.3183409286,19702.5613893125,12346.4009653958,2262.03935599284,2122.12083847102,722.919884618963,1249.95188151435,153.779499912221,,,,,
2000-10-01,82956521739.1304,1480459471.02915,9117.53232680777,19196.1691113028,11317.7735052164,2296.59841109992,2154.53944260746,733.963581940634,1269.04754698708,157.991690153122,,,,,
2000-11-01,81023540489.6422,1423804625.83104,9080.58979559994,18232.171942497,10938.7347090915,2290.23932845151,2148.57908847185,731.93342776204,1265.53592859286,154.851278830783,,,,,
2000-12-01,84743775464.0109,1437277421.07734,9156.34809323449,19682.2209472812,10984.5755144097,2529.15951972556,2230.26533996683,754.750750750751,1399.65793867329,159.715258826765,,,,,
2001-01-01,82962749445.6763,1452593228.59861,4618.0916228108,18741.1087701645,10921.1680586433,978.366564417178,2197.65047135606,748.620879553143,1079.63067453193,221.240109216539,,,,,
2001-02-01,81521920668.0585,1410538052.28225,4828.83777794758,18313.9332365747,10691.2108893816,974.64616886286,2189.30207966161,745.805618593004,1075.52937049557,216.671952495023,,,,,
2001-03-01,81554177660.5101,1364444402.59685,4789.66410577095,17878.414410144,10491.3428656057,973.350189633376,2186.38721804511,744.813654618474,1074.09754582168,215.185111627744,,,,,
2001-04-01,78564027370.479,1314873967.28331,4459.75654069767,16590.8308094305,9884.81137955054,945.895293790031,2124.71321695761,723.803272626421,1043.79968355034,207.712449251039,,,,,
2001-05-01,80334071776.6947,1305930688.0272,4265.68570720013,16355.8576283312,9338.47622077302,925.735759493671,2079.44228732792,708.380887900184,1021.55842593567,202.113742437338,,,,,
2001-06-01,79332667332.6673,1276668810.82315,4038.16984155243,15414.2308512908,8888.1266342396,920.847682119205,2068.45228548516,704.637345679012,1016.16004312539,197.594097657411,,,,,
2001-07-01,79182657773.217,1255175164.71122,4227.14662386793,14873.0039368337,8563.85464507292,927.581602373887,2083.57986326911,709.791742122419,1023.59288043743,200.84906551283,,,,,
2001-08-01,80620730671.198,1232901588.00749,4408.31164001488,14400.3197325873,8313.39157647672,924.502529510961,2076.66030534351,707.435328898743,1020.19546349646,203.356090602073,,,,,
2001-09-01,85298701298.7013,1315119949.91542,4370.42762747787,14434.2616710078,8286.32381385823,952.379862700229,2139.27272727273,728.763309478094,1050.95248565774,213.311773066102,,,,,
2001-10-01,85152315484.8046,1329169654.87618,4379.67411389216,13906.848952299,7846.50781016814,947.585,2128.51351351351,725.097669507504,1045.66601924206,210.4917038385,,,,,
2001-11-01,81921551724.1379,1222724914.74543,4486.67057640751,14347.0015854758,7805.38718631394,934.106466405264,1958.32104832105,1040.78588143526,1030.79124243029,205.242899933029,,,,,
2001-12-01,79565152084.1157,1335672890.9226,4427.24517702713,13971.8537912978,8336.04743298997,927.856934306569,2084.19473684211,709.98097653773,1009.13080223638,202.76550353036,,,,,
2002-01-01,82959929078.0142,1265734734.51764,4701.248049922,14936.477967295,7924.5449374289,866.425025853154,2111.08695652174,732.99565018315,989.709821885033,189.341296248026,,,,,
2002-02-01,86421573736.321,1230025241.79642,4368.02018260452,15325.0625670361,7670.59725252049,860.552755376344,2096.77662582469,728.070663370416,983.009099163495,186.787810383747,,,,,
2002-03-01,85826137689.6149,1263205911.49273,4358.39136490251,15745.3773204936,8063.77405076631,858.331015299026,2091.36239782016,726.195515507125,980.471317442489,200.780347635011,,,,,
2002-04-01,88994947368.4211,1290919553.65036,4319.58589815333,15516.4456233422,8040.90603821967,864.709934556906,2106.90869565217,731.573816155989,987.76254234554,190.373934050505,,,,,
2002-05-01,96001981178.8014,1374221484.9077,4295.8827313666,16216.8623265742,7996.4756024261,898.916214202065,2190.25273799495,760.479471719782,1026.83736824373,200.223790308481,,,,,
2002-06-01,100897563401.293,1473598255.66496,4289.87012987013,17279.2398248222,8177.56072410632,921.979010494753,2246.44565960355,780.032303654351,1053.17540999329,208.718728516331,,,,,
2002-07-01,98702962085.3081,1469133501.78408,4366.87220288414,16505.0880364196,8481.49103942652,925.571904199334,2255.19955654102,783.031363238786,1057.27291395715,219.638471150946,,,,,
2002-08-01,98053901243.8749,1367325106.21901,4161.99797502531,15604.9647563592,8079.33200033794,929.893803829752,2265.73141486811,786.723237597911,1062.21704994345,218.05376120025,,,,,
2002-09-01,103305358295.675,1413789553.48202,4235.78646524446,15930.9797214757,8380.76530211362,950.837651122625,2316.76470588235,804.411674347158,1086.14250525248,225.792154163799,,,,,
2002-10-01,102750350631.136,1362867000.8463,4222.63141328297,16099.8330550918,8395.26558374726,954.894978271367,2326.6475315729,807.861592632719,1090.76510721248,226.919498950739,,,,,
2002-11-01,104663270257.157,1413015436.21275,4508.98773262121,17250.0545097754,8564.10407693669,964.313878080415,2349.59281437126,815.828899467936,1101.53661379773,231.166378213487,,,,,
2002-12-01,110522451888.81,1456884597.87243,4529.39894471209,17311.827545277,8814.12472618828,965.485749690211,2154.37430167598,759.269557777659,1129.1509135269,224.200873410061,,,,,
2003-01-01,121643603133.159,1654759427.09023,4713.16651501365,18583.1845238095,9046.81961262513,1073.4760117659,1250,1353.19806317731,844.090928386467,400,,,,,
2003-02-01,126401647785.788,1645044815.84406,5201.02626871293,19547.7486673472,9319.97107464001,1107.05451586656,1250,1353.17730242549,844.089970162956,400,,,,,
2003-03-01,119613946800.863,1597191355.04236,4989,19237.0825076127,9363.32347405216,1106.44125829232,1249.79674796748,1353.18859011628,844.090494989371,400.000605275582,,,,,
2003-04-01,112018621036.739,1548369038.97361,4643.33369318795,17872.3862729449,8713.38964103838,1075.20447251268,1250.19540229885,1353.17456295921,844.089924751118,399.999118903916,,,,,
2003-05-01,116994793926.247,1566189386.77377,4750.69963580602,17945.7432407712,8627.58996728462,1038.05946393328,1250,1353.19245511398,844.090626511017,399.999211107605,,,,,
2003-06-01,120323196605.375,1538090988.42799,4914.26091987272,18777.0580296896,8996.61917411253,1063.4393757503,1250,1353.21132259639,844.090464764952,400.001233638865,,,,,
2003-07-01,117905035971.223,1633878405.8103,5377.52728573985,18941.3326990922,9335.56942681758,1058.00990027979,1250,1353.21570039611,844.089467263115,399.998516496558,,,,,
2003-08-01,124471131639.723,1739146183.97153,5340.8330011957,19958.0695913066,9508.32132092779,1089.38789951645,1250,1353.19585142306,844.089807490054,399.998537134832,,,,,
2003-09-01,133105210420.842,1829240180.39834,5696.44947327351,20726.9306853885,9654.07792919263,1106.83926897844,1250,1353.211694878,844.089535051101,400,,,,,
2003-10-01,136112244897.959,1810173141.1924,6562.05975972893,22732.7512030339,10764.3280080438,1131.61173405822,1250,1353.20039284342,844.090640684972,400,,,,,
2003-11-01,139186186186.186,1862505520.9963,6924.26815642458,23761.8405394685,10988.2693335849,1126.92641632299,1250,1353.17911605066,844.089355274664,399.99926363382,,,,,
2003-12-01,147469517743.403,2045902814.42739,7790.15618742491,25786.829451071,11874.4840843557,1140.03693444137,1250,1353.20037986705,844.090235884839,399.99938702203,,,,,
2004-01-01,145434881087.203,2237986178.96603,8285.81098672221,26478.4209006928,11111.0174728917,1284.82665222102,1300,1537.7655098125,876.533574270939,409.70743838307,,,,,
2004-02-01,143176628609.805,2293203737.3531,9784.12456630278,30387.9622915156,11977.7565827571,1295.02225412778,1300,1537.76355159697,876.532141786464,409.705820645007,,,,,
2004-03-01,143877108433.735,2580889559.44969,9754.81970724741,33109.4002235192,12168.4286331557,1294.1166216334,1300,1537.76647902669,876.531843203594,409.705940444517,,,,,
2004-04-01,146252475247.525,2565902687.88548,8488.46199595575,33212.6087952359,11631.8070682374,1324.56396335256,1300,1537.76260756694,876.532019996736,409.705882352941,,,,,
2004-05-01,142073886639.676,2176522201.42722,9312.51134919194,31468.9543073867,11837.9704301075,1353.83149872989,1300,1537.73187002367,876.532230655942,409.706239150687,,,,,
2004-06-01,143724137931.034,2153553615.28558,9907.48251748252,30586.5673118138,11628.6897800056,1338.79013000796,1300,1537.72749391727,876.532527956902,409.708078750849,,,,,
2004-07-01,146821674876.847,2350874955.77915,10776.3749721666,32209.5657646318,11335.0605724904,1348.75583203733,1300,1537.73472072719,876.532001158413,409.707194301188,,,,,
2004-08-01,146843148688.047,2459177755.31509,10503.6662749706,32432.5335215243,11119.6962632385,1340.09661835749,1300,1537.73563607631,876.532596914763,409.706079535842,,,,,
2004-09-01,149751453488.372,2370534055.5762,10744.5865633075,33249.9916334795,11200.9413596631,1350.75540404432,1300,1537.79261704682,876.520433189121,409.707152080483,,,,,
2004-10-01,153986180210.061,2617425897.74114,10625.3200860391,34312.3932434997,12130.8912344076,1339.59609711822,1300,1537.79585228587,876.520494603969,409.707509801748,,,,,
2004-11-01,160381300219.138,2749734469.41088,11015.1122019635,35543.3113442198,12470.3038261804,1338.51400377304,1300,1537.79400492193,876.521341425728,409.708192675107,,,,,
