Indicador (Millones de pesos en precios corrientes),año,Oro,Plata,Plomo,Cobre,Zinc,Manganeso,Gráfito,Barita,Fluorita,Silice,,,año,Oro,Plata,Plomo,Cobre,Zinc,Manganeso,Gráfito,Barita,Fluorita,Silice,,
2000-01-01,2000,145.136,277.706,85.9017,533.522,372.415,15.9074,4.12747,6.34401,35.3104,25.9325,,,2000,2199.372,4142.651,1458.6027,6233.074,4163.143,358.30004,65.27095,93.56003,811.9948,297.1354,,Oro
2000-02-01,2000,110.51,305.098,111.239,449.803,273.618,38.6975,2.58688,6.70057,49.5694,25.1396,,,2001,1860.4319,3576.573,601.3365,5533.593,3863.4,94.186641,45.539568,106.06552,645.5852,358.1479,,Plata
2000-03-01,2000,184.269,349.416,124.462,497.7,323.115,39.582,6.79036,7.77482,91.2592,25.4219,,,2002,2011.9874,3579.226,542.8985,5080.291,3550.388,80.54972,30.515873,126.45269,649.5424,374.971,,Plomo
2000-04-01,2000,116.438,366.113,124.222,522.734,287.183,39.019,5.72166,7.82493,54.638,23.9376,,,2003,2568.36,4312.843,705.2035,6238.598,3955.517,124.53136,10.91247,388.9788,638.3499,675.6167,,Cobre
2000-05-01,2000,135.445,342.689,103.155,559.32,361.434,41.859,3.13666,8.42954,50.2914,25.2719,,,2004,3230.68,5936.42,1101.2771,11395.579,4435.864,180.87117,19.1997,471.5832,738.6485,842.3332,,Zinc
2000-06-01,2000,257.344,364.025,132.24,453.716,374.014,35.3343,5.82374,9.4172,90.6338,28.9547,,,2005,4191.692,6618.591,1295.2903,14970.13,6504.326,277.4387,15.077781,356.5763,866.6956,856.8601,,Manganeso
2000-07-01,2000,250.843,315.663,120.945,399.733,364.983,39.9565,4.15759,8.24822,75.7022,26.3948,,,2006,7628.191,9777.994,1663.3378,23619.13,15456.388,195.57701,15.48965,225.54,1253.4601,1095.7463,,Gráfito
2000-08-01,2000,247.711,363.571,140.76,494.851,394.133,31.5574,4.61337,7.67292,67.8671,25.4567,,,2007,9622.24,11037.246,2489.404,25931.19,15126.2031,216.12756,13.673875,228.1595,1292.0683,1180.8756,,Barita
2000-09-01,2000,203.491,410.56,135.971,633.063,378.553,3.79344,6.88416,7.76922,76.6308,24.5266,,,2008,15698.41,13972.566,2271.629,20199.19,8098.712,1006.9989,13.28881,156.32563,1596.395,1152.2994,,Fluorita
2000-10-01,2000,188.892,352.755,126.214,556.209,359.079,41.0494,9.12232,8.82738,83.8612,21.7504,,,2009,21712.2097,17331.034,2420.9932,15727.039,8562.306,370.26253,12.468333,229.8655,2052.333,1288.8789,,Silice
2000-11-01,2000,172.094,361.289,116.395,514.913,322.813,25.6461,9.61704,8.26792,67.4885,21.699,,,2010,36287.92,28992.64,4299.251,22695.61,14169.594,730.5356,15.6925,208.1788,2153.889,1306.9325,,
2000-12-01,2000,187.199,333.766,137.098,617.51,351.803,5.898,2.6897,6.2833,68.7428,22.6497,,,2011,53220.34,58422.04,5402.521,43614.94,12150.974,518.5258,17.891745,188.9671,2533.103,1232.1379,,
2001-01-01,2001,187.081,312.983,53.5283,595.986,363.522,1.27579,6.06112,9.51572,63.1422,31.763,,,2012,68254.54,59242.67,5711.383,45945.28,12816.929,537.7879,19.36718,188.18076,3064.955,1740.597,,
2001-02-01,2001,156.196,349.166,63.195,504.732,347.165,11.9823,6.21105,9.53065,67.4529,32.1097,,,2013,56796.04,47365.88,5481.19,38219.28,10269.297,645.1985,18.86389,165.5742,2939.336,1428.887,,
2001-03-01,2001,92.7271,289.823,53.6155,603.468,389.617,19.248,5.81579,9.27293,69.1504,36.8384,,,2014,53131.44,38478.83,5480.659,41228.66,12924.057,624.4791,26.10116,212.1465,2697.809,1243.3895,,
2001-04-01,2001,160.742,230.93,49.093,558.746,269.628,3.39671,5.11206,7.82938,54.7546,29.8273,,,2015,72844.8716,39597.1495,6005.125,42149.88,13861.594,468.0133,22.362411,582.1742,1430.3568,855.1809,,
2001-05-01,2001,181.314,341.066,51.602,457.228,352.266,1.17013,5.89106,7.32395,67.9367,29.2307,,,2016,87662.67,42225.73,5573.021,44598.99,15282.653,772.393,15.237746,354.6831,2049.7,1062.0464,,
2001-06-01,2001,158.824,246.106,45.3648,433.479,316.124,8.34288,5.15872,8.21889,67.8612,30.5848,,,2017,77354.52,41721.82,7260.876,53917.8,21952.44,1050.8687,7.617272,774.0173,2345.501,453.3853,,
2001-07-01,2001,154.327,273.765,36.8734,336.234,318.858,18.7557,3.35248,7.83894,63.0871,23.3951,,,2018,71720.67,35863.66,5644.31,59371.8999,21500.35,1273.46,24.528407,792.1589,3820.047,493.1338,,
2001-08-01,2001,94.8906,266.144,47.4158,396.34,318.777,10.9646,1.08817,6.70012,69.9395,27.9395,,,2019,63166.26,36650.56,5791.828,56194.9,16006.917,1020.3742,9.87485,963.0649,3399.899,1637.582,,
2001-09-01,2001,151.064,296.19,35.0552,360.207,291.314,1.24857,0.988344,8.35017,52.576,29.4174,,,2020,87841.42,54383.33,7046.485,66256.29,19166.177,942.1115,9.478483,1171.60463,2598.494,1541.3118,,
