Indicador ,año,Oro (ton),Plata (ton),Plomo (ton),Cobre (ton),Zinc (ton),Manganeso (ton),Gráfito (ton),Barita (ton),Fluorita (ton),Silice (ton),,,año,Oro,Plata,Plomo,Cobre,Zinc,Manganeso,Gráfito,Barita,Fluorita,Silice,,
2000-01-01,2000,1.668,174.771,9399,29236,30936,6934,1922,8709,27648,145309,,,2000,25.822,2746.852,160607,338999,358576,156117,30330,127668,635230,1802545,,Oro
2000-02-01,2000,1.21,190.563,12285,25365,23997,16863,1199,9058,38841,144271,,,2001,22.865,2711.863,135082,349358,426304,99751,21442,142018,619468,1720211,,Plata
2000-03-01,2000,2.146,230.899,13970,29054,28762,17746,3215,10876,73357,150713,,,2002,20.82,2628.966,124493,314820,431613,88358,13885,163621,622478,1778714,,Plomo
2000-04-01,2000,1.379,239.341,13829,31067,25003,17165,2683,10841,43498,140315,,,2003,20.277,2516.612,126219,303765,407880,114550,8730,287452,756258,1689043,,Cobre
2000-05-01,2000,1.612,224.949,11352,30781,30269,18191,1453,11537,39552,153476,,,2004,21.818,2452.872,110931,352286,374428,135893,14769,306668,842698,2055940,,Zinc
2000-06-01,2000,2.829,227.357,13915,24470,30983,14691,2581,12331,68195,168197,,,2005,26.782,2565.586,121669,373252,427061,132872,12357,268657,875450,2120878,,Manganeso
2000-07-01,2000,2.924,208.737,13327,21747,31265,17437,1934,11263,59786,161114,,,2006,35.899,2413.147,120450,327536,432347,124417,11773,199605,936433,2661770,,Gráfito
2000-08-01,2000,2.996,248.403,15755,26557,33435,14009,2183,10658,54522,160049,,,2007,39.355,2351.57,89838,335502,426509,152446,9900,185921,933361,2950438,,Barita
2000-09-01,2000,2.448,277.588,15141,32131,30661,1677,3244,10747,61307,159492,,,2008,50.365,2668.028,100725,268620,397306,169908,7229,140066,1057649,2779075,,Fluorita
2000-10-01,2000,2.277,238.274,13843,28975,31727,17874,4234,12027,66082,137668,,,2009,51.393,2693.265,100361,227750,384478,118578,5105,151791,1045940,2483605,,Silice
2000-11-01,2000,2.124,253.749,12818,28242,29511,11198,4476,11296,53328,140128,,,2010,72.596,3499.47,158206,237609,518429,174761,6628,143225,1067386,2607650,,
2000-12-01,2000,2.209,232.221,14973,31374,32027,2332,1206,8325,49114,141813,,,2011,84.118,4150.347,182202,402430,447948,170935,7348,134727,1206907,2542143,,
2001-01-01,2001,2.255,215.465,11591,31801,33286,1304,2758,12711,58485,143568,,,2012,96.65,4496.393,210382,439531,500125,188294,7520,139997,1237091,3592813,,
2001-02-01,2001,1.916,247.541,13087,27560,32472,12294,2837,12779,62716,148195,,,2013,97.967,4860.923,200362,409172,420915,211559,7024,119402,1210477,2937949,,
2001-03-01,2001,1.137,212.411,11194,33754,37137,19775,2660,12450,64380,171194,,,2014,98.166,4729.407,196746,452419,449146,235686,9160,130914,1109721,2548336,,
