Mineral,Año,Producción en millones de pesos a precios corriente,Volumen de producción en toneladas métricas,,Mineral,Gráfito,
Oro,2000,2199.372,25.822,,,,
Plata,2000,4142.651,2746.852,,,Datos,
Plomo,2000,1458.6027,160607,,Año,Valor de producción,Volumen de producción
Cobre,2000,6233.074,338999,,2000,65.27095,30330
Zinc,2000,4163.143,358576,,2001,45.539568,21442
Manganeso,2000,358.30004,156117,,2002,30.515873,13885
Gráfito,2000,65.27095,30330,,2003,10.91247,8730
Barita,2000,93.56003,127668,,2004,19.1997,14769
Fluorita,2000,811.9948,635230,,2005,15.077781,12357
Silice,2000,297.1354,1802545,,2006,15.48965,11773
Oro,2001,1860.4319,22.865,,2007,13.673875,9900
Plata,2001,3576.573,2711.863,,2008,13.28881,7229
Plomo,2001,601.3365,135082,,2009,12.468333,5105
Cobre,2001,5533.593,349358,,2010,15.6925,6628
Zinc,2001,3863.4,426304,,2011,17.891745,7348
Manganeso,2001,94.186641,99751,,2012,19.36718,7520
Gráfito,2001,45.539568,21442,,2013,18.86389,7024
Barita,2001,106.06552,142018,,2014,26.10116,9160
Fluorita,2001,645.5852,619468,,2015,22.362411,6524
Silice,2001,358.1479,1720211,,2016,15.237746,3839
Oro,2002,2011.9874,20.82,,2017,7.617272,1746
Plata,2002,3579.226,2628.966,,2018,24.528407,4130
Plomo,2002,542.8985,124493,,2019,9.87485,1591
Cobre,2002,5080.291,314820,,2020,9.478483,1461
Zinc,2002,3550.388,431613,,2021,11.343821,1778
Manganeso,2002,80.54972,88358,,2022,12.570148,1976
Gráfito,2002,30.515873,13885,,2023,8.25944,1297
Barita,2002,126.45269,163621,,2024,4.488099,706
Fluorita,2002,649.5424,622478,,Total general,465.114162,198248
Silice,2002,374.971,1778714,,,,
Oro,2003,2568.36,20.277,,,,
Plata,2003,4312.843,2516.612,,,,
Plomo,2003,705.2035,126219,,,,
Cobre,2003,6238.598,303765,,,,
Zinc,2003,3955.517,407880,,,,
Manganeso,2003,124.53136,114550,,,,
Gráfito,2003,10.91247,8730,,,,
Barita,2003,388.9788,287452,,,,
Fluorita,2003,638.3499,756258,,,,
Silice,2003,675.6167,1689043,,,,
Oro,2004,3230.68,21.818,,,,
Plata,2004,5936.42,2452.872,,,,
Plomo,2004,1101.2771,110931,,,,
Cobre,2004,11395.579,352286,,,,
Zinc,2004,4435.864,374428,,,,
Manganeso,2004,180.87117,135893,,,,
Gráfito,2004,19.1997,14769,,,,
Barita,2004,471.5832,306668,,,,
Fluorita,2004,738.6485,842698,,,,
Silice,2004,842.3332,2055940,,,,
Oro,2005,4191.692,26.782,,,,
Plata,2005,6618.591,2565.586,,,,
Plomo,2005,1295.2903,121669,,,,
Cobre,2005,14970.13,373252,,,,
Zinc,2005,6504.326,427061,,,,
Manganeso,2005,277.4387,132872,,,,
Gráfito,2005,15.077781,12357,,,,
Barita,2005,356.5763,268657,,,,
Fluorita,2005,866.6956,875450,,,,
Silice,2005,856.8601,2120878,,,,
Oro,2006,7628.191,35.899,,,,
Plata,2006,9777.994,2413.147,,,,
Plomo,2006,1663.3378,120450,,,,
Cobre,2006,23619.13,327536,,,,
Zinc,2006,15456.388,432347,,,,
Manganeso,2006,195.57701,124417,,,,
Gráfito,2006,15.48965,11773,,,,
Barita,2006,225.54,199605,,,,
Fluorita,2006,1253.4601,936433,,,,
Silice,2006,1095.7463,2661770,,,,
Oro,2007,9622.24,39.355,,,,
Plata,2007,11037.246,2351.57,,,,
Plomo,2007,2489.404,89838,,,,
Cobre,2007,25931.19,335502,,,,
Zinc,2007,15126.2031,426509,,,,
Manganeso,2007,216.12756,152446,,,,
Gráfito,2007,13.673875,9900,,,,
Barita,2007,228.1595,185921,,,,
Fluorita,2007,1292.0683,933361,,,,
Silice,2007,1180.8756,2950438,,,,
Oro,2008,15698.41,50.365,,,,
Plata,2008,13972.566,2668.028,,,,
Plomo,2008,2271.629,100725,,,,
Cobre,2008,20199.19,268620,,,,
Zinc,2008,8098.712,397306,,,,
Manganeso,2008,1006.9989,169908,,,,
Gráfito,2008,13.28881,7229,,,,
Barita,2008,156.32563,140066,,,,
Fluorita,2008,1596.395,1057649,,,,
Silice,2008,1152.2994,2779075,,,,
Oro,2009,21712.2097,51.393,,,,
Plata,2009,17331.034,2693.265,,,,
Plomo,2009,2420.9932,100361,,,,
Cobre,2009,15727.039,227750,,,,
Zinc,2009,8562.306,384478,,,,
Manganeso,2009,370.26253,118578,,,,
Gráfito,2009,12.468333,5105,,,,
Barita,2009,229.8655,151791,,,,
Fluorita,2009,2052.333,1045940,,,,
Silice,2009,1288.8789,2483605,,,,
Oro,2010,36287.92,72.596,,,,
Plata,2010,28992.64,3499.47,,,,
Plomo,2010,4299.251,158206,,,,
Cobre,2010,22695.61,237609,,,,
Zinc,2010,14169.594,518429,,,,
Manganeso,2010,730.5356,174761,,,,
Gráfito,2010,15.6925,6628,,,,
Barita,2010,208.1788,143225,,,,
Fluorita,2010,2153.889,1067386,,,,
Silice,2010,1306.9325,2607650,,,,
Oro,2011,53220.34,84.118,,,,
Plata,2011,58422.04,4150.347,,,,
Plomo,2011,5402.521,182202,,,,
Cobre,2011,43614.94,402430,,,,
Zinc,2011,12150.974,447948,,,,
Manganeso,2011,518.5258,170935,,,,
Gráfito,2011,17.891745,7348,,,,
