Mineral,País,Producción Minera,% de producción mundial,Reservas (toneladas),% de reservas mundiales,,,,,,,,
Barita,Estados Unidos,W*,-,—,-,,,,,,,,
Barita,China,2000000,0.247524752475248,No disponible,-,,,,,,,,
Barita,Marruecos,1000000,0.123762376237624,No disponible,-,,,,,,,,
Barita,México,320000,0.0396039603960396,No disponible,-,,,,,,,,
Barita,Otros países,314000,0.0388613861386139,No disponible,-,,,,,,,,
Barita,Pakistán,130000,0.0160891089108911,No disponible,-,,,,,,,,
Barita,India,2600000,0.321782178217822,110000000,0.280612244897959,,,,,,,,
Barita,Kazajstán,650000,0.0804455445544554,100000000,0.255102040816327,,,,,,,,
Barita,Laos,300000,0.0371287128712871,85000000,0.216836734693878,,,,,,,,
Barita,Irán,300000,0.0371287128712871,51000000,0.130102040816327,,,,,,,,
Barita,Turquía,216000,0.0267326732673267,34000000,0.086734693877551,,,,,,,,
Barita,Rusia,250000,0.0309405940594059,12000000,0.0306122448979592,,,,,,,,
Cobre,Alemania,—,-,—,-,,,,,,,,
Cobre,Japón,—,-,—,-,,,,,,,,
Cobre,"Corea, República de",699000,0.0300554671711743,—,-,,,,,,,,
Cobre,México,699000,0.0300554671711743,—,-,,,,,,,,
Cobre,Australia,778000,0.0334522939330094,100000000,0.113960113960114,,,,,,,,
Cobre,Chile,5250000,0.225738487337146,190000000,0.216524216524217,,,,,,,,
Cobre,Otros países,3020000,0.129853377477749,180000000,0.205128205128205,,,,,,,,
Cobre,Congo (Kinshasa),2930000,0.125983574837683,80000000,0.0911680911680912,,,,,,,,
Cobre,Rusia,890000,0.0382680483295352,80000000,0.0911680911680912,,,,,,,,
Cobre,Perú,2760000,0.118673947628671,53000000,0.0603988603988604,,,,,,,,
Cobre,Estados Unidos,1130000,0.0485875220363761,47000000,0.0535612535612536,,,,,,,,
Cobre,China,1820000,0.0782560089435439,41000000,0.0467236467236467,,,,,,,,
Cobre,Polonia,395000,0.0169841338091757,34000000,0.0387464387464387,,,,,,,,
Cobre,Indonesia,907000,0.0389990110504364,21000000,0.0239316239316239,,,,,,,,
Cobre,Zambia,712000,0.0306144386636282,21000000,0.0239316239316239,,,,,,,,
Cobre,Kazajstán,740000,0.0318183772627596,20000000,0.0227920227920228,,,,,,,,
Cobre,Canadá,500000,0.0214989035559186,8300000,0.00945868945868946,,,,,,,,
Cobre,India,27000,0.00116094079201961,2200000,0.00250712250712251,,,,,,,,
Fluorita,Estados Unidos,No disponible,-,No disponible,-,,,,,,,,
Fluorita,China,6000000,0.629590766002099,No disponible,-,,,,,,,,
Fluorita,Alemania,100000,0.0104931794333683,No disponible,-,,,,,,,,
Fluorita,Pakistán,55000,0.00577124868835257,No disponible,-,,,,,,,,
