PRODUCTOS,2020,2021,2022,2023,2024 p/
TOTAL GENERAL,19027128627,24483414090,23813996321,23283448561,25583527052
METALES PRECIOSOS,8021955797,9205013648,7731420051,8517860121,9471573163
Oro,4877213478,5195244566,4291890953,4976611770,5663936796
Plata,2748782806,3397550244,3028004928,3386357646,3677149760
Otros (Preciosos),395959513,612218838,411524170,154890705,130486607
METALES INDUSTRIALES,9822708002,13801809138,14504414402,13307399628,14757216625
Cobre,4603707301,6464092292,6370769406,6243331592,6627529041
Plomo,1830510235,2402559045,2226201381,1644253793,2709896075
Zinc,1163810614,1817219341,1885249487,1593376401,2108026155
Aluminio,555054493,1031474970,1427934054,1136910592,1225603745
Fierro,1135976992,1296355909,1711186267,1532800683,1073897004
Molibdeno,351767216,548742551,603882000,863045022,701540303
Magnesio,25345613,50942497,64564196,66945652,74992829
Estaño,22579390,45789540,46221214,56738662,65300290
Niquel,28239620,29570351,48608345,63072723,54022083
Otros (Industriales),105716528,115062642,119798052,106924508,116409100
MINERALES NO METÁLICOS,1182464828,1476591304,1578161868,1458188812,1354737264
Fluorita,212896615,213898992,169066069,221381215,210026421
Abrasivos Naturales,155521080,178214980,192773031,206453143,204653972
Cemento,188237761,183056223,253587433,253251242,191093071
Sal,118153456,159645770,163995818,158434019,137185622
Rocas Dimensionables,61304713,66338835,82149999,111476077,119325954
Carbón,63000215,56826185,70801293,82152656,79038363
Grafito,175805288,263755541,304769253,72197675,55126299
Piedras preciosas o semi.,30650473,48185513,50969084,57192301,47181402
Agregados,64069702,68024981,40720027,38241545,45458167
Barita,29054404,35284642,39366061,48232234,44788026
Vermiculita,22413123,30075960,40362496,47193200,41677169
Yeso,28403873,34766822,35281767,37113353,41265802
Caliza,14517842,15163958,20320493,25295259,37361754
Sílice,17750279,19596249,20240431,21323937,25095264
Otros (No Metálicos),686004,103756653,93758613,78250956,75459978
