PRODUCTOS,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 p/,,,,,,,,,,,,
TOTAL GENERAL,14629789749,15729780841,16649804962,18124998998,17819802166,19027128627,24366044320,23703352239,23164718693,25449011593,,,,,,,,,,,,
METALES PRECIOSOS,6791489261,7409244629,7096898566,6829383348,7309871544,8021955797,9205013648,7731420051,8517860121,9471573163,,,,,,,,,,,,
Oro,4321352119,4888529589,4442267239,4316479675,4625541890,4877213478,5195244566,4291890953,4976611770,5663936796,,,,,,,,,,,,
Plata,2361901215,2407434356,2529681477,2330801003,2465010424,2748782806,3397550244,3028004928,3386357646,3677149760,,,,,,,,,,,,
Otros (Preciosos),108235927,113280684,124949850,182102670,219319230,395959513,612218838,411524170,154890705,130486607,,,,,,,,,,,,
METALES INDUSTRIALES,6698606789,7198668845,8417963723,10001663122,9185082582,9822708003,13801809138,14504414402,13307399628,14757216625,,,,,,,,,,,,
Cobre,2520673000,2820726054,3556847581,4246599469,4361832119,4603707301,6464092292,6370769406,6243331592,6627529041,,Cobre,4603707301,6464092292,6370769406,6243331592,6627529041,,,,,
Zinc,1083105010,1145731742,1599812846,1779594423,1392037787,1163810614,1817219341,1885249487,1593376401,2108026155,,Zinc,1163810614,1817219341,1885249487,1593376401,2108026155,,,,,
Plomo,1599926957,1195422527,1513082898,1247394075,1023171267,1830510236,2402559045,2226201381,1644253793,2709896075,,Plomo,1830510235,2402559045,2226201381,1644253793,2709896075,,,,,
Fierro,626012619,524645514,821825725,1507653031,1218457240,1135976992,1296355909,1711186267,1532800683,1073897004,,Fierro,1135976992,1296355909,1711186267,1532800683,1073897004,,,,,
Aluminio,428015661,1207706368,518857032,623814541,562026443,555054493,1031474970,1427934054,1136910592,1225603745,,Aluminio,555054493,1031474970,1427934054,1136910592,1225603745,,,,,
Magnesio,39929394,33577215,43281228,49870122,31886082,25345613,50942497,64564196,66945652,74992829,,Magnesio,25345613,50942497,64564196,66945652,74992829,,,,,
Níquel,14657444,18530610,22619071,30696983,38448012,28239620,29570351,48608345,63072723,54022083,,Níquel,28239620,29570351,48608345,63072723,54022083,,,,,
Estaño,16533193,14728452,16189791,20588288,23145647,22579390,45789540,46221214,56738662,65300290,,Estaño,22579390,45789540,46221214,56738662,65300290,,,,,
Otros (Industriales),369753511,237600363,325447551,495452190,534077985,457483744,663805193,723680052,969969530,817949403,,Otros (Industriales),-2146826265,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
MINERALES NO METÁLICOS,1139693699,1123867367,1134942673,1293952528,1324848040,1182464828,1359221534,1467517786,1339458944,1220221805,,,,,,,,,,,,
Abrasivos Naturales,163530680,173578949,169360144,182149331,191818724,155521080,178214980,192773031,206453143,204653972,,,,,,,,,,,,
Fluorita,128561750,116850436,131139020,188546003,236992898,212896616,213898992,169066069,221381215,210026421,,,,,,,,,,,,
Grafito,109671187,134176835,131962024,162673603,190900422,175805288,263755541,304769253,72197675,55126299,,,,,,,,,,,,
Cemento,93760533,101915011,126116845,183833303,180466985,188237761,183056223,253587433,253251242,191093071,,,,,,,,,,,,
Sal,154740833,143962699,114999677,118287715,137905261,118153456,159645770,163995818,158434019,137185622,,,,,,,,,,,,
Rocas Dimensionables,106632408,103557432,87210694,71655812,66827407,61304713,66338835,82149999,111476077,119325954,,,,,,,,,,,,
Piedras Preciosas (No Met),82954881,75733936,50889881,42687453,39803221,30650473,48185513,50969084,57192301,47181402,,,,,,,,,,,,
Barita,27846483,15831848,39073702,42178106,46842085,29054404,35284642,39366061,48232234,44788026,,,,,,,,,,,,
Otros (No Metálicos),271994944,258260221,285190686,301941202,233291037,210841038,210841038,210841038,210841038,210841038,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Otros (Preciosos) puede incluir: Paladio y Platino,,,,,,,,,,,,,,,,,,,,
,,"Otros (Industriales) pueden incluir: Titanio, Molibdeno, Antimonio, Arsénico, Berilio, Bismuto, Cadmio, Cobalto, Cromo, Iridio, Litio, Mercurio, Metales de las Tierras Raras, Rodio, Selenio.",,,,,,,,,,,,,,,,,,,,
,,"Otros (No Metálicos) pueden incluir: Silice, Agregados petreos, Sal, Asbesto, Asfalto Natural, Bentonita, Boratos, Calcita (Carbonato de Calcio), Celestita, Diatomita, Dolomita, Feldespato, Magnesita, Mica, Potasio, Sienita de Nefelina, Tierras Fuller, Zircón.",,,,,,,,,,,,,,,,,,,,
