PRODUCTOS,2020,2021,2022,2023,2024 p/
TOTAL GENERAL,8878674992,13804222436,16338066761,19984100660,19089592415
METALES PRECIOSOS,234785878,200351419,189817727,382945999,423439024
Plata,100726990,163921424,152034410,182209804,201921493
Oro,113521914,766895,4090362,158280864,169287094
Otros (Preciosos),20536974,35663100,33692955,42455331,52230437
METALES INDUSTRIALES,6955998640,11047000936,12521167798,16443474220,15697585388
Fierro,1919724977,2671233703,3113760623,7311606087,6224784031
Aluminio,2061898974,3741389687,5296605374,4214256777,4200780090
Cobre,2182064674,3067417777,2110665028,3014433533,3469678375
Níquel,214681720,234796517,356092009,418710793,394611906
Titanio,14908937,171359519,227524049,203984738,293179874
Zinc,145644607,289819669,475482245,389041950,282572673
Estaño,109417542,197195239,183560435,164107434,188694800
Plomo,68845193,140755174,105010437,118405505,156929275
Magnesio,27226971,96536344,180197865,112530380,104197664
Sílice,49386015,77689139,90739450,96245255,74502866
Tungsteno,27043436,40411396,48907721,54138709,62790065
Tantalio,71355357,89466630,84585708,42723035,59172704
Manganeso,21906386,48639847,74921696,166628204,40461384
Vanadio,6655531,41698290,12106747,41604971,33259509
Otros (Industriales),35238320,138592005,161008411,95056849,111970172
MINERALES NO METÁLICOS,1687890474,2556870081,3627081236,3157680441,2968568003
Carbón,70514348,178002553,662511497,845992787,769407352
Sodio,400375274,401875490,449051117,463039514,391581003
Fosforita,161723740,149970375,288666826,297896164,303878823
Coques,247236179,607040019,710347549,288917178,224713596
Abrasivos Naturales,139815573,175764567,181060793,174157191,185156355
Rocas Dimensionables,118546345,148775210,179903280,184621438,168942661
Piedras preciosas o semi.,88871534,140351345,159107596,144983145,119667004
Vermiculita,45465340,67048290,83050942,96489479,111915356
Caolín,83452219,97237066,110152302,93649241,107962339
Azufre,60848468,159487148,251005621,75386497,106777961
Cemento,19543868,29461923,51761960,89882273,92112168
Grafito,77705903,158316889,210052196,85211024,67889215
Talco,27757567,40714981,47046479,47032201,47807732
Arcillas,32055091,29149313,25858110,41063366,33874374
Agregados,4632588,5113569,4285389,31940129,33551381
Sal,17066063,21941293,20664723,29530781,29332146
Otros (No Metálicos),92280374,146620050,192554856,167888033,173998537
