PRODUCTOS,2015,2016,2017,2018,2019,PRODUCTOS2,2020,2021,2022,2023,2024 p/,,,,,,,
TOTAL GENERAL,8128621324,8000176484,9435790906,12385976820,11058884731,TOTAL GENERAL,8878674992,13804222436,16338066761,19984100660,19089592415,,,,,,,
METALES PRECIOSOS,338957985,275327990,242408162,300050076,267586293,METALES PRECIOSOS,234785878,200351419,189817727,382945999,423439024,,,,,,,
Oro,197621101,159706914,113957608,146535305,127035358,Plata,100726990,163921424,152034410,182209804,201921493,,,,,,,
Plata,85257393,73645801,82175336,97072770,95522715,Oro,113521914,766895,4090362,158280864,169287094,,,6906612625,10969311797,12430428348,16347228965,15623082522
Platino,56079491,41975275,46275218,56442001,45028220,Otros (Preciosos),20536974,35663100,33692955,42455331,52230437,,,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
METALES INDUSTRIALES,5440125294,5394535883,6181589465,8799643380,7943049494,METALES INDUSTRIALES,6906612625,10969311797,12430428348,16347228965,15623082522,,,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
Aluminio,2603913249,2331459037,2598843057,3233403631,2743389801,Aluminio,2061898974,3741389687,5296605374,4214256777,4200780090,,Aluminio,2061898974,3741389687,5296605374,4214256777,4200780090
Fierro,1087688693,1308550152,1329624426,2515118545,2185246970,Fierro,1919724977,2671233703,3113760623,7311606087,6224784031,,Fierro,1919724977,2671233703,3113760623,7311606087,6224784031
Cobre,841576602,858318241,1106278305,1665721500,1923769481,Cobre,2182064674,3067417777,2110665028,3014433533,3469678375,,Cobre,2182064674,3067417777,2110665028,3014433533,3469678375
Zinc,117829808,165213290,219066057,309910295,265751294,Zinc,145644607,289819669,475482245,389041950,282572673,,Zinc,145644607,289819669,475482245,389041950,282572673
Níquel,159287242,158967283,184434466,225380897,290563946,Níquel,214681720,234796517,356092009,418710793,394611906,,Níquel,214681720,234796517,356092009,418710793,394611906
Titanio,75682515,112994324,139967014,168193837,9889756,Titanio,14908937,171359519,227524049,203984738,293179874,,Titanio,14908937,171359519,227524049,203984738,293179874
Estaño,107120866,112447917,135013400,140296117,134426677,Estaño,109417542,197195239,183560435,164107434,188694800,,Estaño,109417542,197195239,183560435,164107434,188694800
Magnesio,86106907,67082758,78397645,91824446,31188816,Magnesio,27226971,96536344,180197865,112530380,104197664,,Magnesio,27226971,96536344,180197865,112530380,104197664
Tungsteno,29369121,27651717,35100808,36932116,34792572,Tungsteno,27043436,40411396,48907721,54138709,62790065,,Tungsteno,27043436,40411396,48907721,54138709,62790065
Otros (Industriales),331550291,251851164,354864287,412861996,324030181,Otros (Industriales),204000787,459151946,437632999,464418564,401793044,,Otros (Industriales),-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
MINERALES NO METÁLICOS,2349538045,2330312611,3011793279,3286283364,2848248944,MINERALES NO METÁLICOS,1737276489,2634559220,3717820686,3253925696,3043070869,,,,,,,
Carbón,797379051,826611065,1400614300,1516283165,1184724760,Carbón,70514348,178002553,662511497,845992787,769407352,,Carbón,70514348,178002553,662511497,845992787,769407352
Abrasivos Naturales,155772501,167874358,179008281,182194496,170642891,Abrasivos Naturales,139815573,175764567,181060793,174157191,185156355,,Abrasivos Naturales,139815573,175764567,181060793,174157191,185156355
Rocas Dimensionables,161857308,159607136,156924679,176916645,147800621,Rocas Dimensionables,118546345,148775210,179903280,184621438,168942661,,Rocas Dimensionables,118546345,148775210,179903280,184621438,168942661
Piedras Preciosas (No Met),166415323,154231019,136076720,131731654,124286747,Piedras Preciosas (No Met),88871534,140351345,159107596,144983145,119667004,,Piedras Preciosas (No Met),88871534,140351345,159107596,144983145,119667004
Fosforita,114403780,77995515,120642612,143358207,142973150,Fosforita,161723740,149970375,288666826,297896164,303878823,,Fosforita,161723740,149970375,288666826,297896164,303878823
Sílice,73414132,69119350,99737702,87544017,83138045,Sílice,49386015,77689139,90739450,96245255,74502866,,Sílice,49386015,77689139,90739450,96245255,74502866
Caolín,75770308,80518890,81652716,88502426,88361393,Caolín,83452219,97237066,110152302,93649241,107962339,,Caolín,83452219,97237066,110152302,93649241,107962339
Arcillas,43409408,43805381,40564581,40730704,33532600,Arcillas,32055091,29149313,25858110,41063366,33874374,,Arcillas,32055091,29149313,25858110,41063366,33874374
Otras (No Metálicos),761116234,750549897,796571688,919022050,872788737,Otras (No Metálicos),992911624,1637619652,2019820832,1375317109,1279679095,,Otras (No Metálicos),-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
,,,,,,,,,,,,,,-2146826265,-2146826265,-2146826265,-2146826265,-2146826265
