Mineral,Año_corte,Tipo_de_estructura,Detalle
Cobre,1990,Transición monopolio estatal → privado,Privatización de Cananea (1990) a Grupo México por 175 millones de dólares; integración con La Caridad en curso
Cobre,2000,Cuasi-monopolio consolidado,Grupo México: ≈87.5% de la producción nacional; entre los 3 mayores productores de cobre del mundo
Cobre,2010,Cuasi-monopolio internacionalizado,Grupo México ya integrado con ASARCO (2004) y Southern Peru Copper Corp.; dominio nacional sostenido
Cobre,2020,Cuasi-monopolio estable,Grupo México ≈85% (estimación 2018); Minera Frisco y Capstone Copper como actores secundarios
Plata,1990,Oligopolio estatal-privado mixto,"Peñoles integraba plata, oro y metales base en un solo corporativo (pre-escisión)"
Plata,2000,Oligopolio liderado por Peñoles,Peñoles como mayor refinador mundial de plata afinada; sin escisión de Fresnillo aún
Plata,2010,"Oligopolio moderado, post-escisión",Fresnillo plc cotizando en Londres desde 2008; Peñoles mantiene ≈75-77% de Fresnillo plc
Plata,2020,Oligopolio de 5 grandes,"Fresnillo plc ≈29.4% extracción; Peñoles ≈89% refinación; Newmont, Grupo México, First Majestic"
Oro,1990,"Mercado pequeño, dominado por Peñoles",Producción de oro integrada en Peñoles; escasa presencia extranjera
Oro,2000,Inicio de entrada junior canadiense,TLCAN (1994) y reforma de inversión extranjera (1996) abren la puerta a nuevos entrantes
Oro,2010,Oligopolio en expansión,"Goldcorp desarrolla Peñasquito (operativo desde 2010); Fresnillo plc, Torex Gold en expansión"
Oro,2020,Oligopolio de 5 grandes (42-45%),"Fresnillo plc, Newmont (post-Goldcorp, 2019), Torex Gold, Agnico Eagle, Alamos Gold"
Zinc,1990,Oligopolio estatal-privado mixto,Producción ligada a yacimientos polimetálicos de Peñoles y Grupo México
Zinc,2000,Oligopolio liderado por Peñoles,"Peñoles como principal refinador (≈69% del zinc afinado, cifra estable desde entonces)"
Zinc,2010,Oligopolio de 4 grandes (≈77%),"Peñoles, Goldcorp, Grupo México, Fresnillo plc concentran ≈77% de extracción (medición 2017)"
Zinc,2020,Oligopolio con liderazgo rotando,Peñoles aún líder hasta 2018-19; hacia 2024 Newmont lidera con 33.4%
Plomo,1990,"Monopolio de refinación, oligopolio extracción",Peñoles ya refina prácticamente la totalidad del plomo afinado nacional
Plomo,2000,Sin cambios estructurales relevantes,Peñoles 100% refinación; Grupo México y Frisco en extracción
Plomo,2010,Sin cambios estructurales relevantes,Mismo patrón; mina Naica de Peñoles como mayor productora individual
Plomo,2020,Sin cambios estructurales relevantes,Peñoles 100% refinación; oligopolio estable en extracción
Manganeso,1990,Empresa estatal con participación extranjera,Minera Autlán con participación de capital japonés (Sumitomo Shoji Kaisha) antes de su privatización
Manganeso,2000,Monopolio privado consolidado,"Autlán, privatizada en 1993 (82.7% adquirido por Grupo Ferrominero), única productora nacional"
Manganeso,2010,"Monopolio privado, integración vertical","Autlán integrada a ferroaleaciones (Teziutlán, Tamós, Gómez Palacio); regreso a bolsa"
Manganeso,2020,Monopolio privado estable,"Autlán sigue siendo el único productor mexicano de manganeso, 1.1% de la producción mundial"
Fluorita,1990,"Monopolio privado (Mexichem, predecesoras)",Mina Las Cuevas (SLP) operando desde 1955; concesiones desde 1978
Fluorita,2000,Monopolio privado estable,Mexichem como operador consolidado; ≈90%+ de la producción nacional desde San Luis Potosí
Fluorita,2010,Monopolio privado estable,México consolidado como segundo productor mundial tras China
Fluorita,2020,"Monopolio privado, cambio de marca",Transición de Mexichem a Orbia/Koura (2019-20); 91-98% nacional según el año
Barita,1990,Oligopolio reducido,Producción ligada a la demanda de PEMEX; estructura de pocos productores ya presente
Barita,2000,Oligopolio de 4 empresas (aprox.),Nuevo León y Coahuila como principales estados productores
Barita,2010,Oligopolio de 4 empresas,"Secretaría de Economía documenta explícitamente ""4 empresas productoras"" (2012)"
Barita,2020,"Oligopolio de 4 empresas, geografía variable",Nuevo León domina con 89% (2019); Coahuila y Sonora con participación variable
Grafito,1990,Mercado pequeño y fragmentado,Producción artesanal/pequeña escala en Sonora; Oaxaca con actividad limitada
Grafito,2000,Mercado pequeño y fragmentado,Sin cambios estructurales relevantes; exportación a EE.UU. ya dominante
Grafito,2010,Mercado pequeño y fragmentado,Sonora consolidada como único estado productor activo (Oaxaca inactiva)
Grafito,2020,Mercado pequeño y fragmentado,100% Sonora; sin productor dominante; interés creciente por baterías EV
Sílice,1990,Mercado fragmentado,Múltiples pequeños productores regionales; sin consolidación documentada
Sílice,2000,Mercado fragmentado,Crecimiento ligado a industria del vidrio; estructura atomizada
Sílice,2010,Mercado fragmentado,"Mina San Emilio (Jalisco) consolidada como yacimiento de referencia, sin dominar el mercado"
Sílice,2020,Mercado fragmentado,Decenas de proveedores medianos/pequeños; actores globales con penetración menor en México
