Empresa,Origen,Grupo_controlador,Minerales_en_los_que_aparece,Hito_principal,Nota
Grupo México,México,Familia Larrea,"Cobre, Plata (subproducto), Zinc, Molibdeno",Adquisición de Cananea (1990) y de ASARCO (2004),Mayor grupo minero mexicano por valor de mercado; integración vertical completa en cobre
Industrias Peñoles,México,Grupo BAL (familia Baillères),"Plata (refinación), Zinc (refinación), Plomo (refinación y extracción), Oro (refinación)",Escisión de Fresnillo plc (2008),"Opera Met-Mex Peñoles, el mayor complejo metalúrgico no ferroso de América Latina"
Fresnillo plc,México / Reino Unido,"Grupo BAL (vía Peñoles, ≈75%)","Plata (extracción), Oro (extracción)","Salida a bolsa de Londres (2008), primera empresa mexicana en el FTSE100",Principal productor individual de plata en extracción
Newmont,Estados Unidos,N/A (empresa pública),"Oro, Plata, Zinc, Plomo (vía Peñasquito)",Adquisición de Goldcorp (2019),Mayor productora de oro del mundo; opera Peñasquito en Zacatecas
Minera Frisco,México,Grupo Carso (Carlos Slim),"Cobre, Plomo, Zinc, Plata, Oro",Parte del proceso de privatización de 1988-1993,Productor diversificado de menor escala que Grupo México y Peñoles
Torex Gold Resources,Canadá,N/A (empresa pública),Oro,Desarrollo de El Limón-Guajes (Guerrero),Mayor productor individual de oro en 2023
Alamos Gold,Canadá,N/A (empresa pública),Oro,Desarrollo de Mulatos y La Yaqui Grande (Sonora),Empresa junior consolidada
Equinox Gold,Canadá,N/A (empresa pública),Oro,Adquisición de Leagold Mining y su mina Los Filos (2020),Operación en Guerrero
First Majestic Silver,Canadá,N/A (empresa pública),"Plata, Oro (subproducto)",Especialización en plata desde su fundación,Entre los 5-6 mayores productores de plata de México
Agnico Eagle Mines,Canadá,N/A (empresa pública),Oro,"Operación de Pinos Altos y La India (Chihuahua, Sonora)",Productor mediano consolidado desde 2010s
Compañía Minera Autlán,México,Grupo Ferrominero / Autlán Holding,Manganeso,"Privatización (1993), adquisición de 82.7% por Grupo Ferrominero",Único productor de manganeso en México y de nódulos de manganeso en el mundo
Orbia Advance Corporation / Koura,México,"N/A (empresa pública, ex Mexichem)",Fluorita,Cambio de marca corporativa Mexichem→Orbia (2019-20),"Opera la mina Las Cuevas, la mayor mina de fluorita del mundo"
Capstone Copper,Canadá,N/A (empresa pública),Cobre,"Proyecto Cozamín, entre otros",Segundo o tercer mayor productor de cobre en México (años recientes)
Goldcorp (absorbida por Newmont en 2019),Canadá,Absorbida por Newmont,"Oro, Plata, Zinc, Plomo",Desarrolló Peñasquito tras comprar Glamis Gold (2006),Ya no existe como entidad independiente desde 2019
