Mineral,Producto_especifico,Tipo_de_flujo,País,Año,Valor_USD_millones,Posición_en_ranking,Nota,Fuente,URL
Cobre,Minerales de cobre y concentrados,Exportación,China,2024,2315,1,Principal destino,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Exportación,Japón,2024,532,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Exportación,Filipinas,2024,129,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Exportación,Alemania,2024,78.3,4,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Exportación,Taiwán,2024,73,5,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Importación a México,Estados Unidos,2024,1186,1,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Cobre,Minerales de cobre y concentrados,Intercambio total,Total mundial,2024,6203,,Importaciones + exportaciones de México,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/copper-ores-and-concentrates
Plata,Minerales de plata y concentrados,Exportación,China,2024,87,1,Mineral sin refinar,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-ores-and-concentrates
Plata,Minerales de plata y concentrados,Exportación,Canadá,2024,28.2,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-ores-and-concentrates
Plata,Minerales de plata y concentrados,Exportación,Alemania,2024,10.3,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-ores-and-concentrates
Plata,"Plata en bruto, semilabrada o en polvo",Exportación,Estados Unidos,2024,2587,1,Metal ya refinado,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-including-silver-gold-platinum-to-gross-semi-manufactured-or-powder?redirect=true
Plata,"Plata en bruto, semilabrada o en polvo",Exportación,Japón,2024,374,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-including-silver-gold-platinum-to-gross-semi-manufactured-or-powder?redirect=true
Plata,"Plata en bruto, semilabrada o en polvo",Exportación,Brasil,2024,33,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-including-silver-gold-platinum-to-gross-semi-manufactured-or-powder?redirect=true
Plata,"Plata en bruto, semilabrada o en polvo",Intercambio total,Total mundial,2024,3142,,"México 2º exportador mundial de este producto en 2022 (2,584 mdd)",DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/silver-including-silver-gold-platinum-to-gross-semi-manufactured-or-powder?redirect=true
Zinc,Minerales de cinc y concentrados,Exportación,Corea del Sur,2024,382,1,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Minerales de cinc y concentrados,Exportación,España,2024,220,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Minerales de cinc y concentrados,Exportación,Bélgica,2024,119,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Minerales de cinc y concentrados,Exportación,China,2024,85.3,4,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Minerales de cinc y concentrados,Exportación,Canadá,2024,52.9,5,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Minerales de cinc y concentrados,Intercambio total,Total mundial,2024,1292,,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/zinc-ores-and-concentrates-5260800
Zinc,Zinc refinado (Torreón),Exportación,Estados Unidos,2024,,1,Mayor parte de la producción de la planta de Torreón; resto a Europa,Mining México / Peñoles,https://miningmexico.com/industrias-penoles-estima-produccion-de-270000-toneladas-de-zinc-en-2024/
Oro,Minerales de metales preciosos y concentrados,Exportación,China,2024,153,1,Categoría agregada de metales preciosos,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/minerals-of-precious-metals-and-their-concentrates?redirect=true
Oro,Minerales de metales preciosos y concentrados,Exportación,Corea del Sur,2024,110,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/minerals-of-precious-metals-and-their-concentrates?redirect=true
Oro,Minerales de metales preciosos y concentrados,Exportación,Alemania,2024,108,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/minerals-of-precious-metals-and-their-concentrates?redirect=true
