Organismo_o_autor,Tipo_de_fuente,Documento,Año,URL
Cámara Minera de México (CAMIMEX),Cámara empresarial,Compendio Estadístico de la Industria Minero-Metalúrgica,2024,https://camimex.org.mx/compendio/index.php
Cámara Minera de México (CAMIMEX),Cámara empresarial,Informe Anual,2020,https://camimex.org.mx/application/files/4416/0204/8995/02_info_2020.pdf
CIDE / CAMIMEX,Estudio académico-empresarial,Relevancia del sector minero mexicano en el desarrollo económico nacional,2025,https://camimex.org.mx/application/files/4817/5831/4901/Estudio_CIDE.pdf
Servicio Geológico Mexicano (SGM),Organismo público,"Anuario Estadístico de la Minería Mexicana, ed. 2024 (datos 2023)",2024,https://www.sgm.gob.mx/productos/pdf/Anuario_2023_Edicion_2024.pdf
Servicio Geológico Mexicano (SGM),Organismo público,"Anuario Estadístico de la Minería Mexicana, ed. 2025 (datos 2024)",2025,https://www.sgm.gob.mx/productos/pdf/Anuario_2024_Edicion_2025.pdf
Secretaría de Economía,Organismo público,Perfil de Mercado de la Barita,2021,https://www.gob.mx/cms/uploads/attachment/file/692301/1._Perfil_Barita_2021__T_.pdf
Secretaría de Economía,Organismo público,Perfil de Mercado de la Fluorita,2020,https://www.gob.mx/cms/uploads/attachment/file/624810/9Perfil_Fluorita_2020__T_.pdf
Secretaría de Economía,Organismo público,Perfil de Mercado del Grafito,2021,https://www.gob.mx/cms/uploads/attachment/file/624814/12Perfil_Grafito_2020__T_.pdf
Secretaría de Economía,Organismo público,Perfil de Mercado del Sílice,2021,https://www.gob.mx/cms/uploads/attachment/file/692292/18._Perfil_S_lice_2021__T_.pdf
Secretaría de Economía,Organismo público,Reforma integral a la actividad minera,2024,https://www.gob.mx/se/prensa/reforma-integral-a-la-actividad-minera
Secretaría de Economía / DataMéxico,Plataforma de datos públicos,Perfiles de comercio exterior por producto,2025,https://www.economia.gob.mx/datamexico/
Foro Intergubernamental sobre Minería (IGF),Organismo internacional,Minerales críticos: datos básicos,2022,https://www.igfmining.org/wp-content/uploads/2022/11/critical-minerals-primer-es-WEB.pdf
"De la Garza Pedraza, E. M. et al.",Académico (Problemas del Desarrollo / Scielo),La política de concesiones a los grupos mineros de México,2021,https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362021000300035
"Sariego, J. L.",Académico (libro),El Estado y la minería mexicana,2009,"N/A (libro impreso, CIESAS/FCE)"
Instituto Geológico y Minero de España (IGME),Organismo público extranjero,Panorama Minero 1994-95: Manganeso,1996,https://web.igme.es/PanoramaMinero/Historico/1994_95/MANGANES.pdf
Industrias Peñoles,Reporte corporativo,Unidades Mineras / Nuestra Historia,2025,https://www.penoles.com.mx/nuestras-operaciones/unidades-mineras/
Autlán,Reporte corporativo,Historia / Unidad Molango,2025,https://www.autlan.com.mx/perfil/historia/
Minería en Línea,Prensa especializada,El limbo judicial de las concesiones mineras tras la reforma de 2023,2026,https://mineriaenlinea.com/2026/05/mexico-el-limbo-judicial-de-las-concesiones-mineras-tras-la-reforma-de-2023/
DLA Piper,Despacho legal,México reforma la Ley Minera y otras leyes relacionadas,2023,https://www.dlapiper.com/es-es/insights/publications/2023/04/mexico-is-amending-its-mining-law-and-related-laws
Jones Day,Despacho legal,Mining Reform in Mexico: Amendments and Impact,2023,https://www.jonesday.com/es/insights/2023/06/mining-reform-in-mexico-amendments-and-impact
La Jornada,Prensa,México es clave en 10 minerales críticos para EU,2026,https://www.jornada.com.mx/noticia/2026/02/16/economia/mexico-es-clave-en-10-minerales-criticos-para-eu
Instituto Mexicano para la Competitividad (IMCO),Centro de investigación,Los minerales críticos en la revisión del T-MEC,2026,https://imco.org.mx/los-minerales-criticos-en-la-revision-del-t-mec/
Revista IMEF,Publicación especializada,"Minería: sí quiero oro, plata, cobre… y minerales críticos",2026,https://www.revista.imef.org.mx/articulo/mineria-si-quiero-oro-plata-cobre-y-minerales-criticos/
Expansión,Prensa,Estas son las 5 mineras que más extraen oro en México,2025,https://expansion.mx/empresas/2025/07/15/mineras-que-mas-extraen-oro-en-mexico
Outletminero,Prensa especializada,Las 15 principales minas de oro en México,2023,https://outletminero.org/las-15-principales-minas-de-oro-en-mexico/
Expert Market Research,Consultora de mercado,Mercado del Cobre en México,2024,https://www.expertmarketresearch.com/es/reports/mexico-copper-market
