Comisión Chilena del Cobre,,,,,,,,,,,,,,,,,
Dirección de Estudios y Políticas Públicas,,,,,,,,,,,,,,,,,
"PRECIO DEL COBRE REFINADO, NOMINAL 1960 - 2024",,,,,,,,,,,,,,,,,
(centavos de dólar por libra),,,,,,,,,,,,,,,,,
,NOMINAL,,,,,,,,,,,,,,,,
MES - AÑO,BML (cUS$/lb),COMEX (cUS$/lb),,,,,,,,,,,,,,,
1960-01-01,32.45,N.D.,,,,,,,,,,,,,,,
1960-02-01,33.031,N.D.,,,,,,,,,,,,,,,
1960-03-01,31.696,N.D.,,,,,,,,,,,,,,,
1960-04-01,32.803,N.D.,,,,,,,,,,,,,,,
1960-05-01,31.085,N.D.,,,,,,,,,,,,,,,
1960-06-01,31.37,N.D.,,,,,,,,,,,,,,,
1960-07-01,31.856,N.D.,,,,,,,,,,,,,,,
1960-08-01,30.662,N.D.,,,,,,,,,,,,,,,
1960-09-01,29.354,N.D.,,,,,,,,,,,,,,,
1960-10-01,27.795,N.D.,,,,,,,,,,,,,,,
1960-11-01,28.309,N.D.,,,,,,,,,,,,,,,
1960-12-01,28.889,N.D.,,,,,,,,,,,,,,,
1961-01-01,27.521,N.D.,,,,,,,,,,,,,,,
1961-02-01,27.97,N.D.,,,,,,,,,,,,,,,
1961-03-01,28.179,N.D.,,,,,,,,,,,,,,,
1961-04-01,28.661,N.D.,,,,,,,,,,,,,,,
1961-05-01,30.318,N.D.,,,,,,,,,,,,,,,
1961-06-01,29.577,N.D.,,,,,,,,,,,,,,,
1961-07-01,28.728,N.D.,,,,,,,,,,,,,,,
1961-08-01,28.872,N.D.,,,,,,,,,,,,,,,
1961-09-01,28.7,N.D.,,,,,,,,,,,,,,,
1961-10-01,28.595,N.D.,,,,,,,,,,,,,,,
1961-11-01,28.682,N.D.,,,,,,,,,,,,,,,
1961-12-01,28.76,N.D.,,,,,,,,,,,,,,,
1962-01-01,28.822,N.D.,,,,,,,,,,,,,,,
1962-02-01,29.395,N.D.,,,,,,,,,,,,,,,
1962-03-01,29.368,N.D.,,,,,,,,,,,,,,,
1962-04-01,29.304,N.D.,,,,,,,,,,,,,,,
1962-05-01,29.292,N.D.,,,,,,,,,,,,,,,
1962-06-01,29.281,N.D.,,,,,,,,,,,,,,,
1962-07-01,29.281,N.D.,,,,,,,,,,,,,,,
1962-08-01,29.281,N.D.,,,,,,,,,,,,,,,
1962-09-01,29.283,N.D.,,,,,,,,,,,,,,,
1962-10-01,29.297,N.D.,,,,,,,,,,,,,,,
1962-11-01,29.281,N.D.,,,,,,,,,,,,,,,
1962-12-01,29.286,N.D.,,,,,,,,,,,,,,,
1963-01-01,29.283,N.D.,,,,,,,,,,,,,,,
1963-02-01,29.284,N.D.,,,,,,,,,,,,,,,
1963-03-01,29.281,N.D.,,,,,,,,,,,,,,,
1963-04-01,29.289,N.D.,,,,,,,,,,,,,,,
1963-05-01,29.284,N.D.,,,,,,,,,,,,,,,
1963-06-01,29.288,N.D.,,,,,,,,,,,,,,,
1963-07-01,29.283,N.D.,,,,,,,,,,,,,,,
1963-08-01,29.281,N.D.,,,,,,,,,,,,,,,
1963-09-01,29.281,N.D.,,,,,,,,,,,,,,,
1963-10-01,29.281,N.D.,,,,,,,,,,,,,,,
1963-11-01,29.287,N.D.,,,,,,,,,,,,,,,
1963-12-01,29.488,N.D.,,,,,,,,,,,,,,,
1964-01-01,29.739,N.D.,,,,,,,,,,,,,,,
1964-02-01,31.472,N.D.,,,,,,,,,,,,,,,
1964-03-01,33.8,N.D.,,,,,,,,,,,,,,,
1964-04-01,39.082,N.D.,,,,,,,,,,,,,,,
1964-05-01,37.572,N.D.,,,,,,,,,,,,,,,
1964-06-01,36.674,N.D.,,,,,,,,,,,,,,,
1964-07-01,38.785,N.D.,,,,,,,,,,,,,,,
1964-08-01,45.331,N.D.,,,,,,,,,,,,,,,
1964-09-01,52.71,N.D.,,,,,,,,,,,,,,,
1964-10-01,61.613,N.D.,,,,,,,,,,,,,,,
1964-11-01,63.521,N.D.,,,,,,,,,,,,,,,
1964-12-01,57.574,N.D.,,,,,,,,,,,,,,,
1965-01-01,45.391,N.D.,,,,,,,,,,,,,,,
1965-02-01,53.516,N.D.,,,,,,,,,,,,,,,
1965-03-01,56.122,N.D.,,,,,,,,,,,,,,,
1965-04-01,61.156,N.D.,,,,,,,,,,,,,,,
1965-05-01,62.53,N.D.,,,,,,,,,,,,,,,
1965-06-01,59.369,N.D.,,,,,,,,,,,,,,,
1965-07-01,48.744,N.D.,,,,,,,,,,,,,,,
1965-08-01,54.887,N.D.,,,,,,,,,,,,,,,
1965-09-01,60.23,N.D.,,,,,,,,,,,,,,,
1965-10-01,63.589,N.D.,,,,,,,,,,,,,,,
1965-11-01,66.642,N.D.,,,,,,,,,,,,,,,
1965-12-01,68.841,N.D.,,,,,,,,,,,,,,,
1966-01-01,76.163,N.D.,,,,,,,,,,,,,,,
1966-02-01,85.025,N.D.,,,,,,,,,,,,,,,
1966-03-01,85.038,N.D.,,,,,,,,,,,,,,,
1966-04-01,86.52,N.D.,,,,,,,,,,,,,,,
1966-05-01,75.461,N.D.,,,,,,,,,,,,,,,
1966-06-01,76.92,N.D.,,,,,,,,,,,,,,,
1966-07-01,71.125,N.D.,,,,,,,,,,,,,,,
1966-08-01,54.216,N.D.,,,,,,,,,,,,,,,
1966-09-01,51.179,N.D.,,,,,,,,,,,,,,,
1966-10-01,57.851,N.D.,,,,,,,,,,,,,,,
1966-11-01,59.042,N.D.,,,,,,,,,,,,,,,
1966-12-01,55.034,N.D.,,,,,,,,,,,,,,,
1967-01-01,56.419,N.D.,,,,,,,,,,,,,,,
1967-02-01,55.356,N.D.,,,,,,,,,,,,,,,
1967-03-01,49.824,N.D.,,,,,,,,,,,,,,,
1967-04-01,45.125,N.D.,,,,,,,,,,,,,,,
1967-05-01,47,N.D.,,,,,,,,,,,,,,,
1967-06-01,46.054,N.D.,,,,,,,,,,,,,,,
1967-07-01,45.238,N.D.,,,,,,,,,,,,,,,
1967-08-01,47.384,N.D.,,,,,,,,,,,,,,,
1967-09-01,48.089,N.D.,,,,,,,,,,,,,,,
1967-10-01,51.637,N.D.,,,,,,,,,,,,,,,
1967-11-01,61.337,N.D.,,,,,,,,,,,,,,,
1967-12-01,60.06,N.D.,,,,,,,,,,,,,,,
1968-01-01,63.899,N.D.,,,,,,,,,,,,,,,
1968-02-01,78.008,N.D.,,,,,,,,,,,,,,,
1968-03-01,77.159,N.D.,,,,,,,,,,,,,,,
1968-04-01,56.933,N.D.,,,,,,,,,,,,,,,
1968-05-01,49.735,N.D.,,,,,,,,,,,,,,,
1968-06-01,51.561,N.D.,,,,,,,,,,,,,,,
1968-07-01,47.821,N.D.,,,,,,,,,,,,,,,
1968-08-01,47.917,N.D.,,,,,,,,,,,,,,,
1968-09-01,50.352,N.D.,,,,,,,,,,,,,,,
1968-10-01,48.974,N.D.,,,,,,,,,,,,,,,
1968-11-01,49.89,N.D.,,,,,,,,,,,,,,,
1968-12-01,53.746,N.D.,,,,,,,,,,,,,,,
1969-01-01,56.951,N.D.,,,,,,,,,,,,,,,
1969-02-01,58.299,N.D.,,,,,,,,,,,,,,,
1969-03-01,57.987,N.D.,,,,,,,,,,,,,,,
1969-04-01,62.963,N.D.,,,,,,,,,,,,,,,
1969-05-01,63.161,N.D.,,,,,,,,,,,,,,,
1969-06-01,67.265,N.D.,,,,,,,,,,,,,,,
1969-07-01,65.946,N.D.,,,,,,,,,,,,,,,
1969-08-01,72.875,N.D.,,,,,,,,,,,,,,,
1969-09-01,71.622,N.D.,,,,,,,,,,,,,,,
1969-10-01,70.514,N.D.,,,,,,,,,,,,,,,
1969-11-01,73.996,N.D.,,,,,,,,,,,,,,,
1969-12-01,77.102,N.D.,,,,,,,,,,,,,,,
1970-01-01,73.767,N.D.,,,,,,,,,,,,,,,
1970-02-01,75.172,N.D.,,,,,,,,,,,,,,,
1970-03-01,79.565,N.D.,,,,,,,,,,,,,,,
1970-04-01,78.997,N.D.,,,,,,,,,,,,,,,
1970-05-01,72.53,N.D.,,,,,,,,,,,,,,,
1970-06-01,66.117,N.D.,,,,,,,,,,,,,,,
1970-07-01,61.841,N.D.,,,,,,,,,,,,,,,
1970-08-01,57.29,N.D.,,,,,,,,,,,,,,,
