Comisión Chilena del Cobre,,,,
Dirección de Estudios y Políticas Públicas,,,,
PRECIO DEL ORO 1978 - 2024,,,,
(dólares por onza troy),,,,
Mes - Año,London Fix AM (US$/tr oz),,,
1978-01-01,173.2,,,
1978-02-01,178.3,,,
1978-03-01,183.7,,,
1978-04-01,175.3,,,
1978-05-01,176.2,,,
1978-06-01,183.8,,,
1978-07-01,188.6,,,
1978-08-01,206.4,,,
1978-09-01,212.1,,,
1978-10-01,227.4,,,
1978-11-01,206.6,,,
1978-12-01,207.9,,,
1979-01-01,227.1,,,
1979-02-01,245.6,,,
1979-03-01,242.2,,,
1979-04-01,239.2,,,
1979-05-01,257.7,,,
1979-06-01,279.2,,,
1979-07-01,294.9,,,
1979-08-01,300.8,,,
1979-09-01,354.8,,,
1979-10-01,391.3,,,
1979-11-01,391.8,,,
1979-12-01,459.4,,,
1980-01-01,674.9,,,
1980-02-01,665.6,,,
1980-03-01,553.9,,,
1980-04-01,517.1,,,
1980-05-01,514,,,
1980-06-01,600.8,,,
1980-07-01,645,,,
1980-08-01,626.8,,,
1980-09-01,673.8,,,
1980-10-01,661.7,,,
1980-11-01,623.7,,,
1980-12-01,595.8,,,
1981-01-01,557.6,,,
1981-02-01,500.3,,,
1981-03-01,499.2,,,
1981-04-01,496.2,,,
1981-05-01,480,,,
1981-06-01,460.6,,,
1981-07-01,409.3,,,
1981-08-01,410.2,,,
1981-09-01,443.8,,,
1981-10-01,437.7,,,
1981-11-01,413.4,,,
1981-12-01,410.1,,,
1982-01-01,384.1,,,
1982-02-01,374.3,,,
1982-03-01,330.3,,,
1982-04-01,350.3,,,
1982-05-01,334.2,,,
1982-06-01,315,,,
1982-07-01,338.4,,,
1982-08-01,363.8,,,
1982-09-01,437.7,,,
1982-10-01,422.5,,,
1982-11-01,415,,,
1982-12-01,444.5,,,
1983-01-01,481.6,,,
1983-02-01,492.3,,,
1983-03-01,420.2,,,
1983-04-01,433,,,
1983-05-01,437.7,,,
1983-06-01,413,,,
1983-07-01,422.7,,,
1983-08-01,416.2,,,
1983-09-01,412,,,
1983-10-01,393.9,,,
1983-11-01,381.3,,,
1983-12-01,388.2,,,
1984-01-01,370.8,,,
1984-02-01,386,,,
1984-03-01,394.5,,,
1984-04-01,381.4,,,
1984-05-01,377.2,,,
