Comisión Chilena del Cobre,,,
Dirección de Estudios y Políticas Públicas,,,
PRECIO DE LA PLATA 1978 - 2024,,,
(dólares por onza troy),,,
Mes - Año,Londox Fix (US$/tr oz),,
1978-01-01,4.95,,
1978-02-01,4.96,,
1978-03-01,5.25,,
1978-04-01,5.11,,
1978-05-01,5.14,,
1978-06-01,5.33,,
1978-07-01,5.35,,
1978-08-01,5.54,,
1978-09-01,5.6,,
1978-10-01,5.95,,
1978-11-01,5.87,,
1978-12-01,5.94,,
1979-01-01,6.21,,
1979-02-01,7.35,,
1979-03-01,7.42,,
1979-04-01,7.45,,
1979-05-01,8.39,,
1979-06-01,8.56,,
1979-07-01,9.16,,
1979-08-01,9.32,,
1979-09-01,13.75,,
1979-10-01,16.68,,
1979-11-01,16.62,,
1979-12-01,22.39,,
1980-01-01,40.01,,
1980-02-01,35.6,,
1980-03-01,24.74,,
1980-04-01,14.98,,
1980-05-01,12.66,,
1980-06-01,15.81,,
1980-07-01,16.32,,
1980-08-01,15.92,,
1980-09-01,19.89,,
1980-10-01,20.22,,
1980-11-01,18.63,,
1980-12-01,16.42,,
1981-01-01,14.74,,
1981-02-01,13.08,,
1981-03-01,12.32,,
1981-04-01,11.51,,
1981-05-01,10.86,,
1981-06-01,10,,
1981-07-01,8.59,,
1981-08-01,8.9,,
1981-09-01,10.04,,
1981-10-01,9.24,,
1981-11-01,8.53,,
1981-12-01,8.47,,
1982-01-01,7.98,,
1982-02-01,8.28,,
1982-03-01,7.24,,
1982-04-01,7.29,,
1982-05-01,6.67,,
1982-06-01,5.57,,
1982-07-01,6.44,,
1982-08-01,7.07,,
1982-09-01,8.74,,
1982-10-01,9.4,,
1982-11-01,9.78,,
1982-12-01,10.58,,
1983-01-01,12.42,,
1983-02-01,13.98,,
1983-03-01,10.65,,
1983-04-01,11.73,,
1983-05-01,12.96,,
1983-06-01,11.78,,
1983-07-01,12.05,,
1983-08-01,12.06,,
1983-09-01,11.96,,
1983-10-01,9.88,,
1983-11-01,8.81,,
1983-12-01,9.18,,
1984-01-01,8.2,,
1984-02-01,9.11,,
1984-03-01,9.65,,
1984-04-01,9.25,,
1984-05-01,8.95,,
1984-06-01,8.77,,
1984-07-01,7.45,,
1984-08-01,7.6,,
1984-09-01,7.24,,
1984-10-01,7.29,,
1984-11-01,7.49,,
1984-12-01,6.67,,
1985-01-01,6.09,,
