Comisión Chilena del Cobre,,,,,
Dirección de Estudios y Políticas Públicas,,,,,
PRECIO DEL PLOMO Settle 1989 - 2024,,,,,
(centavos de dólar por libra),,,,,
Mes - Año,BML (¢US$/lb),,,,
1989-01-01,30.7,,,,
1989-02-01,28.2,,,,
1989-03-01,26.7,,,,
1989-04-01,27.6,,,,
1989-05-01,29.2,,,,
1989-06-01,30.2,,,,
1989-07-01,31.4,,,,
1989-08-01,31.9,,,,
1989-09-01,33,,,,
1989-10-01,34.1,,,,
1989-11-01,31.4,,,,
1989-12-01,32.3,,,,
1990-01-01,32.1,,,,
1990-02-01,35.4,,,,
1990-03-01,48.2,,,,
1990-04-01,37.9,,,,
1990-05-01,37.5,,,,
1990-06-01,38,,,,
1990-07-01,39.7,,,,
1990-08-01,39.7,,,,
1990-09-01,38,,,,
1990-10-01,34.5,,,,
1990-11-01,31.8,,,,
1990-12-01,28.3,,,,
1991-01-01,27.2,,,,
1991-02-01,26.9,,,,
1991-03-01,27.4,,,,
1991-04-01,27.3,,,,
1991-05-01,25.2,,,,
1991-06-01,24.9,,,,
1991-07-01,24.9,,,,
1991-08-01,24.5,,,,
1991-09-01,24.5,,,,
1991-10-01,23.7,,,,
1991-11-01,23,,,,
1991-12-01,24.1,,,,
1992-01-01,23.4,,,,
1992-02-01,22.9,,,,
1992-03-01,23.6,,,,
1992-04-01,24.1,,,,
1992-05-01,23.6,,,,
1992-06-01,24.9,,,,
1992-07-01,28.4,,,,
1992-08-01,29.7,,,,
1992-09-01,28.2,,,,
1992-10-01,24.4,,,,
1992-11-01,20.9,,,,
1992-12-01,20.6,,,,
1993-01-01,19.8,,,,
1993-02-01,18.8,,,,
1993-03-01,18.4,,,,
1993-04-01,19.1,,,,
1993-05-01,18.5,,,,
1993-06-01,17.9,,,,
1993-07-01,17.6,,,,
1993-08-01,17.6,,,,
1993-09-01,17,,,,
1993-10-01,17.4,,,,
1993-11-01,18.16,,,,
1993-12-01,20.92,,,,
1994-01-01,22.2,,,,
1994-02-01,22,,,,
1994-03-01,20.5,,,,
1994-04-01,20,,,,
1994-05-01,21.48,,,,
1994-06-01,23.8,,,,
1994-07-01,26.31,,,,
1994-08-01,25.89,,,,
1994-09-01,27.8,,,,
1994-10-01,29.1,,,,
1994-11-01,30.26,,,,
1994-12-01,28.77,,,,
1995-01-01,30.24,,,,
1995-02-01,26.3,,,,
1995-03-01,26.56,,,,
1995-04-01,27.6,,,,
1995-05-01,27.06,,,,
1995-06-01,27.75,,,,
1995-07-01,28.21,,,,
1995-08-01,28.29,,,,
1995-09-01,26.88,,,,
1995-10-01,28.9,,,,
1995-11-01,32.37,,,,
1995-12-01,33.2,,,,
1996-01-01,32.18,,,,
1996-02-01,34.91,,,,
1996-03-01,37.1,,,,
1996-04-01,36.97,,,,
1996-05-01,38.11,,,,
1996-06-01,36.13,,,,
1996-07-01,35.55,,,,
1996-08-01,37,,,,
1996-09-01,36.12,,,,
1996-10-01,33.65,,,,
1996-11-01,32.5,,,,
1996-12-01,31.24,,,,
1997-01-01,31.4,,,,
1997-02-01,29.95,,,,
1997-03-01,31.51,,,,
1997-04-01,29.14,,,,
1997-05-01,28.06,,,,
1997-06-01,27.9,,,,
1997-07-01,28.77,,,,
1997-08-01,27.58,,,,
1997-09-01,28.77,,,,
1997-10-01,23.23,,,,
1997-11-01,25.6,,,,
1997-12-01,23.89,,,,
1998-01-01,24.11,,,,
1998-02-01,23.42,,,,
1998-03-01,25.39,,,,
1998-04-01,25.97,,,,
1998-05-01,24.65,,,,
1998-06-01,23.96,,,,
1998-07-01,24.77,,,,
1998-08-01,24.34,,,,
1998-09-01,23.6,,,,
1998-10-01,22.35,,,,
1998-11-01,22.415,,,,
1998-12-01,22.737,,,,
1999-01-01,22.33,,,,
1999-02-01,23.29,,,,
1999-03-01,23.03,,,,
1999-04-01,23.55,,,,
1999-05-01,24.56,,,,
1999-06-01,22.5,,,,
1999-07-01,22.489,,,,
1999-08-01,22.819,,,,
1999-09-01,23.01,,,,
1999-10-01,22.548,,,,
1999-11-01,21.696,,,,
1999-12-01,21.729,,,,
2000-01-01,21.41,,,,
2000-02-01,20.52,,,,
2000-03-01,20.02,,,,
2000-04-01,19.1,,,,
2000-05-01,18.69,,,,
2000-06-01,19.03,,,,
2000-07-01,20.51,,,,
2000-08-01,21.46,,,,
2000-09-01,22.09,,,,
2000-10-01,22.05,,,,
2000-11-01,21.23,,,,
2000-12-01,20.97,,,,
2001-01-01,21.68,,,,
2001-02-01,22.76,,,,
2001-03-01,22.61,,,,
2001-04-01,21.659,,,,
2001-05-01,21.17,,,,
2001-06-01,20.15,,,,
2001-07-01,20.935,,,,
2001-08-01,21.906,,,,
2001-09-01,21.08,,,,
2001-10-01,21.23,,,,
2001-11-01,22.066,,,,
2001-12-01,21.92,,,,
2002-01-01,23.27,,,,
2002-02-01,21.77,,,,
2002-03-01,21.78,,,,
2002-04-01,21.43,,,,
2002-05-01,20.5,,,,
2002-06-01,19.96,,,,
2002-07-01,20.24,,,,
2002-08-01,19.2,,,,
2002-09-01,19.11,,,,
2002-10-01,18.97,,,,
2002-11-01,20.06,,,,
2002-12-01,20.12,,,,
2003-01-01,20.169,,,,
2003-02-01,21.583,,,,
2003-03-01,20.71,,,,
2003-04-01,19.84,,,,
2003-05-01,21.024,,,,
2003-06-01,21.23,,,,
2003-07-01,23.35,,,,
2003-08-01,22.522,,,,
2003-09-01,23.644,,,,
2003-10-01,26.641,,,,
2003-11-01,28.228,,,,
2003-12-01,31.392,,,,
2004-01-01,34.4,,,,
2004-02-01,40.3,,,,
2004-03-01,40.21,,,,
2004-04-01,34.19,,,,
2004-05-01,36.69,,,,
2004-06-01,39.48,,,,
2004-07-01,42.62,,,,
2004-08-01,41.81,,,,
2004-09-01,42.432,,,,
2004-10-01,42.309,,,,
2004-11-01,43.899,,,,
2004-12-01,44.221,,,,
2005-01-01,43.23,,,,
2005-02-01,44.34,,,,
2005-03-01,45.62,,,,
2005-04-01,44.71,,,,
2005-05-01,44.82,,,,
2005-06-01,44.73,,,,
2005-07-01,38.758,,,,
2005-08-01,40.235,,,,
2005-09-01,42.323,,,,
2005-10-01,45.575,,,,
2005-11-01,46.194,,,,
2005-12-01,50.987,,,,
2006-01-01,56.9864761904762,,,,
2006-02-01,57.93,,,,
2006-03-01,54.07,,,,
2006-04-01,53.09,,,,
2006-05-01,52.93,,,,
2006-06-01,43.72,,,,
2006-07-01,47.74,,,,
2006-08-01,53.26,,,,
2006-09-01,60.89,,,,
2006-10-01,69.45,,,,
2006-11-01,73.69,,,,
2006-12-01,78.27,,,,
2007-01-01,75.57,,,,
2007-02-01,80.721,,,,
2007-03-01,86.82,,,,
2007-04-01,90.76,,,,
2007-05-01,95.28,,,,
2007-06-01,110.04,,,,
2007-07-01,139.87,,,,
2007-08-01,141.496,,,,
2007-09-01,146.354,,,,
2007-10-01,168.724,,,,
2007-11-01,150.964,,,,
2007-12-01,117.754,,,,
2008-01-01,118.303,,,,
2008-02-01,139.701,,,,
2008-03-01,136.467,,,,
2008-04-01,128.038,,,,
2008-05-01,101.361,,,,
2008-06-01,84.506,,,,
2008-07-01,88.22,,,,
2008-08-01,87.252,,,,
2008-09-01,84.748,,,,
2008-10-01,67.137,,,,
2008-11-01,58.563,,,,
2008-12-01,43.675,,,,
2009-01-01,51.38,,,,
2009-02-01,49.919,,,,
2009-03-01,56.196,,,,
2009-04-01,62.736,,,,
2009-05-01,65.324,,,,
2009-06-01,75.952,,,,
2009-07-01,76.14,,,,
2009-08-01,86.187,,,,
2009-09-01,99.997,,,,
2009-10-01,101.64,,,,
2009-11-01,104.724,,,,
2009-12-01,105.62,,,,
2010-01-01,107.428,,,,
2010-02-01,96.328,,,,
2010-03-01,98.524,,,,
2010-04-01,102.732,,,,
2010-05-01,85.397,,,,
2010-06-01,77.29,,,,
2010-07-01,83.324,,,,
2010-08-01,94.131,,,,
2010-09-01,99.075,,,,
2010-10-01,107.94,,,,
2010-11-01,107.807,,,,
2010-12-01,109.449,,,,
2011-01-01,118.009,,,,
2011-02-01,117.33,,,,
2011-03-01,119.032,,,,
2011-04-01,124.336,,,,
2011-05-01,109.786,,,,
2011-06-01,113.952,,,,
2011-07-01,121.681,,,,
2011-08-01,109.076,,,,
2011-09-01,104.272,,,,
2011-10-01,88.386,,,,
2011-11-01,89.904,,,,
2011-12-01,91.579,,,,
2012-01-01,94.986,,,,
2012-02-01,96.439,,,,
2012-03-01,93.506,,,,
2012-04-01,93.579,,,,
2012-05-01,90.669,,,,
2012-06-01,84.129,,,,
2012-07-01,85.111,,,,
2012-08-01,85.99,,,,
2012-09-01,98.397,,,,
2012-10-01,97.672,,,,
2012-11-01,98.859,,,,
2012-12-01,103.215,,,,
2013-01-01,106.153,,,,
2013-02-01,107.783,,,,
2013-03-01,99.041,,,,
2013-04-01,92.091,,,,
2013-05-01,92.002,,,,
2013-06-01,95.428,,,,
2013-07-01,92.907,,,,
2013-08-01,98.586,,,,
2013-09-01,94.728,,,,
2013-10-01,95.774,,,,
2013-11-01,94.8094,,,,
2013-12-01,96.7512,,,,
2014-01-01,97.4718568534651,,,,
2014-02-01,95.7295627096164,,,,
2014-03-01,93.2748108292487,,,,
2014-04-01,94.6171271084113,,,,
2014-05-01,95.124,,,,
2014-06-01,95.405,,,,
2014-07-01,99.303,,,,
2014-08-01,101.449,,,,
2014-09-01,96.264,,,,
2014-10-01,92.446,,,,
2014-11-01,91.795,,,,
2014-12-01,87.82,,,,
2015-01-01,82.97,,,,
2015-02-01,81.859,,,,
2015-03-01,80.965,,,,
2015-04-01,90.709,,,,
2015-05-01,90.8926791078017,,,,
2015-06-01,83.2950047672571,,,,
2015-07-01,79.9388738749772,,,,
2015-08-01,76.7886739767634,,,,
2015-09-01,76.2962993202463,,,,
2015-10-01,78.2251106992491,,,,
2015-11-01,73.299,,,,
2015-12-01,77.169,,,,
2016-01-01,74.704,,,,
2016-02-01,80.3571315173304,,,,
2016-03-01,82.0106122500819,,,,
2016-04-01,78.4110382641559,,,,
2016-05-01,77.765,,,,
2016-06-01,77.742,,,,
2016-07-01,83.229,,,,
2016-08-01,83.411,,,,
2016-09-01,88.089,,,,
2016-10-01,92.53,,,,
2016-11-01,98.831,,,,
2016-12-01,101.189,,,,
2017-01-01,101.455,,,,
2017-02-01,105.312,,,,
2017-03-01,103.297,,,,
2017-04-01,101.21,,,,
2017-05-01,96.6908159312571,,,,
2017-06-01,96.669,,,,
2017-07-01,102.802430530041,,,,
2017-08-01,106.92617600659,,,,
2017-09-01,107.831909506482,,,,
2017-10-01,113.684,,,,
2017-11-01,111.784,,,,
2017-12-01,113.798,,,,
2018-01-01,117.47,,,,
2018-02-01,117.064,,,,
2018-03-01,108.726,,,,
2018-04-01,106.929,,,,
2018-05-01,107.224,,,,
2018-06-01,110.71,,,,
2018-07-01,100.376,,,,
2018-08-01,93.661,,,,
2018-09-01,91.999,,,,
2018-10-01,90.045,,,,
2018-11-01,88.004,,,,
2018-12-01,89.152,,,,
2019-01-01,90.454,,,,
2019-02-01,93.534,,,,
2019-03-01,93.194,,,,
2019-04-01,88.398,,,,
2019-05-01,82.427,,,,
2019-06-01,85.797,,,,
2019-07-01,89.54,,,,
2019-08-01,92.678,,,,
2019-09-01,93.933,,,,
2019-10-01,99.078,,,,
2019-11-01,92.166,,,,
2019-12-01,86.149,,,,
2020-01-01,87.324,,,,
2020-02-01,84.926,,,,
2020-03-01,79.135,,,,
2020-04-01,74.912,,,,
2020-05-01,73.398,,,,
2020-06-01,78.919,,,,
2020-07-01,82.198,,,,
2020-08-01,87.779,,,,
2020-09-01,85.337,,,,
2020-10-01,80.606,,,,
2020-11-01,86.839,,,,
2020-12-01,91.562,,,,
2021-01-01,91.395,,,,
2021-02-01,94.608,,,,
2021-03-01,88.939,,,,
2021-04-01,91.005,,,,
2021-05-01,99.152,,,,
2021-06-01,99.29,,,,
2021-07-01,106.004,,,,
2021-08-01,110.156,,,,
2021-09-01,102.387,,,,
2021-10-01,106.116,,,,
2021-11-01,106.484,,,,
2021-12-01,104.543,,,,
2022-01-01,106.263,,,,
2022-02-01,104.322,,,,
2022-03-01,107.024,,,,
2022-04-01,108.714,,,,
2022-05-01,97.303,,,,
2022-06-01,93.775,,,,
2022-07-01,89.642,,,,
2022-08-01,94.252,,,,
2022-09-01,85.024,,,,
2022-10-01,90.179,,,,
2022-11-01,95.227,,,,
2022-12-01,100.356,,,,
2023-01-01,100.160781860352,,,,
2023-02-01,95.2045288085938,,,,
2023-03-01,95.9249496459961,,,,
2023-04-01,97.4833297729492,,,,
2023-05-01,94.6874313354492,,,,
2023-06-01,96.0873870849609,,,,
2023-07-01,95.566535949707,,,,
2023-08-01,97.6007308959961,,,,
2023-09-01,102.18790435791,,,,
2023-10-01,96.9048843383789,,,,
2023-11-01,99.1130523681641,,,,
2023-12-01,92.3693389892578,,,,
2024-01-01,94.6874313354492,,,,
2024-02-01,94.5394744873047,,,,
2024-03-01,93.2994384765625,,,,
2024-04-01,96.6000823974609,,,,
2024-05-01,100.754776000977,,,,
2024-06-01,97.4237289428711,,,,
2024-07-01,95.9052276611328,,,,
2024-08-01,90.8275756835938,,,,
2024-09-01,91.0522155761719,,,,
2024-10-01,92.3494567871094,,,,
2024-11-01,90.1936264038086,,,,
2024-12-01,90.448616027832,,,,
