Comisión Chilena del Cobre,,,,,
Dirección de Estudios y Políticas Públicas,,,,,
PRECIO DEL ZINC Settle 1989 - 2024,,,,,
(centavos de dólar por libra),,,,,
Mes - Año,BML (¢US$/lb),,,,
1989-01-01,80.4,,,,
1989-02-01,90.7,,,,
1989-03-01,89.4,,,,
1989-04-01,76.1,,,,
1989-05-01,78.2,,,,
1989-06-01,75.6,,,,
1989-07-01,75.6,,,,
1989-08-01,82,,,,
1989-09-01,75.6,,,,
1989-10-01,73.9,,,,
1989-11-01,65.7,,,,
1989-12-01,68.3,,,,
1990-01-01,58.7,,,,
1990-02-01,63.3,,,,
1990-03-01,75.6,,,,
1990-04-01,76.5,,,,
1990-05-01,80.5,,,,
1990-06-01,77.8,,,,
1990-07-01,74.3,,,,
1990-08-01,73.3,,,,
1990-09-01,69.7,,,,
1990-10-01,61.4,,,,
1990-11-01,58,,,,
1990-12-01,57.4,,,,
1991-01-01,54.7,,,,
1991-02-01,53.9,,,,
1991-03-01,54.4,,,,
1991-04-01,56.9,,,,
1991-05-01,49.5,,,,
1991-06-01,48.2,,,,
1991-07-01,48.2,,,,
1991-08-01,47.5,,,,
1991-09-01,46.4,,,,
1991-10-01,45,,,,
1991-11-01,49.6,,,,
1991-12-01,53.9,,,,
1992-01-01,52.3,,,,
1992-02-01,51.3,,,,
1992-03-01,55.1,,,,
1992-04-01,59.2,,,,
1992-05-01,62.3,,,,
1992-06-01,62.8,,,,
1992-07-01,59.9,,,,
1992-08-01,61.7,,,,
1992-09-01,62,,,,
1992-10-01,52.8,,,,
1992-11-01,47.5,,,,
1992-12-01,48,,,,
1993-01-01,48.1,,,,
1993-02-01,48.6,,,,
1993-03-01,45.2,,,,
1993-04-01,45.6,,,,
1993-05-01,44.5,,,,
1993-06-01,42,,,,
1993-07-01,42.1,,,,
1993-08-01,40.1,,,,
1993-09-01,39.7,,,,
1993-10-01,41.51,,,,
1993-11-01,42.13,,,,
1993-12-01,44.21,,,,
1994-01-01,45.2,,,,
1994-02-01,43.9,,,,
1994-03-01,42.5,,,,
1994-04-01,41.9,,,,
1994-05-01,43.36,,,,
1994-06-01,43.8,,,,
1994-07-01,43.7,,,,
1994-08-01,42.88,,,,
1994-09-01,45.03,,,,
1994-10-01,48,,,,
1994-11-01,52.26,,,,
1994-12-01,50.57,,,,
1995-01-01,52.47,,,,
1995-02-01,46.84,,,,
1995-03-01,46.38,,,,
1995-04-01,48.16,,,,
1995-05-01,47.02,,,,
1995-06-01,45.81,,,,
1995-07-01,46.59,,,,
1995-08-01,46.03,,,,
1995-09-01,44.75,,,,
1995-10-01,44.43,,,,
1995-11-01,46.77,,,,
1995-12-01,46.19,,,,
1996-01-01,46.24,,,,
1996-02-01,47,,,,
1996-03-01,48.28,,,,
1996-04-01,47.43,,,,
1996-05-01,47,,,,
1996-06-01,45.76,,,,
1996-07-01,45.38,,,,
1996-08-01,45.69,,,,
1996-09-01,45.39,,,,
1996-10-01,45.52,,,,
1996-11-01,47.48,,,,
1996-12-01,47.02,,,,
1997-01-01,49.3,,,,
1997-02-01,53.51,,,,
1997-03-01,56.94,,,,
1997-04-01,56.28,,,,
1997-05-01,59.46,,,,
1997-06-01,61.4,,,,
1997-07-01,68.9,,,,
1997-08-01,75.04,,,,
1997-09-01,74.47,,,,
1997-10-01,58.09,,,,
1997-11-01,53.2,,,,
1997-12-01,49.99,,,,
1998-01-01,49.77,,,,
1998-02-01,47.36,,,,
1998-03-01,47.52,,,,
1998-04-01,49.76,,,,
1998-05-01,48.13,,,,
1998-06-01,45.8,,,,
1998-07-01,47.18,,,,
1998-08-01,46.71,,,,
1998-09-01,45.4,,,,
1998-10-01,42.65,,,,
1998-11-01,43.867,,,,
1998-12-01,43.508,,,,
1999-01-01,42.3,,,,
1999-02-01,46.14,,,,
1999-03-01,46.72,,,,
1999-04-01,46.22,,,,
1999-05-01,47.207,,,,
1999-06-01,45.38,,,,
1999-07-01,48.63,,,,
1999-08-01,51.283,,,,
1999-09-01,54.148,,,,
1999-10-01,52.106,,,,
1999-11-01,52.034,,,,
1999-12-01,53.694,,,,
2000-01-01,53.47,,,,
2000-02-01,49.66,,,,
2000-03-01,50.64,,,,
2000-04-01,51.15,,,,
2000-05-01,52.48,,,,
2000-06-01,50.71,,,,
2000-07-01,51.54,,,,
2000-08-01,53.06,,,,
